3,73,NWE,Chris Gannon\GannCh20,DE,23,1993,0,4,4,40
3,74,GNB,Anthony Dilweg\DilwAn00,QB,24,1990,0,4,4,10
3,75,RAM,Kevin Robbins\RobbKe20,T,22,1993,0,2,0,8
3,76,PHI,Robert Drummond\DrumRo00,RB,22,1991,0,3,3,36
3,77,HOU,Bubba McDowell\McDoBu20,DB,22,1995,5,36,33,102
3,78,NYG,Greg Jackson\JackGr21,DB,23,2000,9,54,25,168
3,79,NOR,Kim Phillips\PhilKi20,DB,22,1990,0,0,0,6
3,80,MIN,John Hunter\HuntJo21,T,24,1992,0,3,,26
3,81,PHI,Britt Hager\HageBr20,LB,23,1997,0,15,12,121
3,82,BUF,Don Beebe\BeebDo00,WR,24,1997,4,33,24,116
3,83,CIN,Erik Wilhelm\WilhEr00,QB,23,1996,0,3,3,22
3,84,SFO,Keith Henderson\HendKe00,RB,23,1992,0,12,10,37
4,85,DAL,Tony Tolbert\TolbTo00,DE,21,1997,7,60,60,144
4,86,DET,Ray Crockett\CrocRa20,DB,22,2002,10,60,21,214
4,87,GNB,Jeff Graham,QB,,,0,,,
4,88,KAN,Stan Petry\PetrSt21,DB,23,1991,0,3,3,36
4,89,CIN,Kerry Owens,LB,,,0,,,
4,90,TAM,Anthony Florence\FlorAn20,DB,22,1991,0,0,,6
4,91,PIT,Jerrol Williams\WillJe22,LB,22,1996,1,24,20,85
4,92,MIA,David Holmes,DB,,,0,,,
4,93,NYG,Lewis Tillman\TillLe00,RB,23,1995,1,17,9,109
4,94,PHO,Jim Wahler\WahlJi20,NT,23,1993,3,20,19,62
4,95,CHI,Markus Paul\PaulMa20,DB,23,1993,0,11,11,71
4,96,NWE,Maurice Hurst\HursMa20,DB,22,1995,7,39,39,105
4,97,DEN,Jake McCullough\McCuJa20,DE,24,1990,0,1,1,16
4,98,NYJ,Ron Stallworth\StalRo21,DE,23,1990,1,10,10,32
4,99,IND,Pat Tomberlin\TombPa20,G,23,1993,1,5,5,18
4,100,NWE,Michael Timpson\TimpMi00,WR,22,1997,3,29,16,116
4,101,SEA,Travis McNeal\McNeTr00,TE,22,1993,1,6,4,76
4,102,RAM,Jeff Carlson\CarlJe00,QB,23,1992,0,2,,7
4,103,SEA,James Henry,DB,,,0,,,
4,104,HOU,Rod Harris\HarrRo21,WR,22,1991,0,0,,38
4,105,NYG,Brad Henke\HenkBr20,DE,23,1989,0,0,,2
4,106,NOR,Michael Mayes\MayeMi20,DB,23,1991,0,3,0,27
4,107,CLE,Andrew Stewart\StewAn20,DE,23,1989,0,2,2,16
4,108,MIN,Darryl Ingram\IngrDa00,TE,23,1993,0,0,0,36
4,109,BUF,John Kolesar,WR,,,0,,,
4,110,WAS,Erik Affholter\AffhEr00,WR,23,1991,0,1,,4
4,111,CIN,Rob Woods\WoodRo20,T,23,1991,0,1,,2
4,112,SFO,Michael Barber\BarbMi00,WR,22,1992,0,4,0,41
5,113,DAL,Keith Jennings\JennKe00,TE,23,1997,5,7,0,92
5,114,CLE,Kyle Kramer\KramKy20,DB,22,1989,0,1,1,14
5,115,DET,Lawrence Pete\PeteLa20,NT,23,1993,1,11,11,61
5,116,CLE,Vernon Joines\JoinVe20,WR,24,1990,0,1,1,20
5,117,TAM,Jamie Lawson\LawsJa20,RB,23,1990,0,0,0,12
5,118,PIT,David Arnold\ArnoDa20,DB,22,1989,0,1,1,15
5,119,DAL,Willis Crockett\CrocWi20,LB,23,1990,0,1,1,13
5,120,SDG,Elliot Smith\SmitEl20,DB,22,1990,0,2,0,11
5,121,MIA,Jeff Uhlenhake\UhleJe20,C,23,1997,8,48,27,119
5,122,SFO,Johnnie Jackson\JackJo23,DB,22,1992,0,10,10,54
5,123,PHO,Richard Tardits\TardRi20,LB,24,1992,0,2,,27
5,124,GNB,Jeff Query\QuerJe00,WR,22,1995,1,15,7,86
5,125,DAL,Jeff Roth,DT,,,0,,,
5,126,NYJ,Tony Martin\MartTo00,WR,24,2001,6,66,,177
5,127,GNB,Vince Workman\WorkVi00,RB,21,1996,2,21,12,106
5,128,PHO,David Edeen,DE,,,0,,,
5,129,WAS,Tim Smiley,DB,,,0,,,
5,130,CHI,Mark Green\GreeMa00,RB,22,1992,0,6,6,53
5,131,HOU,Glenn Montgomery\MontGl20,DT,22,1996,3,26,26,114
5,132,NYG,Dave Meggett\MeggDa00,RB,23,1998,0,43,35,146
5,133,NOR,Kevin Haverdink\HaveKe20,T,23,1991,1,14,14,41
5,134,DEN,Darren Carrington\CarrDa20,DB,22,1996,3,26,2,112
5,135,RAM,Alfred Jackson\JackAl22,WR,22,1996,0,0,0,45
5,136,CHI,Greg Gilbert,LB,,,0,,,
