Year,Rnd,Pick,Tm,Player,Player Clean,Pos,Age,To,St,CarAV,DrAV,G
1995,4,110,DAL,Eric Bjornson\BjorEr00,Eric Bjornson,TE,23,2000,2,11,10,82
1995,4,111,MIN,Chad May,Chad May,QB,,,0,,,
1995,4,112,NWE,Dave Wohlabaugh\WohlDa20,Dave Wohlabaugh,C,23,2003,9,49,24,128
1995,4,113,BUF,Justin Armour\ArmoJu00,Justin Armour,WR,22,1999,1,7,3,39
1995,4,114,IND,Ray McElroy\McElRa20,Ray McElroy,DB,23,2001,0,7,7,81
1995,4,115,STL,Lovell Pinkney\PinkLo20,Lovell Pinkney,TE,23,1995,0,0,0,8
1995,4,116,CHI,Jack Jackson\JackJa20,Jack Jackson,WR,22,1996,0,0,0,12
1995,4,117,GNB,Jeff Miller,Jeff Miller,T,,,0,,,
1995,4,118,OAK,Mike Morton\MortMi20,Mike Morton,LB,23,2001,1,12,10,103
1995,4,119,PHI,Dave Barr\BarrDa20,Dave Barr,QB,23,1995,0,0,,2
1995,4,120,PIT,Oliver Gibson\GibsOl20,Oliver Gibson,DT,23,2003,4,27,4,133
1995,4,121,DEN,Jamie Brown\BrowJa22,Jamie Brown,T,23,1999,0,8,5,38
1995,4,122,MIA,Pete Mitchell\MitcPe00,Pete Mitchell,TE,23,2002,3,23,,114
1995,4,123,JAX,Mike Thompson\ThomMi21,Mike Thompson,DT,23,2000,0,1,0,34
1995,4,124,DEN,Ken Brown\BrowKe21,Ken Brown,LB,24,1995,0,0,0,2
1995,4,125,PIT,Donta Jones\JoneDo22,Donta Jones,LB,23,2000,0,8,7,91
1995,4,126,SEA,Jason Kyle\KyleJa20,Jason Kyle,LB,23,2010,0,9,2,203
1995,4,127,SFO,Tim Hanshaw\HansTi20,Tim Hanshaw,G,25,1998,0,4,4,30
1995,4,128,NYG,Rob Zatechka\ZateRo20,Rob Zatechka,G,23,1997,0,5,5,47
1995,4,129,DAL,Alundis Brice\BricAl20,Alundis Brice,DB,25,1996,0,2,2,24
1995,4,130,DAL,Linc Harden,Linc Harden,LB,,,0,,,
1995,4,131,BUF,Tony Cline\ClinTo00,Tony Cline,TE,23,1999,1,2,2,52
1995,4,132,CAR,Frank Garcia\GarcFr21,Frank Garcia,C,23,2003,5,41,38,125
1995,4,133,NYG,Ben Talley\TallBe20,Ben Talley,LB,23,1998,0,1,0,12
1995,4,134,KAN,Steve Stenstrom\StenSt00,Steve Stenstrom,QB,23,1999,0,6,,17
1995,5,135,CAR,Michael Senters,Michael Senters,DB,,,0,,,
1995,5,136,CLE,Tau Pupua,Tau Pupua,DT,,,0,,,
1995,5,137,WAS,Jamie Asher\AsheJa00,Jamie Asher,TE,22,1998,3,12,12,48
1995,5,138,OAK,Matt Dyson\DysoMa20,Matt Dyson,LB,23,1995,0,0,0,4
1995,5,139,CIN,David Dunn\DunnDa00,David Dunn,WR,23,2001,0,13,12,88
1995,5,140,STL,Mike Scurlock\ScurMi20,Mike Scurlock,DB,23,1999,0,4,4,65
1995,5,141,DET,Stephen Boyd\BoydSt00,Stephen Boyd,LB,23,2001,4,41,41,86
1995,5,142,NYJ,Carl Greenwood\GreeCa20,Carl Greenwood,DB,23,1996,0,2,2,24
1995,5,143,TAM,Clifton Abraham\AbraCl20,Clifton Abraham,DB,23,1997,0,0,0,9
1995,5,144,BUF,John Holecek\HoleJo20,John Holecek,LB,23,2002,3,29,24,81
1995,5,145,ATL,Roell Preston\PresRo00,Roell Preston,WR,23,1999,0,6,3,53
1995,5,146,DEN,Phil Yeboah-Kodie\YeboPh20,Phil Yeboah-Kodie,LB,24,1996,0,0,,2
1995,5,147,CLE,Mike Miller,Mike Miller,WR,,,0,,,
1995,5,148,NOR,William Strong\StroWi20,William Strong,DB,23,1996,0,1,1,9
1995,5,149,IND,Derek West\WestDe20,Derek West,T,23,1997,0,0,0,5
1995,5,150,ARI,Cedric Davis,Cedric Davis,DB,,,0,,,
1995,5,151,PIT,Lee Flowers\FlowLe20,Lee Flowers,DB,22,2002,4,38,38,112
1995,5,152,WAS,Rich Owens\OwenRi20,Rich Owens,DE,23,2002,3,31,16,97
1995,5,153,NYG,Roderick Mullen\MullRo20,Roderick Mullen,DB,22,1999,0,4,,53
1995,5,154,OAK,Jeff Kysar,Jeff Kysar,T,,,0,,,
1995,5,155,KAN,Mike Pelton,Mike Pelton,DT,,,0,,,
1995,5,156,DET,Kez McCorvey\McCoKe20,Kez McCorvey,WR,23,1997,0,0,0,9
1995,5,157,MIN,James Stewart\StewJa20,James Stewart,RB,23,1995,0,1,1,4
1995,5,158,MIA,Norman Hand\HandNo20,Norman Hand,DT,23,2004,6,38,1,115
1995,5,159,HOU,Gary Walker\WalkGa00,Gary Walker,DT,22,2005,9,64,21,155
1995,5,160,GNB,Jay Barker,Jay Barker,QB,,,0,,,
1995,5,161,PIT,Lance Brown\BrowLa20,Lance Brown,DB,23,2001,1,5,2,58
1995,5,162,SDG,'Omar Ellison\ElliOm20,'Omar Ellison,WR,23,1996,0,0,0,12
1995,5,163,DET,Ronald Cherry,Ronald Cherry,T,,,0,,,
1995,5,164,KAN,Jerrott Willard\WillJe20,Jerrott Willard,LB,23,1998,0,0,0,1
1995,5,165,ARI,Lance Scott\ScotLa20,Lance Scott,C,23,1998,2,12,,32
1995,5,166,DAL,Edward Hervey,Edward Hervey,WR,,,0,,,
1995,5,167,ARI,Tito Paul\PaulTi20,Tito Paul,DB,22,1999,0,6,3,67
1995,5,168,DAL,Dana Howard\HowaDa20,Dana Howard,LB,23,1996,0,1,,19
1995,5,169,JAX,Ryan Christopherson\ChriRy20,Ryan Christopherson,RB,23,1996,0,0,0,19
1995,5,170,GNB,Travis Jervey\JervTr00,Travis Jervey,RB,23,2003,1,4,4,109
1995,5,171,CAR,Andrew Peterson\PeteAn21,Andrew Peterson,T,23,1995,0,1,1,4
1995,6,172,JAX,Marcus Price\PricMa20,Marcus Price,T,23,2004,0,9,,77
1995,6,173,GNB,Charlie Simmons,Charlie Simmons,WR,,,0,,,
1995,6,174,HOU,Hicham El-Mashtoub\El-MHi20,Hicham El-Mashtoub,C,23,1996,0,0,0,3
1995,6,175,CIN,Ryan Grigson,Ryan Grigson,T,,,0,,,
1995,6,176,WAS,Brian Thure\ThurBr20,Brian Thure,T,22,1995,0,0,0,4
1995,6,177,SDG,Troy Sienkiewicz\SienTr20,Troy Sienkiewicz,G,23,1998,0,2,2,28
1995,6,178,NYJ,Eddie Mason\MasoEd20,Eddie Mason,LB,23,2002,0,6,1,80
1995,6,179,TAM,Wardell Rouse\RousWa20,Wardell Rouse,LB,23,1995,0,1,1,16
1995,6,180,SEA,Henry McMillian\McMiHe20,Henry McMillian,DT,23,1996,0,0,0,3
1995,6,181,ATL,Travis Hall\HallTr20,Travis Hall,DT,23,2005,6,42,41,150
1995,6,182,DEN,Fritz Fequiere,Fritz Fequiere,G,,,0,,,
1995,6,183,SDG,Brandon Harrison,Brandon Harrison,WR,,,0,,,
1995,6,184,NOR,Lee DeRamus\DeRaLe00,Lee DeRamus,WR,23,1996,0,2,2,23
1995,6,185,BUF,Shannon Clavelle\ClavSh20,Shannon Clavelle,DE,21,1997,0,1,,16
1995,6,186,DET,Kevin Hickman\HickKe00,Kevin Hickman,TE,24,1998,0,0,0,13
1995,6,187,IND,Brian Gelzheiser,Brian Gelzheiser,LB,,,0,,,
1995,6,188,CAR,Steve Strahan,Steve Strahan,DT,,,0,,,
1995,6,189,MIN,John Solomon,John Solomon,LB,,,0,,,
1995,6,190,OAK,Eli Herring,Eli Herring,T,,,0,,,
1995,6,191,CAR,Jerry Colquitt,Jerry Colquitt,QB,,,0,,,
1995,6,192,DET,Cory Schlesinger\SchlCo00,Cory Schlesinger,FB,23,2006,6,13,13,181
1995,6,193,CHI,Kenny Gales,Kenny Gales,DB,,,0,,,
1995,6,194,MIA,Jeff Kopp\KoppJe20,Jeff Kopp,LB,24,1999,0,4,1,63
1995,6,195,NWE,Dino Philyaw\PhilDi00,Dino Philyaw,RB,24,1999,0,0,,23
1995,6,196,DEN,Terrell Davis HOF\DaviTe00,Terrell Davis HOF,RB,22,2001,4,72,72,78
1995,6,197,SDG,Craig Whelihan\WhelCr00,Craig Whelihan,QB,24,1998,1,1,1,19
1995,6,198,CHI,Carl Reeves\ReevCa20,Carl Reeves,DE,23,1998,1,6,6,31
1995,6,199,PIT,Barron Miles,Barron Miles,DB,,,0,,,
1995,6,200,SDG,Tony Berti\BertTo20,Tony Berti,T,23,1997,2,11,11,33
1995,6,201,SFO,Antonio Armstrong\ArmsAn20,Antonio Armstrong,LB,21,1995,0,0,,4
1995,6,202,KAN,Bryan Proby\ProbBr20,Bryan Proby,DT,23,1995,0,0,0,3
1995,6,203,SEA,Eddie Goines,Eddie Goines,WR,,,0,,,
1995,6,204,NYG,Jamal Duff\DuffJa20,Jamal Duff,DE,23,1998,0,7,2,41
1995,6,205,ARI,Anthony Bridges,Anthony Bridges,DB,,,0,,,
1995,6,206,NYG,Charles Way\WayxCh00,Charles Way,RB,22,1999,3,15,15,75
1995,6,207,KAN,Tom Barndt\BarnTo20,Tom Barndt,DT,23,2001,2,22,18,81
1995,6,208,PHI,Fred McCrary\McCrFr00,Fred McCrary,FB,23,2007,4,6,1,128
1995,7,209,CAR,Chad Cota\CotaCh20,Chad Cota,DB,24,2002,5,36,12,125
1995,7,210,PHI,Kevin Bouie\BouiKe20,Kevin Bouie,RB,24,1997,0,0,,6
1995,7,211,HOU,C.J. Richardson\RichC.20,C.J. Richardson,DB,23,1997,0,1,,15
1995,7,212,ARI,Billy Williams\WillBi20,Billy Williams,WR,24,1996,0,0,,1
1995,7,213,CIN,John Walsh,John Walsh,QB,,,0,,,
1995,7,214,STL,Gerald McBurrows\McBuGe20,Gerald McBurrows,DB,21,2003,2,17,6,122
1995,7,215,TAM,Steve Ingram\IngrSt20,Steve Ingram,T,24,1999,0,0,0,8
1995,7,216,SEA,Keif Bryant,Keif Bryant,DE,,,0,,,
1995,7,217,NYJ,Curtis Ceaser\CeasCu20,Curtis Ceaser,WR,23,1995,0,0,0,4
1995,7,218,DEN,Steve Russ\RussSt20,Steve Russ,LB,23,2000,0,1,1,24
1995,7,219,JAX,Curtis Marsh\MarsCu00,Curtis Marsh,WR,24,1997,0,1,1,15
1995,7,220,STL,Herman O'Berry\OBerHe20,Herman O'Berry,DB,24,1996,0,0,0,9
1995,7,221,BUF,Tom Nutten\NuttTo20,Tom Nutten,G,24,2005,4,38,0,78
1995,7,222,DEN,Byron Chamberlain\ChamBy00,Byron Chamberlain,TE,23,2003,2,17,7,106
1995,7,223,IND,Jessie Cox,Jessie Cox,LB,,,0,,,
1995,7,224,ARI,Wesley Leasy\LeasWe20,Wesley Leasy,LB,24,1996,0,2,2,28
1995,7,225,NYG,Bryne Diehl,Bryne Diehl,P,,,0,,,
1995,7,226,WAS,Scott Turner\TurnSc20,Scott Turner,DB,23,2003,0,10,4,101
1995,7,227,TAM,Jeff Rodgers,Jeff Rodgers,DE,,,0,,,
1995,7,228,DET,Hessley Hempstead\HempHe20,Hessley Hempstead,G,23,1997,0,3,3,31
1995,7,229,CHI,Jamal Cox,Jamal Cox,LB,,,0,,,
1995,7,230,GNB,Adam Timmerman\TimmAd20,Adam Timmerman,G,24,2006,11,81,21,187
1995,7,231,CLE,A.C. Tellison,A.C. Tellison,WR,,,0,,,
1995,7,232,MIN,Jose White\WhitJo20,Jose White,DT,22,1998,0,2,,18
1995,7,233,MIA,Corey Swinson,Corey Swinson,DT,,,0,,,
1995,7,234,NWE,Carlos Yancy\YancCa20,Carlos Yancy,DB,25,1995,0,0,0,4
1995,7,235,PIT,Henry Bailey\BailHe00,Henry Bailey,WR,22,1996,0,0,,8
1995,7,236,DAL,Oscar Sturgis\SturOs20,Oscar Sturgis,DE,24,1995,0,0,0,1
1995,7,237,SDG,Mark Montreuil\MontMa21,Mark Montreuil,DB,23,1997,0,3,3,35
1995,7,238,SFO,Herbert Coleman,Herbert Coleman,DE,,,0,,,
1995,7,239,STL,Bronzell Miller\MillBr22,Bronzell Miller,DE,23,1995,0,0,,3
1995,7,240,STL,J.T. Thomas\ThomJ.00,J.T. Thomas,WR,23,1998,0,2,2,51
1995,7,241,ARI,Chad Eaton\EatoCh20,Chad Eaton,DT,23,2004,4,40,,103
1995,7,242,NOR,Travis Davis\DaviTr20,Travis Davis,DB,22,1999,2,26,,73
1995,7,243,MIN,Jason Fisk\FiskJa20,Jason Fisk,DT,23,2006,7,47,6,182
1995,7,244,BUF,Darick Holmes\HolmDa00,Darick Holmes,RB,24,1999,0,16,11,60
1995,7,245,ATL,John Burrough\BurrJo20,John Burrough,DE,23,2002,0,9,6,89
1995,7,246,MIA,Shannon Myers,Shannon Myers,WR,,,0,,,
1995,7,247,PIT,Cole Ford\fordxcol01,Cole Ford,K,22,1998,2,4,,38
1995,7,248,PHI,Howard Smothers,Howard Smothers,T,,,0,,,
1995,7,249,CAR,Michael Reed\ReedMi20,Michael Reed,DB,23,1996,0,0,0,3
1996,1,1,NYJ,Keyshawn Johnson\JohnKe00,,WR,24,2006,10,78,34,167
1996,1,2,JAX,Kevin Hardy\HardKe00,,LB,23,2004,9,64,47,134
1996,1,3,ARI,Simeon Rice\RiceSi00,,DE,22,2007,11,88,28,174
1996,1,4,BAL,Jonathan Ogden HOF\OgdeJo00,,T,22,2007,11,94,94,177
1996,1,5,NYG,Cedric Jones\JoneCe20,,DE,22,2000,2,20,20,73
1996,1,6,STL,Lawrence Phillips\PhilLa00,,RB,21,1999,2,11,9,35
1996,1,7,NWE,Terry Glenn\GlenTe00,,WR,22,2007,9,67,36,137
1996,1,8,CAR,Tim Biakabutuka\BiakTi00,,RB,22,2001,2,24,24,50
1996,1,9,OAK,Rickey Dudley\DudlRi00,,TE,24,2004,5,24,22,108
1996,1,10,CIN,Willie Anderson\AndeWi00,,T,21,2008,12,90,88,195
1996,1,11,NOR,Alex Molden\MoldAl20,,DB,23,2003,3,23,15,98
1996,1,12,TAM,Regan Upshaw\UpshRe20,,DE,21,2004,5,36,23,110
1996,1,13,CHI,Walt Harris\HarrWa21,,DB,22,2008,11,60,30,193
1996,1,14,HOU,Eddie George\GeorEd00,,RB,23,2004,9,77,75,141
1996,1,15,DEN,John Mobley\MoblJo20,,LB,22,2003,5,52,52,105
1996,1,16,MIN,Duane Clemons\ClemDu20,,DE,22,2005,4,39,11,142
1996,1,17,DET,Reggie Brown\BrowRe22,,LB,22,1997,2,11,11,26
1996,1,18,STL,Eddie Kennison\KennEd00,,WR,23,2008,9,70,11,179
1996,1,19,IND,Marvin Harrison HOF\HarrMa00,,WR,24,2008,12,124,124,190
1996,1,20,MIA,Daryl Gardener\GardDa20,,DT,23,2003,6,43,36,102
1996,1,21,SEA,Pete Kendall\KendPe20,,G,23,2008,12,64,33,189
1996,1,22,TAM,Marcus Jones\JoneMa20,,DE,23,2001,1,19,19,85
1996,1,23,DET,Jeff Hartings\HartJe55,,C,24,2006,11,75,26,162
1996,1,24,BUF,Eric Moulds\MoulEr00,,WR,23,2007,11,76,71,186
1996,1,25,PHI,Jermane Mayberry\MaybJe00,,G,23,2005,7,44,42,123
1996,1,26,BAL,Ray Lewis\LewiRa00,,LB,21,2012,14,160,160,228
1996,1,27,GNB,John Michels\MichJo21,,T,23,1997,1,9,9,24
1996,1,28,KAN,Jerome Woods\WoodJe00,,DB,23,2005,7,43,43,128
1996,1,29,PIT,Jamain Stephens\StepJa20,,T,22,2001,1,6,5,40
1996,1,30,WAS,Andre Johnson\JohnAn20,,T,23,1998,0,0,,3
1996,2,31,NYJ,Alex Van Dyke\VanDAl00,,WR,22,2000,0,1,1,42
1996,2,32,ARI,Leeland McElroy\McElLe00,,RB,22,1997,1,5,5,30
1996,2,33,JAX,Tony Brackens\BracTo00,,DE,21,2003,4,52,52,107
1996,2,34,NYG,Amani Toomer\ToomAm00,,WR,22,2008,10,66,66,190
1996,2,35,TAM,Mike Alstott\AlstMi00,,RB,22,2006,8,48,48,158
1996,2,36,NWE,Lawyer Milloy\MillLa00,,DB,22,2010,14,79,54,234
1996,2,37,DAL,Kavika Pittman\PittKa20,,DE,21,2003,4,37,21,108
1996,2,38,HOU,Bryant Mix\MixxBr20,,DE,24,1997,0,1,1,7
1996,2,39,CIN,Marco Battaglia\BattMa00,,TE,23,2003,0,5,5,96
1996,2,40,NOR,Je'Rod Cherry\CherJe20,,DB,23,2004,0,7,3,127
1996,2,41,SDG,Bryan Still\StilBr00,,WR,22,1999,1,8,8,52
1996,2,42,STL,Tony Banks\BankTo00,,QB,23,2005,5,42,24,96
1996,2,43,CAR,Muhsin Muhammad\MuhaMu00,,WR,23,2009,12,81,69,202
1996,2,44,DEN,Tory James\JameTo99,,DB,23,2006,5,36,2,158
