m.year,player.id,player.name,m.team_id,m.position_id,m.age,m.av_value,m.year,m.round,m.pick,m.base_salary,m.cap_hit,m.dead_cap
1994,198451,"Sean Jones",GNB,DE,32,10,1994,2,51,,,
1994,1991113,"Bryan Cox",MIA,OLB,26,10,1994,5,113,,,
1994,199344,"Chad Brown",PIT,OLB,24,10,1994,2,44,,,
1994,198812,"Ken Harvey",WAS,OLB,29,10,1994,1,12,,,
1994,198843,"Vincent Brown",NWE,ILB,29,10,1994,2,43,,,
1994,198723,"Bruce Armstrong",NWE,T,29,10,1994,1,23,,,
1994,1987276,"Frank Winters",GNB,C,30,10,1994,10,276,,,
1994,1988212,"Harry Galbreath",GNB,G,29,10,1994,8,212,,,
1994,19857,"Ken Ruettgers",GNB,T,32,10,1994,1,7,,,
1994,198929,"Steve Wisniewski",OAK,G,27,10,1994,2,29,,,
1994,1991124,"Ben Coates",NWE,TE,25,10,1994,5,124,,,
1994,199112,"Alvin Harper",DAL,WR,26,10,1994,1,12,868000,868000,0
1994,198815,"Anthony Miller",DEN,WR,29,10,1994,1,15,1000000,1600000,0
1994,198852,"Brett Perriman",DET,WR,29,10,1994,2,52,,,
1994,199146,"Jeff Graham",CHI,WR,25,10,1994,2,46,,,
1994,1992203,"Darren Perry",PIT,S,26,9,1994,8,203,,,
1994,199322,"Darrien Gordon",LAC,CB,24,9,1994,1,22,,,
1994,199418,"Dewayne Washington",MIN,CB,22,9,1994,1,18,,,
1994,198996,"Maurice Hurst",NWE,CB,27,9,1994,4,96,,,
1994,199365,"Ray Buchanan",IND,S,23,9,1994,3,65,,,
1994,19925,"Terrell Buckley",GNB,CB,23,9,1994,1,5,,,
1994,198468,"Terry Hoage",ARI,S,32,9,1994,3,68,,,
1994,199222,"Alonzo Spellman",CHI,DT,23,9,1994,1,22,,,
1994,199073,"Anthony Pleasant",CLE,DE,26,9,1994,3,73,,,
1994,1986233,"Clyde Simmons",ARI,DE,30,9,1994,9,233,,,
1994,198646,"Erik Howard",NYG,DT,30,9,1994,2,46,,,
1994,199267,"Joel Steed",PIT,DT,25,9,1994,3,67,,,
1994,198316,"Mike Pitts",NWE,DE,34,9,1994,1,16,,,
1994,198985,"Tony Tolbert",DAL,DE,27,9,1994,4,85,,,
1994,198919,"Wayne Martin",NOR,DT,29,9,1994,1,19,,,
1994,19843,"Carl Banks",CLE,OLB,32,9,1994,1,3,,,
1994,199331,"Chris Slade",NWE,OLB,23,9,1994,2,31,,,
1994,199354,"Darrin Smith",DAL,OLB,24,9,1994,2,54,,,
1994,198910,"Eric Hill",ARI,ILB,28,9,1994,1,10,,,
1994,198945,"Frank Stams",CLE,OLB,29,9,1994,2,45,,,
1994,00001251,"George Koonce",GNB,OLB,26,9,1994,,,,,
1994,199238,"Levon Kirkland",PIT,ILB,25,9,1994,2,38,,,
1994,198786,"Michael Brooks",NYG,OLB,30,9,1994,3,86,,,
1994,199163,"Mo Lewis",NYJ,OLB,25,9,1994,3,63,,,
1994,199029,"Terry Wooden",SEA,OLB,27,9,1994,2,29,,,
1994,1985274,"Duval Love",PIT,G,31,9,1994,10,274,,,
1994,199069,"Glenn Parker",BUF,T,28,9,1994,3,69,,,
1994,1987190,"Harry Swayne",LAC,T,29,9,1994,7,190,,,
1994,198669,"Joe Milinichik",LAC,G,31,9,1994,3,69,,,
1994,1991283,"Joe Sims",GNB,T,25,9,1994,11,283,,,
1994,1987287,"John Davis",BUF,G,29,9,1994,11,287,,,
1994,00001780,"Kent Hull",BUF,C,33,9,1994,,,,,
1994,00001764,"Mark Tuinei",DAL,T,34,9,1994,,,,,
1994,198012,"Stan Brock",LAC,T,36,9,1994,1,12,,,
1994,1991131,"Craig Erickson",TAM,QB,25,9,1994,5,131,,,
1994,00002412,"Dave Brown",NYG,QB,24,9,1994,,,850000,1250000,0
1994,00002413,"Joe Montana",KAN,QB,38,9,1994,,,,,
