,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,Chmp,SBwl,Conf,Div
Seattle Seahawks,1976,2017,325,318,1,.505,Largent,Hasselbeck,Alexander,Largent,Holmgren,16,1,1,3,10
Tampa Bay Buccaneers,1976,2017,250,393,1,.389,Brooks,Testaverde,Wilder,Carrier,Gruden,10,1,1,1,6
Tennessee Titans,1960,2017,413,449,6,.479,Matthews,Moon,George,Givins,Fisher,21,2,0,1,9
Houston Oilers,1960,1996,251,291,6,.463,,,,,,15,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,.500,,,,,,0,0,0,0,0
Tennessee Titans,1999,2017,146,142,0,.507,,,,,,6,0,0,1,3
Washington Redskins,1932,2017,586,572,28,.506,Green,Theismann,Riggins,Monk,Gibbs,24,5,3,5,15
Boston Braves,1932,1932,4,4,2,.500,,,,,,0,0,0,0,0
Boston Redskins,1933,1936,20,24,3,.455,,,,,,1,0,0,0,1
Washington Redskins,1937,2017,562,544,23,.508,,,,,,23,5,3,5,14
