name,seasonal_av,year,player_id,college,position,height,weight,hand_size,arm_length,wonderlic,dash,bench,vert_leap,broad_jump,shuttle,cone,long_shuttle
Joe Germaine,1,1999,5701,Ohio State,QB,73,211,0,0,25,4.83,0,32,105,4.21,7.18,0
Aaron Gibson,2.6,1999,5702,Wisconsin,OT,78,386,0,0,0,5.35,31,24,111,4.54,7.99,0
Phil Glover,0.5,1999,5705,Utah,OLB,73,239,0,0,0,4.69,26,36.5,121,4.36,7.67,0
Cornell Green,2.625,1999,5708,Central Florida,OT,79,326,0,0,0,5.55,18,23,92,4.8,8.43,0
Lamont Green,0,1999,5709,Florida,OLB,75,226,0,0,0,4.76,18,33,114,4.48,7.66,0
Kelly Gregg,7.272727273,1999,5710,Oklahoma,DT,73,302,0,0,0,5.27,26,24,96,4.45,7.72,0
Chris Greisen,0,1999,5711,Northwest Missouri State,QB,75,223,0,0,27,5.09,0,30.5,108,4.33,7.29,0
Damon Griffin,0.5,1999,5713,Oregon,WR,69,186,0,0,0,4.65,0,36,116,4.2,7.42,0
Ryan Hale,0.5,1999,5715,Arkansas,DT,76,295,0,0,0,5.18,8,30.5,104,4.38,7.53,0
Cory Hall,4.5,1999,5716,Fresno State,FS,73,202,0,0,0,4.54,17,36,123,4.29,7.18,0
Derrick Ham,0,1999,5718,Miami,DE,76,257,0,0,0,4.91,24,28.5,105,4.54,7.84,0
Armon Hatcher,0,1999,5720,Oregon State,SS,73,215,0,0,0,4.58,0,36,122,4.2,7.23,0
Steve Heiden,1.181818182,1999,5721,San Diego State,TE,77,260,0,0,0,4.84,26,32,121,4.11,6.96,0
Madre Hill,0,1999,5722,Arkansas,RB,73,199,0,0,0,4.54,20,32,113,4.31,6.9,0
Warrick Holdman,5.375,1999,5724,Texas A&M,OLB,74,233,0,0,0,4.69,16,35,123,4.06,7.22,0
Torry Holt,11.18181818,1999,5727,North Carolina State,WR,73,192,0,0,0,4.44,0,37,118,0,0,0
Tyrone Hopson,0.75,1999,5730,Eastern Kentucky,OG,75,319,0,0,0,5.21,20,26,102,4.62,7.86,0
Bobbie Howard,2,1999,5732,Notre Dame,ILB,70,232,0,0,0,4.74,16,30,110,4.48,7.52,0
Brock Huard,0.666666667,1999,5733,Washington,QB,77,227,0,0,25,5.12,0,30.5,107,4.44,7.44,0
Corey Hulsey,1.4,1999,5735,Clemson,OG,77,367,0,0,0,5.73,31,25,96,4.89,8.21,0
Cletidus Hunt,5,1999,5738,Kentucky State,DT,76,293,0,0,0,4.98,17,31.5,111,4.73,8.08,0
Sedrick Irvin,2,1999,5740,Michigan State,RB,71,223,0,0,0,4.58,20,35,117,0,0,0
Dexter Jackson,3.5,1999,5741,Florida State,FS,73,196,0,0,0,4.61,16,36,117,4.06,6.96,11.22
Lenzie Jackson,0,1999,5742,Arizona State,WR,73,188,0,0,0,4.84,0,35,115,4.29,7.32,0
Sheldon Jackson,0,1999,5744,Nebraska,TE,75,243,0,0,0,4.82,14,30.5,105,4.47,7.36,0
Terry Jackson,0.857142857,1999,5745,Florida,FB,71,222,0,0,0,4.71,26,32.5,112,4.21,7.21,0
Edgerrin James,12.36363636,1999,5746,Miami,RB,73,216,0,0,0,4.38,0,0,0,3.88,6.87,0
Jon Jansen,6.6,1999,5747,Michigan,OT,79,305,0,0,0,5.3,22,27,100,4.61,7.62,0
MarTay Jenkins,2.75,1999,5749,Nebraska-Omaha,WR,73,203,0,0,0,4.51,0,39.5,118,4.18,7.3,0
Garrett Johnson,2,1999,5751,Illinois,DT,75,286,0,0,0,5.16,22,28,104,4.45,7.74,0
J.J. Johnson,2.333333333,1999,5752,Mississippi State,RB,74,227,0,0,0,4.71,16,0,0,4.19,7.3,0
Kevin Johnson,4.3,1999,5753,Syracuse,WR,71,194,8.38,31,0,4.41,0,36.5,115,3.86,6.79,12.19
Olrick Johnson,0.5,1999,5754,Florida A&M,ILB,73,246,0,0,0,4.97,27,29.5,103,4.24,7.73,0
Chris Jones,2.5,1999,5757,Clemson,OLB,70,228,10.75,34.5,0,4.72,21,24.5,106,4.48,7.64,0
Jermaine Jones,0,1999,5760,Northwestern State (LA),CB,68,180,0,0,0,4.53,12,38.5,118,3.96,6.79,0
Willie Jones,1,1999,5761,Grambling State (LA),OT,79,372,0,0,0,5.58,30,26,102,4.78,8.01,0
Andy Katzenmoyer,5,1999,5764,Ohio State,ILB,75,258,0,0,0,4.68,23,0,0,0,0,0
Jevon Kearse,7.636363636,1999,5765,Florida,OLB,77,262,0,0,0,4.58,0,37,122,4.24,0,0
Jeff Kelly,0.75,1999,5766,Kansas State,ILB,73,256,0,0,0,4.95,16,32,112,4.37,7.65,0
Reggie Kelly,1.333333333,1999,5767,Mississippi State,TE,76,254,0,0,0,4.86,24,32,0,0,0,0
Chad Kelsay,0,1999,5768,Nebraska,OLB,75,254,0,0,0,4.94,22,35.5,116,4.3,7.09,0
Patrick Kerney,7.181818182,1999,5769,Virginia,DE,78,266,0,0,0,4.72,21,31,111,4.42,7.45,0
Lamar King,3.2,1999,5773,Saginaw Valley State (MI),DE,75,299,0,0,0,4.77,22,30,108,4.28,7.4,0
Shaun King,3,1999,5774,Tulane,QB,73,221,0,0,25,4.77,0,33,113,4.29,0,0
Jim Kleinsasser,1.230769231,1999,5775,North Dakota,TE,75,272,0,0,0,4.79,18,34.5,114,4.33,7.24,0
Rob Konrad,1.666666667,1999,5778,Syracuse,FB,75,251,0,0,0,4.62,21,36,113,0,0,0
Kevin Landolt,0,1999,5780,West Virginia,DT,77,298,0,0,0,5.15,17,27,111,4.27,7.57,0
Courtney Ledyard,0,1999,5782,Michigan State,ILB,74,250,0,0,0,5.12,20,34.5,115,4.24,7.85,0
Emarlos Leroy,0.5,1999,5784,Georgia,DT,74,306,0,0,0,5.09,31,0,0,0,0,0
David Loverne,2.4,1999,5787,San Jose State,OG,75,292,0,0,0,5.19,23,25,96,4.43,7.49,0
Mike Lucky,0.333333333,1999,5788,Arizona,TE,79,269,0,0,0,4.95,0,29,108,4.38,7.42,0
Stacey Mack,2.8,1999,5791,Temple,FB,73,236,0,0,0,4.65,20,33,113,0,0,0
Joel Makovicka,0.75,1999,5792,Nebraska,FB,71,245,0,0,0,4.81,18,32.5,106,4.05,6.72,0
Cecil Martin,1,1999,5794,Wisconsin,FB,73,239,0,0,0,4.83,22,35.5,110,4.22,7.31,0
Chris McAlister,7.636363636,1999,5795,Arizona,CB,73,205,0,0,0,4.53,0,38,121,4.08,6.9,0
Todd McClure,7.769230769,1999,5797,Louisiana State,C,74,298,0,0,0,5.24,29,28,98,4.51,7.81,0
Daylon McCutcheon,5.571428571,1999,5799,Southern California,CB,69,180,0,0,0,4.48,13,36,118,4.35,7.21,0
Jeremy McDaniel,2,1999,5800,Arizona,WR,73,197,0,0,0,4.63,0,33.5,112,4.32,7.3,0
Darnell McDonald,1,1999,5801,Kansas State,WR,75,202,0,0,0,4.72,0,34,113,4.24,7.27,0
Anthony McFarland,5.75,1999,5802,Louisiana State,DT,73,299,0,0,0,4.85,25,28.5,120,4.28,7.98,0
Wane McGarity,2,1999,5803,Texas,WR,68,194,0,0,0,4.5,0,33,114,4.36,7.21,0
Reggie McGrew,0.333333333,1999,5804,Florida,DT,74,307,0,0,0,5.05,30,0,0,4.34,0,0
Travis McGriff,0.333333333,1999,5805,Florida,WR,68,185,0,0,0,4.53,0,35.5,113,4.13,7.28,0
Mike McKenzie,5.636363636,1999,5806,Memphis,FS,73,191,0,0,0,4.58,0,34,115,4.11,7.11,0
John McLaughlin,0,1999,5808,California,OLB,75,247,0,0,0,4.67,18,31.5,107,4.14,6.84,0
Donovan McNabb,10.61538462,1999,5809,Syracuse,QB,74,223,0,0,14,4.64,0,33,117,4.38,7.3,0
Cade McNown,3.5,1999,5810,UCLA,QB,73,213,0,0,28,4.73,0,33.5,113,4.28,7.27,0
Arnold Miller,0.5,1999,5812,Louisiana State,DE,76,240,0,0,0,4.77,12,33.5,120,4.12,7.01,0
Billy Miller,2.111111111,1999,5813,Southern California,WR,75,215,0,0,0,4.63,0,34.5,114,4.28,7.06,0
Kory Minor,1,1999,5816,Notre Dame,OLB,73,244,0,0,0,4.72,0,31,112,4.27,7.2,0
Paul Miranda,0.333333333,1999,5817,Central Florida,CB,70,180,0,0,0,4.42,11,40.5,125,4.1,7.18,0
Donald Mitchell,2,1999,5818,Southern Methodist,CB,70,187,0,0,0,4.47,24,37,121,4.08,6.87,0
Tywan Mitchell,1.5,1999,5820,Minnesota State,WR,77,223,0,0,0,4.74,0,30.5,108,0,7.6,0
Joe Montgomery,0.666666667,1999,5821,Ohio State,RB,71,227,0,0,0,4.63,0,0,0,4.22,7.1,0
Damon Moore,4,1999,5822,Ohio State,SS,71,209,0,0,0,4.6,21,35,118,4.22,7.18,0
Edwin Mulitalo,5.5,1999,5826,Arizona,OT,75,328,0,0,0,5.47,0,23.5,92,4.77,8.02,0
Hannibal Navies,2.777777778,1999,5828,Colorado,OLB,75,239,0,0,0,4.64,18,33,114,4.19,0,0
Jamar Nesbit,4.090909091,1999,5830,South Carolina,C,76,336,0,0,0,5.26,23,26.5,88,4.91,8,0
Robert Newkirk,0.666666667,1999,5832,Michigan State,DT,75,298,0,0,0,5.21,20,26,105,4.73,8.08,0
Keith Newman,3.875,1999,5833,North Carolina,ILB,75,239,0,0,0,4.78,18,32,111,4.37,7.94,0
Dat Nguyen,5.714285714,1999,5834,Texas A&M,ILB,71,234,0,0,0,4.74,19,0,0,0,0,0
Chike Okeafor,5.3,1999,5839,Purdue,OLB,77,254,0,0,0,4.74,17,36.5,118,4.2,7.09,0
Craig Page,0,1999,5841,Georgia Tech,C,75,295,0,0,0,5.13,38,32,117,4.51,7.43,0
Solomon Page,4.8,1999,5842,West Virginia,OT,77,306,0,0,0,5.24,24,31.5,106,0,0,0
Anthony Parker,4,1999,5843,Weber State (UT),CB,73,197,0,0,0,4.39,8,31,113,4.27,7.56,0
De'Mond Parker,1,1999,5844,Oklahoma,RB,70,189,0,0,0,4.49,13,41.5,120,4.16,7.28,0
Larry Parker,0.666666667,1999,5845,Southern California,WR,73,200,0,0,0,4.46,0,35.5,118,0,0,0
Sirr Parker,0,1999,5846,Texas A&M,RB,70,190,0,0,0,4.55,0,40,122,4.09,6.84,0
Jeff Paulk,0,1999,5847,Arizona State,FB,73,242,0,0,0,4.69,27,35.5,116,4.44,7.81,0
Jason Perry,1.5,1999,5849,North Carolina State,FS,73,200,0,0,0,4.58,17,36.5,124,4.23,7.31,0
Mike Peterson,6.714285714,1999,5850,Florida,OLB,74,233,0,0,0,4.47,18,36,118,4.08,7.07,0
Luke Petitgout,6.222222222,1999,5851,Notre Dame,OT,78,315,0,0,0,5.21,33,29,102,4.48,7.53,0
Zach Piller,3.875,1999,5852,Florida,OT,77,331,0,0,0,5.19,40,26.5,100,4.68,8.12,0
Chad Plummer,0,1999,5853,Cincinnati,WR,75,233,0,0,0,4.57,0,33,113,4.18,7.34,0
Joey Porter,8.538461538,1999,5854,Colorado State,OLB,75,241,0,0,0,4.68,27,39,124,4.41,7.37,0
Ronnie Powell,0,1999,5855,Northwestern State (LA),RB,70,174,0,0,0,4.43,0,35.5,116,4.14,7.09,0
Peerless Price,5.444444444,1999,5856,Tennessee,WR,71,180,0,0,0,4.55,0,35,116,4.09,7.28,0
Mike Pringley,0,1999,5857,North Carolina,DE,76,268,0,0,0,4.91,22,0,111,4.39,7.85,0
Pierson Prioleau,2,1999,5858,Virginia Tech,FS,70,191,0,0,0,4.55,18,42,134,3.97,7.28,0
Ian Rafferty,0,1999,5860,North Carolina State,OT,77,296,0,0,0,5.49,25,23.5,99,4.86,7.94,0
Wali Rainer,4.428571429,1999,5861,Virginia,ILB,74,241,0,0,0,4.91,26,32,111,4.33,7.83,0
Marcus Ray,0,1999,5862,Michigan,SS,71,206,0,0,0,4.61,0,35.5,115,4.19,7.43,0
Montae Reagor,3.555555556,1999,5864,Texas Tech,DE,74,263,0,0,0,4.84,20,34.5,108,4.23,7.36,0
Mike Rucker,7,1999,5870,Nebraska,DE,77,260,0,0,0,4.85,17,33.5,115,4.33,7.4,0
Grey Ruegamer,1.888888889,1999,5871,Arizona State,C,77,315,0,0,0,5.34,18,27.5,94,4.68,7.81,0
Orlando Ruff,3.428571429,1999,5872,Furman,ILB,74,248,0,0,0,4.99,22,33,113,4.33,7.4,0
Johnny Rutledge,0.4,1999,5873,Florida,ILB,74,245,0,0,0,4.63,18,33,115,4.21,7.27,0
Khari Samuel,0.333333333,1999,5874,Massachusetts,ILB,75,242,0,0,0,4.84,24,35,118,4.34,7.56,0
Talance Sawyer,2.6,1999,5876,UNLV,DE,74,268,0,0,0,4.89,23,31.5,112,4.35,7.8,0
Brad Scioli,2.166666667,1999,5878,Penn State,DE,75,277,0,0,0,4.92,23,33.5,108,4.27,7.37,0
L.J. Shelton,5.4,1999,5882,Eastern Michigan,OT,78,341,0,0,0,5.44,22,29.5,100,4.77,7.87,0
Scott Shields,1,1999,5883,Weber State (UT),SS,76,228,0,0,0,4.55,23,35,123,4.06,7.03,0
Aaron Smith,6.923076923,1999,5887,Northern Colorado,DE,77,279,0,0,0,5.06,19,29.5,110,4.34,7.48,0
Akili Smith,0.25,1999,5888,Oregon,QB,75,227,0,0,26,4.66,0,34,114,4.29,6.99,0
Brian Smith,0,1999,5889,Alabama-Birmingham,OLB,73,252,0,0,0,4.94,21,32.5,108,4.67,7.84,0
Jeff Smith,2.6,1999,5891,Wyoming,C,76,286,0,0,0,5.23,38,25,102,4.77,7.93,0
Larry Smith,1.333333333,1999,5892,Florida State,DT,77,288,0,0,0,5.12,22,30,111,4.39,7.72,0
Marquis Smith,1.666666667,1999,5893,California,SS,75,218,0,0,0,4.6,0,39.5,133,4.12,7.31,0
Troy Smith,0,1999,5894,East Carolina,WR,73,194,0,0,0,4.64,0,35.5,113,4.24,7.25,0
Cameron Spikes,2.333333333,1999,5897,Texas A&M,OG,75,314,0,0,0,5,23,32.5,117,4.36,7.51,0
Donnie Spragan,4.333333333,1999,5899,Stanford,OLB,76,236,0,0,0,4.95,20,33,113,4.4,7.88,0
Marcus Spriggs,1.111111111,1999,5900,Troy,DT,77,297,0,0,0,5.24,25,27.5,99,4.6,8.05,0
Aaron Stecker,2.1,1999,5902,Western Illinois,RB,70,210,0,0,0,4.84,23,32.5,113,4.17,7,0
Gary Stills,1.7,1999,5905,West Virginia,OLB,74,238,0,0,0,4.75,23,31.5,116,4.28,7.33,0
Matt Stinchcomb,4,1999,5906,Georgia,OT,78,306,0,0,0,5.12,29,29,105,4.54,7.79,0
Brandon Stokley,3.666666667,1999,5907,Louisiana-Lafayette,WR,73,197,0,0,0,4.49,0,35.5,118,4.01,7.04,0
Tai Streets,3.833333333,1999,5908,Michigan,WR,74,194,0,0,0,4.48,0,37,129,0,0,0
Justin Swift,0.5,1999,5909,Kansas State,TE,76,258,0,0,0,4.81,17,33,111,4.15,6.93,0
Sam Sword,1.5,1999,5910,Michigan,ILB,73,242,0,0,0,5.01,0,0,0,4.34,7.8,0
John Tait,5.9,1999,5911,BYU,OT,78,310,0,0,0,5.24,26,29.5,107,4.4,7.48,0
Chris Terry,5.5,1999,5915,Georgia,OT,77,291,0,0,0,5.07,0,31,108,4.41,7.73,0
Corey Terry,0,1999,5916,Tennessee,DE,75,254,0,0,0,4.79,0,0,0,4.26,7.4,0
Randy Thomas,5.818181818,1999,5919,Mississippi State,OG,76,306,0,0,0,5,31,31,107,4.66,7.71,0
Derrius Thompson,2,1999,5920,Baylor,WR,74,211,0,0,0,4.59,0,41.5,114,4.13,7.31,0
John Thornton,5.7,1999,5922,West Virginia,DT,75,299,0,0,0,5,26,32,111,4.46,8.09,0
Rex Tucker,2.142857143,1999,5923,Texas A&M,OT,77,303,0,0,0,5.23,27,30,106,4.43,7.4,0
Jerame Tuman,0.6,1999,5924,Michigan,TE,76,248,0,0,0,4.85,23,33,113,4.2,7.17,0
Dimitrius Underwood,0.5,1999,5926,Michigan State,DE,78,281,0,0,0,4.88,0,0,0,4.39,7.37,0
Fred Vinson,0,1999,5928,Vanderbilt,CB,71,177,0,0,0,4.39,14,36,121,4.17,7.21,0
Damon Washington,0.333333333,1999,5930,Colorado State,RB,71,200,0,0,0,4.53,18,37,114,4.07,7.28,0
Marcus Washington,7.625,1999,5931,Colorado,FS,74,219,0,0,0,4.54,16,37,117,4.44,7.4,0
Brian Waters,8.153846154,1999,5932,North Texas,TE,74,281,0,0,0,5,26,32,114,4.63,7.52,0
Chris Watson,2,1999,5933,Eastern Illinois,CB,73,191,0,0,0,4.34,18,37,124,3.86,6.8,0
Andre Weathers,0,1999,5934,Michigan,CB,73,189,0,0,0,4.65,0,32,119,4.03,7.03,0
Jed Weaver,2,1999,5936,Oregon,TE,76,246,0,0,0,4.93,19,31,106,4.17,7.16,0
Floyd Wedderburn,5,1999,5937,Penn State,OT,77,334,0,0,0,5.51,20,24.5,86,5.26,8.75,0
John Welbourn,5.111111111,1999,5938,California,OT,77,317,0,0,0,5.09,24,30,99,4.88,8.14,0
Joe Wesley,0,1999,5939,Louisiana State,ILB,73,229,0,0,0,4.72,15,33,114,4.29,7.6,0
Chris White,1.166666667,1999,5941,Southern,DT,75,282,9,30.88,0,5.23,25,29,107,4.71,8.15,11.58
Clarence Williams,0,1999,5944,Michigan,RB,69,202,0,0,0,4.71,19,33.5,108,4.15,6.98,0
Gerald Williams,6.333333333,1999,5945,Oklahoma,WR,75,207,0,0,0,4.45,0,35.5,117,3.96,7.09,0
Ricky Williams,8.181818182,1999,5947,Texas,RB,71,244,0,0,0,4.56,0,37,124,0,0,0
Al Wilson,10,1999,5948,Tennessee,ILB,73,239,0,0,0,4.56,17,33,116,4.25,7.31,0
Jason Wiltz,1,1999,5949,Nebraska,DT,76,308,0,0,0,5.31,0,27.5,101,4.51,7.67,0
Antoine Winfield,5.714285714,1999,5950,Ohio State,CB,69,176,0,0,0,4.41,0,37,122,3.95,6.84,0
Jerry Wisne,0,1999,5952,Notre Dame,OG,79,306,0,0,0,5.24,30,28,100,4.61,7.6,0
Joe Wong,0,1999,5953,BYU,OT,78,314,0,0,0,5.68,22,27,100,4.95,8.25,0
Damien Woody,6.166666667,1999,5954,Boston College,C,75,328,0,0,0,5.14,26,28.5,100,4.99,8.21,0
Mark Word,1.666666667,1999,5955,Jacksonville State (AL),OLB,77,258,0,0,0,4.8,16,31.5,115,4.33,7.44,0
Anthony Wright,1.833333333,1999,5956,South Carolina,QB,74,195,0,0,16,4.67,0,31,116,4.35,7.45,0
Craig Yeast,1.333333333,1999,5958,Kentucky,WR,68,164,0,0,0,4.47,0,32.5,112,4.14,7.31,0
Ryan Young,4.8,1999,5959,Kansas State,OT,78,335,0,0,0,5.57,20,0,0,0,0,0
Peppi Zellner,3.166666667,1999,5960,Fort Valley State (GA),DE,77,246,0,0,0,4.72,20,35.5,122,4.49,7.4,0
Amos Zereoue,3.428571429,1999,5961,West Virginia,RB,68,203,0,0,0,4.53,0,0,0,4.09,0,0
Darnell Alford,0,2000,278,Boston College,OT,76,334,0,0,0,5.56,23,25,94,4.98,8.48,0
Rashard Anderson,3,2000,277,Jackson State,CB,75,206,0,0,0,4.55,0,34,123,4.15,7.18,0
Corey Atkins,1,2000,275,South Carolina,OLB,73,237,0,0,0,4.72,21,31,112,4.39,7.96,0
Reggie Austin,1.5,2000,274,Wake Forest,CB,70,175,0,0,0,4.44,17,35,119,4.14,7.03,0
Rashidi Barnes,1,2000,272,Colorado,FS,73,208,0,0,0,4.62,10,35,114,4.32,6.92,0
David Barrett,3.888888889,2000,271,Arkansas,CB,70,199,0,0,0,4.44,16,37.5,116,4.04,6.81,0
William Bartee,2.333333333,2000,270,Oklahoma,CB,73,192,0,0,0,4.43,0,38.5,124,3.99,6.7,0
Robert Bean,1.666666667,2000,269,Mississippi State,CB,71,178,0,0,0,4.5,0,34.5,122,4.2,6.87,0
Anthony Becht,1.272727273,2000,268,West Virginia,TE,78,270,0,0,0,4.78,0,33.5,123,4.08,6.94,0
