"year","player","url","position","college","weight"
"2000","Adewale Ogunleye","/players/O/OgunAd00.htm","DE","Indiana","253"
"2000","Bobby Myers","/players/M/MyerBo21.htm","FS","Wisconsin","183"
"2000","Rob Morris","/players/M/MorrRo20.htm","ILB","BYU","250"
"2000","Corey Moore","/players/M/MoorCo20.htm","OLB","Virginia Tech","223"
"2000","Michael Boireau","","DE","Miami (FL)","274"
"2000","Keith Miller","/players/M/MillKe20.htm","ILB","California","246"
"2000","Jeff Harris","","CB","Georgia","190"
"2000","Rob Meier","/players/M/MeieRo20.htm","DE","Washington State","284"
"2000","Damion McIntosh","/players/M/McInDa20.htm","OT","Kansas State","328"
"2000","Chris McIntosh","/players/M/McInCh20.htm","OT","Wisconsin","315"
"2000","Stockar McDougle","/players/M/McDoSt20.htm","OT","Oklahoma","361"
"2000","Anthony Malbrough","/players/M/MalbAn20.htm","CB","Texas Tech","184"
"2000","David Macklin","/players/M/MackDa20.htm","CB","Penn State","194"
"2000","Dustin Lyman","/players/L/LymaDu00.htm","ILB","Wake Forest","259"
"2000","Shane Lechler","/players/L/LechSh20.htm","P","Texas A&M","234"
"2000","Kareem Larrimore","/players/L/LarrKa20.htm","CB","West Texas A&M","190"
"2000","Adrian Klemm","/players/K/KlemAd20.htm","OT","Hawaii","307"
"2000","Erron Kinney","/players/K/KinnEr00.htm","TE","Florida","272"
"2000","Kenoy Kennedy","/players/K/KennKe21.htm","FS","Arkansas","221"
"2000","Ben Kelly","/players/K/KellBe20.htm","CB","Colorado","183"
"2000","John Jones","/players/J/JoneJo00.htm","TE","Indiana (PA)","248"
"2000","Fred Jones","/players/J/JoneFr20.htm","OLB","Colorado","247"
"2000","Dhani Jones","/players/J/JoneDh20.htm","OLB","Michigan","240"
"2000","Brandon Jennings","/players/J/JennBr20.htm","FS","Texas A&M","198"
"2000","Mark Baniewicz","","OT","Syracuse","312"
"2000","Joey Chustz","","OT","Louisiana Tech","304"
"2000","Reggie Howard","/players/H/HowaRe21.htm","CB","Memphis","190"
"2000","Darren Howard","/players/H/HowaDa21.htm","DE","Kansas State","281"
"2000","Lloyd Harrison","/players/H/HarrLl20.htm","CB","North Carolina State","190"
"2000","Antwan Harris","/players/H/HarrAn21.htm","CB","Virginia","186"
"2000","James Hall","/players/H/HallJa21.htm","DE","Michigan","271"
"2000","Clark Haggans","/players/H/HaggCl20.htm","OLB","Colorado State","253"
"2000","Cornelius Griffin","/players/G/GrifCo20.htm","DE","Alabama","297"
"2000","Barrett Green","/players/G/GreeBa20.htm","OLB","West Virginia","233"
"2000","Dwayne Goodrich","/players/G/GoodDw20.htm","CB","Tennessee","195"
"2000","Ian Gold","/players/G/GoldIa00.htm","OLB","Michigan","221"
"2000","Kabeer Gbaja-Biamila","/players/G/GbajKa20.htm","OLB","San Diego State","243"
"2000","Trent Gamble","/players/G/GambTr20.htm","FS","Wyoming","186"
"2000","Byron Frisch","/players/F/FrisBy20.htm","DE","BYU","281"
"2000","Arturo Freeman","/players/F/FreeAr20.htm","FS","South Carolina","188"
"2000","Todd Franz","/players/F/FranTo21.htm","FS","Tulsa","199"
"2000","Bubba Franks","/players/F/FranBu00.htm","TE","Miami (FL)","265"
"2000","Erik Flowers","/players/F/FlowEr20.htm","DE","Arizona State","271"
"2000","Zeron Flemister","/players/F/FlemZe00.htm","TE","Iowa","249"
"2000","Aaron Fields","/players/F/FielAa20.htm","DE","Troy","243"
"2000","John Engelberger","/players/E/EngeJo20.htm","DE","Virginia Tech","260"
"2000","Shaun Ellis","/players/E/ElliSh00.htm","DE","Tennessee","280"
"2000","Mario Edwards","/players/E/EdwaMa20.htm","CB","Florida State","191"
"2000","Na'il Diggs","/players/D/DiggNa20.htm","OLB","Ohio State","231"
"2000","Quinton Reese","","DE","Auburn","283"
"2000","Casey Crawford","/players/C/CrawCa00.htm","TE","Virginia","244"
"2000","Renard Cox","/players/C/CoxxRe20.htm","CB","Maryland","192"
"2000","Chad Clifton","/players/C/ClifCh20.htm","OT","Tennessee","334"
"2000","Danny Clark","/players/C/ClarDa21.htm","ILB","Illinois","245"
"2000","Ike Charlton","/players/C/CharIk20.htm","CB","Virginia Tech","205"
"2000","Leonardo Carson","/players/C/CarsLe20.htm","DE","Auburn","283"
"2000","Keith Bulluck","/players/B/BullKe00.htm","OLB","Syracuse","244"
"2000","Lamont Bryant","/players/B/BryaLa00.htm","DE","Notre Dame","260"
"2000","Ralph Brown","/players/B/BrowRa20.htm","CB","Nebraska","185"
"2000","Courtney Brown","/players/B/BrowCo22.htm","DE","Penn State","269"
"2000","Gary Berry","/players/B/BerrGa20.htm","FS","Ohio State","204"
"2000","Marcus Bell","/players/B/BellMa21.htm","ILB","Arizona","237"
"2000","Rogers Beckett","/players/B/BeckRo20.htm","FS","Marshall","207"
"2000","Anthony Becht","/players/B/BechAn00.htm","TE","West Virginia","270"
"2000","Robert Bean","/players/B/BeanRo20.htm","CB","Mississippi State","178"
"2000","William Bartee","/players/B/BartWi20.htm","CB","Oklahoma","192"
"2000","David Barrett","/players/B/BarrDa22.htm","CB","Arkansas","199"
"2000","Rashidi Barnes","/players/B/BarnRa20.htm","FS","Colorado","208"
"2000","John Baker","/players/B/BakeJo21.htm","P","North Texas","227"
"2000","Reggie Austin","/players/A/AustRe20.htm","CB","Wake Forest","175"
"2000","Corey Atkins","/players/A/AtkiCo20.htm","OLB","South Carolina","237"
"2000","LaVar Arrington","/players/A/ArriLa00.htm","OLB","Penn State","250"
"2000","Rashard Anderson","/players/A/AndeRa21.htm","CB","Jackson State","206"
"2000","Darnell Alford","/players/A/AlfoDa20.htm","OT","Boston College","334"
"2000","John Abraham","/players/A/AbraJo00.htm","OLB","South Carolina","252"
"2000","Jerard White","","CB","Massachusetts","213"
"2000","Jeff Walker","","P","Mississippi State","218"
"2000","Jamel Smith","","ILB","Virginia Tech","245"
"2000","Dwyte Smiley","","FS","Youngstown State","198"
"2000","Samson Sherrod","","OLB","San Jose State","262"
"2000","Kyle Allamon","","TE","Texas Tech","253"
"2000","Andrew Bayes","","P","East Carolina","200"
"2000","Matt Beck","","ILB","California","234"
"2000","David Byrd","","CB","Syracuse","202"
"2000","Pedro Cirino","","FS","Boston College","197"
"2000","Kurth Connell","","OT","Washington","291"
"2000","Rameel Connor","","DE","Illinois","276"
"2000","Sedrick Curry","","CB","Texas A&M","197"
"2000","Joe Dean Davenport","","TE","Arkansas","268"
"2000","Chris Edwards","","OLB","Georgia Tech","226"
"2000","Dwan Epps","","ILB","Texas Southern","242"
"2000","Lamar Grant","","CB","Duke","188"
"2000","Brian Gray","","CB","BYU","214"
"2000","Jonathan Gray","","OT","Texas Tech","338"
"2000","Mike Green","","FS","Northwestern State","189"
"2000","Deone Horinek","","P","Colorado State","234"
"2000","Aaron Humphrey","","DE","Texas","254"
"2000","Sean Key","","FS","Florida State","188"
"2000","Jimmy Kibble","","P","Virginia Tech","195"
"2000","Terrence McCaskey","","TE","Mississippi State","271"
"2000","Carlos Nuno","","TE","BYU","263"
"2000","Cedric Pittman","","OLB","Nevada","261"
"2000","Chase Raynock","","OT","Montana","308"
"2001","Paul Zukauskas","/players/Z/ZukaPa20.htm","OG","Boston College","307"
"2001","Shawn Worthen","/players/W/WortSh20.htm","DT","TCU","310"
"2001","Cedrick Wilson","/players/W/WilsCe00.htm","WR","Tennessee","179"
"2001","Marcus Williams","/players/W/WillMa21.htm","WR","Washington State","230"
"2001","Louis Williams","/players/W/WillLo20.htm","OG","LSU","299"
"2001","Reggie White","/players/W/WhitRe20.htm","RB","Oklahoma State","228"
"2001","Chris Weinke","/players/W/WeinCh00.htm","QB","Florida State","226"
"2001","Reggie Wayne","/players/W/WaynRe00.htm","WR","Miami (FL)","198"
"2001","Gerard Warren","/players/W/WarrGe20.htm","DT","Florida","325"
"2001","Keydrick Vincent","/players/V/VincKe20.htm","OG","Mississippi","328"
"2001","Michael Vick","/players/V/VickMi00.htm","QB","Virginia Tech","210"
"2001","Marques Tuiasosopo","/players/T/TuiaMa00.htm","QB","Washington","223"
"2001","LaDainian Tomlinson","/players/T/TomlLa00.htm","RB","TCU","221"
"2001","Anthony Thomas","/players/T/ThomAn01.htm","RB","Michigan","229"
"2001","David Terrell","/players/T/TerrDa00.htm","WR","Michigan","213"
"2001","Vinny Sutherland","/players/S/SuthVi00.htm","WR","Purdue","192"
"2001","Alex Sulfsted","/players/S/SulfAl20.htm","OG","Miami (OH)","312"
"2001","Marcus Stroud","/players/S/StroMa01.htm","DT","Georgia","321"
"2001","Daleroy Stewart","/players/S/StewDa20.htm","DT","Southern Miss","309"
"2001","Steve Smith","/players/S/SmitSt01.htm","WR","Utah","184"
"2001","Omar Smith","/players/S/SmitOm20.htm","OG","Kentucky","293"
"2001","Kenny Smith","/players/S/SmitKe23.htm","DT","Alabama","299"
"2001","Marcel Shipp","/players/S/ShipMa00.htm","RB","Massachusetts","222"
"2001","Richard Seymour","/players/S/SeymRi00.htm","DT","Georgia","299"
"2001","Josh Booty","","QB","LSU","221"
"2001","John Schlecht","/players/S/SchlJo20.htm","DT","Minnesota","295"
"2001","Jace Sayler","/players/S/SaylJa20.htm","DT","Michigan State","294"
"2001","Sage Rosenfels","/players/R/RoseSa00.htm","QB","Iowa State","228"
"2001","Shaun Rogers","/players/R/RogeSh99.htm","DT","Texas","320"
"2001","Koren Robinson","/players/R/RobiKo00.htm","WR","North Carolina State","211"
"2001","Bernard Robertson","/players/R/RobeBe20.htm","OG","Tulane","308"
"2001","Ken-Yon Rambo","/players/R/RambKe00.htm","WR","Ohio State","196"
"2001","Dominic Raiola","/players/R/RaioDo20.htm","C","Nebraska","307"
"2001","Casey Rabach","/players/R/RabaCa20.htm","C","Wisconsin","298"
"2001","Nate Poole","/players/P/PoolNa01.htm","WR","Marshall","198"
"2001","Chris Taylor","","WR","Texas A&M","183"
"2001","Ryan Pickett","/players/P/PickRy20.htm","DT","Ohio State","309"
"2001","Tupe Peko","/players/P/PekoTu20.htm","C","Michigan State","300"
"2001","Jesse Palmer","/players/P/PalmJe00.htm","QB","Florida","231"
"2001","Chukky Okobi","/players/O/OkobCh20.htm","C","Purdue","316"
"2001","Moran Norris","/players/N/NorrMo00.htm","FB","Kansas","250"
"2001","Dennis Norman","/players/N/NormDe20.htm","OG","Princeton","305"
"2001","Ennis Davis","","DT","Southern California","302"
"2001","Mathias Nkwenti","/players/N/NkweMa20.htm","OG","Temple","293"
"2001","Steve Neal","/players/N/NealSt20.htm","WR","Western Michigan","190"
"2001","Santana Moss","/players/M/MossSa00.htm","WR","Miami (FL)","184"
"2001","Quincy Morgan","/players/M/MorgQu00.htm","WR","Kansas State","211"
"2001","Mario Monds","/players/M/MondMa20.htm","DT","Cincinnati","342"
"2001","Freddie Mitchell","/players/M/MitcFr00.htm","WR","UCLA","185"
"2001","Travis Minor","/players/M/MinoTr00.htm","RB","Florida State","197"
"2001","Snoop Minnis","/players/M/MinnMa00.htm","WR","Florida State","171"
"2001","Josh Heupel","","QB","Oklahoma","215"
"2001","Shawn Draper","","OG","Alabama","303"
"2001","Mike McMahon","/players/M/McMaMi00.htm","QB","Rutgers","207"
"2001","Quentin McCord","/players/M/McCoQu00.htm","WR","Kentucky","191"
"2001","Justin McCareins","/players/M/McCaJu00.htm","WR","Northern Illinois","209"
"2001","Deuce McAllister","/players/M/McAlDe00.htm","RB","Mississippi","222"
"2001","David Martin","/players/M/MartDa00.htm","WR","Tennessee","242"
"2001","Victor Leyva","/players/L/LeyvVi20.htm","OG","Arizona State","313"
"2001","Damione Lewis","/players/L/LewiDa20.htm","DT","Miami (FL)","293"
"2001","Cleo Lemon","/players/L/LemoCl00.htm","QB","Arkansas State","226"
"2001","Matt Lehr","/players/L/LehrMa20.htm","OG","Virginia Tech","290"
"2001","George Layne","/players/L/LaynGe00.htm","FB","TCU","242"
"2001","Andre King","/players/K/KingAn00.htm","WR","Miami (FL)","199"
"2001","Michael Keathley","/players/K/KeatMi20.htm","OG","TCU","308"
"2001","Kevin Kasper","/players/K/KaspKe00.htm","WR","Iowa","199"
"2001","Lamont Jordan","/players/J/JordLa00.htm","RB","Maryland","234"
"2001","Rudi Johnson","/players/J/JohnRu00.htm","RB","Auburn","227"
"2001","Chad Johnson","/players/J/JohnCh01.htm","WR","Oregon State","192"
"2001","Kris Jenkins","/players/J/JenkKr00.htm","DT","Maryland","318"
"2001","Richmond Flowers","","WR","Chattanooga","195"
"2001","Chad Ward","","OG","Washington","321"
"2001","Cedric James","/players/J/JameCe00.htm","WR","TCU","204"
"2001","James Jackson","/players/J/JackJa00.htm","RB","Miami (FL)","210"
"2001","Arnold Jackson","/players/J/JackAr00.htm","WR","Louisville","167"
"2001","Steve Hutchinson","/players/H/HutcSt00.htm","OG","Michigan","315"
"2001","Willie Howard","/players/H/HowaWi20.htm","DT","Stanford","295"
"2001","Russ Hochstein","/players/H/HochRu20.htm","OG","Nebraska","300"
"2001","Travis Henry","/players/H/HenrTr00.htm","RB","Tennessee","223"
"2001","Tim Hasselbeck","/players/H/HassTi00.htm","QB","Boston College","211"
"2001","Casey Hampton","/players/H/HampCa00.htm","DT","Texas","314"
"2001","Ben Hamilton","/players/H/HamiBe20.htm","C","Minnesota","303"
"2001","Adam Haayer","/players/H/HaayAd20.htm","OG","Minnesota","298"
"2001","Reggie Germany","/players/G/GermRe00.htm","WR","Ohio State","183"
"2001","Roberto Garza","/players/G/GarzRo20.htm","C","Texas A&M-Kingsville","303"
"2001","Rod Gardner","/players/G/GardRo00.htm","WR","Clemson","219"
