"year","player","college","position","height","weight","hand_size","arm_length","wonderlic","40_yard_dash","bench","vert_leap","broad_jump","shuttle","3cone","60_yard_shuttle"
"Alphonso Collins","East Carolina","TE","74","281","0","0","0","4.83","20","32.5","108","4.41","7.37","0"
"Cecil Collins","McNeese State (LA)","RB","69","209","0","0","0","4.51","17","33.0","117","0","7.21","0"
"Dan Collins","Boston College","OG","76","282","0","0","0","5.03","20","24.0","100","0","0","0"
"Rosevelt Colvin","Purdue","DE","75","256","0","0","0","4.92","0","36.5","119","4.19","7.08","0"
"Kris Comstock","Kentucky","OT","80","319","0","0","0","5.55","17","23.5","101","4.84","8.19","0"
"Eddie Conti","Delaware","WR","68","173","0","0","0","4.50","0","36.0","120","4.04","6.96","0"
"Mike Cook","William & Mary","QB","73","207","0","0","22","4.80","0","33.5","112","4.32","7.29","0"
"Rashard Cook","Southern California","FS","71","197","0","0","0","4.77","13","36.0","122","4.30","7.20","0"
"Jermaine Copeland","Tennessee","WR","74","201","0","0","0","4.50","0","36.0","117","4.28","7.30","0"
"Mondell Corbett","East Carolina","OG","74","313","0","0","0","5.41","21","29.0","100","4.77","8.03","0"
"Tim Couch","Kentucky","QB","76","225","0","0","22","5.08","0","31.0","0","4.34","0","0"
"Scott Covington","Miami","QB","74","219","0","0","21","4.67","0","34.0","109","4.42","7.62","0"
"Jason Craft","Colorado State","CB","70","178","0","0","0","4.52","14","37.5","113","4.20","6.97","0"
"Daunte Culpepper","Central Florida","QB","76","255","0","0","18","4.52","0","39.0","122","4.13","7.21","0"
"Chris Cummings","Louisiana State","CB","68","186","0","0","0","4.48","21","34.5","125","4.14","6.87","0"
"DeMarcus Curry","Auburn","OT","77","317","0","0","0","5.35","20","25.5","98","4.69","7.98","0"
"Tony D'Amato","Utah State","ILB","71","240","0","0","0","4.77","34","30.0","106","4.40","7.50","0"
"Kevin Daft","Cal Davis","QB","74","203","0","0","32","4.85","0","32.5","114","4.37","7.39","0"
"Aaron Dalan","Washington","OT","80","328","0","0","0","5.24","23","23.5","99","4.61","8.03","0"
"Antico Dalton","Hampton","OLB","73","242","0","0","0","4.71","30","35.0","117","4.32","7.49","0"
"Robert Daniel","Northwestern State (LA)","DE","78","281","0","0","0","5.04","24","28.5","110","4.86","7.91","0"
"Oscar Davenport","North Carolina","QB","76","199","0","0","6","4.90","0","31.0","109","4.82","7.50","0"
"Russell Davis","North Carolina","DT","76","294","0","0","0","4.95","27","27.5","104","4.56","8.06","0"
"Eric De Groh","West Virginia","C","76","324","0","0","0","5.53","23","28.0","102","4.56","7.79","0"
"James Dearth","Tarleton State (TX)","TE","76","273","0","0","0","5.01","25","29.5","112","4.57","8.30","0"
"Autry Denson","Notre Dame","RB","70","197","0","0","0","4.67","20","31.0","116","4.15","6.97","0"
"Dan Dercher","Kansas","OT","78","293","0","0","0","5.28","14","28.0","109","4.49","7.78","0"
"Jared DeVries","Iowa","DT","76","279","0","0","0","4.97","24","32.5","111","4.14","7.28","0"
"Adrian Dingle","Clemson","DE","75","290","0","0","0","4.94","20","33.0","112","4.40","7.43","0"
"Antonio Dingle","Virginia","DT","74","320","0","0","0","5.26","22","31.0","102","4.85","8.12","0"
"Charles Dorsey","Auburn","DT","74","283","0","0","0","4.93","24","31.0","112","4.52","7.48","0"
"Dameane Douglas","California","WR","73","201","0","0","0","4.64","0","31.5","119","4.36","7.36","0"
"Scott Dreisbach","Michigan","QB","75","216","0","0","20","4.75","0","33.0","112","4.27","7.06","0"
"Kelvin Eafon","Arizona","FB","70","221","0","0","0","4.63","17","32.0","113","4.24","7.18","0"
"Antuan Edwards","Clemson","SS","73","210","0","0","0","4.46","0","38.0","123","3.96","6.89","0"
"Brian Edwards","East Tennessee State","FB","73","223","0","0","0","4.66","18","35.5","122","4.19","7.12","0"
"Eric Edwards","Oregon","CB","71","180","0","0","0","4.65","10","34.0","113","4.27","7.30","0"
"Troy Edwards","Louisiana Tech","WR","70","191","0","0","0","4.57","0","36.5","118","4.16","7.37","0"
"Ebenezer Ekuban","North Carolina","DE","76","281","0","0","0","4.70","0","32.0","112","4.39","7.36","0"
"Justin Ernest","Eastern Kentucky","DT","75","281","0","0","0","4.79","51","31.0","113","4.24","7.37","0"
"Dan Falcon","Western Michigan","DT","74","274","0","0","0","4.77","23","33.0","113","4.19","7.21","0"
"Kris Farris","UCLA","OT","80","313","0","0","0","5.12","20","24.0","95","4.76","8.00","0"
"John Fassel","Weber State (UT)","WR","76","189","0","0","0","4.67","0","33.5","111","4.09","7.26","0"
"Kevin Faulk","Louisiana State","RB","68","205","0","0","0","4.57","0","34.0","114","4.09","7.14","0"
"Jermaine Fazande","Oklahoma","FB","73","268","0","0","0","4.79","18","31.5","107","4.70","8.06","0"
"Jim Finn","Pennsylvania","FB","70","228","0","0","0","4.62","24","31.5","108","4.21","7.18","0"
"Bryce Fisher","Air Force","DE","76","283","0","0","0","5.00","19","31.0","106","4.34","7.64","0"
"Charles Fisher","West Virginia","CB","73","182","0","0","0","4.49","10","38.0","124","4.16","0","0"
"Derrick Fletcher","Baylor","OT","78","374","0","0","0","5.20","27","0","0","0","0","0"
"Jay Foreman","Nebraska","ILB","73","241","0","0","0","4.66","20","36.0","117","4.16","7.20","0"
"Shawn Foreman","West Virginia","WR","73","212","0","0","0","4.77","0","32.0","112","4.41","7.75","0"
"Mitchell Freedman","Arizona","FS","73","217","0","0","0","4.65","7","38.5","125","0","0","0"
"Rufus French","Mississippi","TE","75","256","0","0","0","4.92","20","32.0","106","4.50","7.78","0"
"Lennie Friedman","Duke","OG","75","301","0","0","0","5.36","25","29.0","100","4.51","8.04","0"
"Todd Frohbieter","Arkansas State","OT","78","323","0","0","0","5.28","20","27.0","100","4.51","7.98","0"
"Chris Gall","Indiana","FB","73","229","0","0","0","4.79","23","31.0","108","4.34","7.43","0"
"Jason Gamble","Clemson","C","74","302","0","0","0","5.18","24","28.5","105","4.54","7.84","0"
"Mark Garcia","Ohio State","QB","75","220","0","0","21","4.72","0","33.5","108","4.20","7.36","0"
"Barry Gardner","Northwestern","ILB","73","242","0","0","0","4.71","25","33.0","113","4.32","7.42","0"
"Kelvin Garmon","Baylor","OG","75","329","0","0","0","5.09","23","25.0","96","4.66","7.84","0"
"Olandis Gary","Georgia","RB","73","216","0","0","0","4.71","22","34.0","116","4.13","7.15","0"
"Tony George","Florida","SS","71","198","0","0","0","4.61","15","36.5","117","4.24","7.30","0"
"Joe Germaine","Ohio State","QB","73","211","0","0","25","4.83","0","32.0","105","4.21","7.18","0"
"Aaron Gibson","Wisconsin","OT","78","386","0","0","0","5.35","31","24.0","111","4.54","7.99","0"
"Marquis Gibson","Missouri","OLB","74","227","0","0","0","4.68","15","33.0","115","4.30","7.39","0"
"Justin Glasgow","Kansas","OG","77","328","0","0","0","5.35","35","24.0","95","4.59","7.98","0"
"Phil Glover","Utah","OLB","73","239","0","0","0","4.69","26","36.5","121","4.36","7.67","0"
