"Year","Team","Wins","Losses","Ties","PF","PA","PD","WC","D","C","SL","SW"
"1978","Buffalo Bills","5","11","0","302","354","-52","0","0","0","0","0"
"1978","Chicago Bears","7","9","0","253","274","-21","0","0","0","0","0"
"1978","Minnesota Vikings","8","7","1","294","306","-12","1","1","0","0","0"
"1978","Pittsburgh Steelers","14","2","0","356","195","161","1","1","1","1","1"
"1978","San Diego Chargers","9","7","0","355","309","46","0","0","0","0","0"
"1978","Atlanta Falcons","9","7","0","240","290","-50","1","1","0","0","0"
"1978","Los Angeles Rams","12","4","0","316","245","71","1","1","1","0","0"
"1978","Houston Oilers","10","6","0","283","298","-15","1","1","1","0","0"
"1978","New York Jets","8","8","0","359","364","-5","0","0","0","0","0"
"1978","Philadelphia Eagles","9","7","0","270","250","20","1","0","0","0","0"
"1978","Green Bay Packers","8","7","1","249","269","-20","0","0","0","0","0"
"1978","Dallas Cowboys","12","4","0","384","208","176","1","1","1","1","0"
"1978","New York Giants","6","10","0","264","298","-34","0","0","0","0","0"
"1978","Seattle Seahawks","9","7","0","345","358","-13","0","0","0","0","0"
"1978","Cleveland Browns","8","8","0","334","356","-22","0","0","0","0","0"
"1978","Oakland Raiders","9","7","0","311","283","28","0","0","0","0","0"
"1978","New England Patriots","11","5","0","358","286","72","1","1","0","0","0"
"1978","Kansas City Chiefs","4","12","0","243","327","-84","0","0","0","0","0"
"1978","St. Louis Cardinals","6","10","0","248","296","-48","0","0","0","0","0"
"1978","Denver Broncos","10","6","0","282","198","84","1","1","0","0","0"
"1978","Washington Redskins","8","8","0","273","283","-10","0","0","0","0","0"
"1978","Detroit Lions","7","9","0","290","300","-10","0","0","0","0","0"
"1978","San Francisco 49ers","2","14","0","219","350","-131","0","0","0","0","0"
"1978","Miami Dolphins","11","5","0","372","254","118","1","0","0","0","0"
"1978","Cincinnati Bengals","4","12","0","252","284","-32","0","0","0","0","0"
"1978","New Orleans Saints","7","9","0","281","298","-17","0","0","0","0","0"
