year,id,name,position_id,av_value
1994,1986235,"Mike Zordich",S,8
1994,1989218,"Myron Guyton",S,8
1994,1984271,"Shaun Gayle",S,8
1994,1989181,"Stevon Moore",S,8
1994,198734,"Tim McDonald",S,8
1994,198654,"Vencie Glenn",S,8
1994,199011,"Anthony Smith",DE,8
1994,199265,"Bill Johnson",DT,8
1994,19947,"Bryant Young",DT,8
1994,199223,"Chris Mims",DT,8
1994,198772,"Henry Thomas",DT,8
1994,0000795,"James Harris",DE,8
1994,198693,"Joe Phillips",DT,8
1994,0000796,"John Jurkovic",DT,8
1994,199299,"Keith Hamilton",DT,8
1994,199212,"Marco Coleman",DE,8
1994,199051,"Mike Fox",DT,8
1994,199132,"Mike Jones",DT,8
1994,1991146,"Nolan Harrison",DE,8
1994,198151,"Rickey Jackson",DE,8
1994,19911,"Russell Maryland",DT,8
1994,198554,"Simon Fletcher",DE,8
1994,199420,"Tim Bowens",DT,8
1994,198887,"Tim Goad",DT,8
1994,199018,"Tony Bennett",LB,8
1994,1992105,"Tony McCoy",DT,8
1994,0000786,"Tony Siragusa",DT,8
1994,198912,"Trace Armstrong",DE,8
1994,198522,"William Perry",DT,8
1994,199046,"Andre Collins",OLB,8
1994,198880,"Bill Romanowski",OLB,8
1994,199165,"Carlos Jenkins",OLB,8
1994,1992125,"Ed McDaniel",OLB,8
1994,00001269,"Gary Plummer",OLB,8
1994,00001246,"Jessie Tuggle",ILB,8
1994,1988210,"Joe Cain",OLB,8
1994,198841,"Ken Norton",OLB,8
1994,199224,"Robert Jones",OLB,8
1994,00001270,"Rod Stephens",ILB,8
1994,199131,"Roman Phifer",OLB,8
1994,199359,"Steve Tovar",ILB,8
1994,198411,"Wilber Marshall",OLB,8
1994,1991104,"William Thomas",OLB,8
1994,199414,"Bernard Williams",T,8
1994,198964,"Bob Kratch",G,8
1994,19928,"Bob Whitfield",T,8
1994,1988264,"Brian Habib",G,8
1994,1990320,"Chris Port",G,8
1994,198937,"Courtney Hall",C,8
1994,198334,"Dave Lutz",T,8
1994,1990180,"Dave Szott",G,8
1994,198894,"Dave Widell",C,8
1994,1987121,"David Alexander",C,8
1994,00001804,"Derek Kennard",G,8
1994,198941,"Doug Widell",G,8
1994,1992244,"Jay Leeuwenburg",G,8
1994,1985111,"Jeff Dellenbach",G,8
1994,198965,"Jerry Fontenot",C,8
1994,19866,"Jim Dombrowski",G,8
1994,1990185,"Joe Staysniak",G,8
1994,1990113,"Jon Melander",G,8
1994,198534,"Kevin Glover",C,8
1994,1987206,"Kevin Gogan",G,8
1994,198559,"Kirk Lowdermilk",C,8
1994,199319,"Lester Holmes",G,8
1994,198967,"Mike Zandofsky",G,8
1994,199111,"Pat Harlow",T,8
1994,1990203,"Roman Fortin",C,8
1994,1984112,"Ron Heller",T,8
1994,1990226,"Shawn Bouwens",G,8
1994,199040,"Tim Grunhard",C,8
1994,199374,"Will Shields",G,8
1994,198620,"Will Wolford",T,8
1994,199298,"Roy Barker",DE,8
1994,198438,"Boomer Esiason",QB,8
1994,00002414,"Dave Krieg",QB,8
1994,199070,"Neil O'Donnell",QB,8
1994,19871,"Vinny Testaverde",QB,8
1994,198824,"Craig Heyward",RB,8
1994,1985114,"Herschel Walker",RB,8
1994,199310,"Jerome Bettis",RB,8
1994,199030,"Reggie Cobb",RB,8
1994,199024,"Rodney Hampton",RB,8
1994,199430,"Darnay Scott",WR,8
1994,199429,"Derrick Alexander",WR,8
1994,198846,"Flipper Anderson",WR,8
1994,1989100,"Michael Timpson",WR,8
1994,198618,"Mike Sherrard",WR,8
1994,198860,"Quinn Early",WR,8
1994,199316,"Sean Dawkins",WR,8
1994,199356,"Vincent Brisby",WR,8
1994,19949,"Antonio Langham",CB,7
1994,1988272,"Brian Washington",S,7
1994,1989134,"Darren Carrington",S,7
1994,199228,"Darryl Williams",S,7
1994,199138,"Darryll Lewis",CB,7
1994,1993141,"Doug Evans",CB,7
1994,00009,"Eugene Robinson",S,7
1994,1988137,"James Washington",S,7
1994,199048,"LeRoy Butler",S,7
1994,000035,"Lorenzo Lynch",S,7
1994,1991102,"Marcus Robertson",S,7
1994,19906,"Mark Carrier",S,7
1994,1992272,"Mark McMillian",CB,7
1994,1992139,"Matt Darby",S,7
1994,198895,"Michael Brim",CB,7
1994,1990199,"Mickey Washington",CB,7
1994,199034,"Robert Blackmon",S,7
1994,19919,"Stanley Richard",S,7
1994,198920,"Steve Atwater",S,7
1994,199118,"Alfred Williams",DE,7
1994,0000807,"Bernard Wilson",DT,7
1994,1992264,"Brad Culpepper",DT,7
1994,0000808,"Chuck Klingbeil",DT,7
1994,0000809,"Darren Mickell",DT,7
1994,199047,"Dennis Brown",DE,7
1994,198747,"Donald Evans",DT,7
1994,198636,"Gerald Williams",DE,7
1994,1989131,"Glenn Montgomery",DT,7
1994,198914,"Jeff Lageman",DE,7
1994,198763,"Jerry Ball",DT,7
1994,199064,"Jimmie Jones",DT,7
1994,0000810,"Joe Nash",DT,7
1994,0000811,"Keith Rucker",DT,7
1994,199043,"Kenny Davidson",DE,7
1994,199015,"Lamar Lathon",LB,7
1994,1989151,"Marvin Washington",DE,7
1994,199340,"Michael Strahan",DE,7
1994,199154,"Phil Hansen",DE,7
1994,19853,"Ray Childress",DT,7
1994,0000797,"Ray Seals",DE,7
1994,1988225,"Reuben Davis",DT,7
1994,1991116,"Robert Young",DE,7
1994,1988163,"Shawn Lee",DT,7
1994,198073,"Steve McMichael",DT,7
1994,199125,"Ted Washington",DT,7
1994,1987147,"Al Smith",ILB,7
1994,199075,"Bobby Houston",OLB,7
1994,19896,"Broderick Thomas",OLB,7
