year,team_id,wins,losses,ties,pf,pa,pd,wc,d,c,sl,sw
1981,MIA,11,4,1,345,275,70,1,1,0,0,0
1981,CIN,12,4,0,421,304,117,1,1,1,1,0
1981,NYG,9,7,0,295,257,38,1,1,0,0,0
1981,IND,2,14,0,259,533,-274,0,0,0,0,0
1981,TAM,9,7,0,315,268,47,1,1,0,0,0
1982,BUF,4,5,0,150,154,-4,0,0,0,0,0
1982,CHI,3,6,0,141,174,-33,0,0,0,0,0
1982,MIN,5,4,0,187,198,-11,1,1,0,0,0
1982,PIT,6,3,0,204,146,58,1,0,0,0,0
1982,LAC,6,3,0,288,221,67,1,1,0,0,0
1982,ATL,5,4,0,183,199,-16,1,0,0,0,0
1982,LAR,2,7,0,200,250,-50,0,0,0,0,0
1982,OAK,8,1,0,260,200,60,1,1,0,0,0
1982,TEN,1,8,0,136,245,-109,0,0,0,0,0
1982,NYJ,6,3,0,245,166,79,1,1,1,0,0
1982,PHI,3,6,0,191,195,-4,0,0,0,0,0
1982,GNB,5,3,1,226,169,57,1,1,0,0,0
1982,DAL,6,3,0,226,145,81,1,1,1,0,0
1982,ARI,5,4,0,135,170,-35,1,0,0,0,0
1982,SEA,4,5,0,127,147,-20,0,0,0,0,0
1982,CLE,4,5,0,140,182,-42,1,0,0,0,0
1982,NWE,5,4,0,143,157,-14,1,0,0,0,0
1982,KAN,3,6,0,176,184,-8,0,0,0,0,0
1982,NYG,4,5,0,164,160,4,0,0,0,0,0
1982,DEN,2,7,0,148,226,-78,0,0,0,0,0
1982,WAS,8,1,0,190,128,62,1,1,1,1,1
1982,DET,4,5,0,181,176,5,1,0,0,0,0
1982,SFO,3,6,0,209,206,3,0,0,0,0,0
1982,MIA,7,2,0,198,131,67,1,1,1,1,0
1982,CIN,7,2,0,232,177,55,1,0,0,0,0
1982,NOR,4,5,0,129,160,-31,0,0,0,0,0
1982,IND,0,8,1,113,236,-123,0,0,0,0,0
1982,TAM,5,4,0,158,178,-20,1,0,0,0,0
1983,BUF,8,8,0,283,351,-68,0,0,0,0,0
1983,CHI,8,8,0,311,301,10,0,0,0,0,0
1983,MIN,8,8,0,316,348,-32,0,0,0,0,0
1983,PIT,10,6,0,355,303,52,1,1,0,0,0
1983,LAC,6,10,0,358,462,-104,0,0,0,0,0
1983,ATL,7,9,0,370,389,-19,0,0,0,0,0
1983,LAR,9,7,0,361,344,17,1,1,0,0,0
1983,OAK,12,4,0,442,338,104,1,1,1,1,1
1983,TEN,2,14,0,288,460,-172,0,0,0,0,0
1983,NYJ,7,9,0,313,331,-18,0,0,0,0,0
1983,PHI,5,11,0,233,322,-89,0,0,0,0,0
1983,GNB,8,8,0,429,439,-10,0,0,0,0,0
1983,DAL,12,4,0,479,360,119,1,0,0,0,0
1983,ARI,8,7,1,374,428,-54,0,0,0,0,0
1983,SEA,9,7,0,403,397,6,1,1,1,0,0
1983,CLE,9,7,0,356,342,14,0,0,0,0,0
1983,NOR,8,8,0,319,337,-18,0,0,0,0,0
1983,NWE,8,8,0,274,289,-15,0,0,0,0,0
1983,KAN,6,10,0,386,367,19,0,0,0,0,0
1983,DET,9,7,0,347,286,61,1,1,0,0,0
1983,DEN,9,7,0,302,327,-25,1,0,0,0,0
1983,WAS,14,2,0,541,332,209,1,1,1,1,0
1983,SFO,10,6,0,432,293,139,1,1,1,0,0
1983,MIA,12,4,0,389,250,139,1,1,0,0,0
1983,CIN,7,9,0,346,302,44,0,0,0,0,0
1983,NYG,3,12,1,267,347,-80,0,0,0,0,0
1983,IND,7,9,0,264,354,-90,0,0,0,0,0
1983,TAM,2,14,0,241,380,-139,0,0,0,0,0
1984,BUF,2,14,0,250,454,-204,0,0,0,0,0
1984,CHI,10,6,0,325,248,77,1,1,1,0,0
1984,MIN,3,13,0,276,484,-208,0,0,0,0,0
1984,PIT,9,7,0,387,310,77,1,1,1,0,0
1984,LAC,7,9,0,394,413,-19,0,0,0,0,0
1984,ATL,4,12,0,281,382,-101,0,0,0,0,0
1984,IND,4,12,0,239,414,-175,0,0,0,0,0
1984,OAK,11,5,0,368,278,90,1,0,0,0,0
1984,TEN,3,13,0,240,437,-197,0,0,0,0,0
1984,NYJ,7,9,0,332,364,-32,0,0,0,0,0
1984,PHI,6,9,1,278,320,-42,0,0,0,0,0
1984,LAR,10,6,0,346,316,30,1,0,0,0,0
1984,GNB,8,8,0,390,309,81,0,0,0,0,0
1984,DAL,9,7,0,308,308,0,0,0,0,0,0
1984,ARI,9,7,0,423,345,78,0,0,0,0,0
1984,SEA,12,4,0,418,282,136,1,1,0,0,0
1984,CLE,5,11,0,250,297,-47,0,0,0,0,0
1984,NWE,9,7,0,362,352,10,0,0,0,0,0
1984,KAN,8,8,0,314,324,-10,0,0,0,0,0
1984,NYG,9,7,0,299,301,-2,1,1,0,0,0
1984,DEN,13,3,0,353,241,112,1,1,0,0,0
1984,WAS,11,5,0,426,310,116,1,1,0,0,0
1984,DET,4,11,1,283,408,-125,0,0,0,0,0
1984,SFO,15,1,0,475,227,248,1,1,1,1,1
1984,MIA,14,2,0,513,298,215,1,1,1,1,0
1984,CIN,8,8,0,339,339,0,0,0,0,0,0
1984,NOR,7,9,0,298,361,-63,0,0,0,0,0
1984,TAM,6,10,0,335,380,-45,0,0,0,0,0
1985,BUF,2,14,0,200,381,-181,0,0,0,0,0
1985,CHI,15,1,0,456,198,258,1,1,1,1,1
1985,MIN,7,9,0,346,359,-13,0,0,0,0,0
1985,PIT,7,9,0,379,355,24,0,0,0,0,0
1985,LAC,8,8,0,467,435,32,0,0,0,0,0
1985,ATL,4,12,0,282,452,-170,0,0,0,0,0
1985,IND,5,11,0,320,386,-66,0,0,0,0,0
1985,OAK,12,4,0,354,308,46,1,1,0,0,0
1985,TEN,5,11,0,284,412,-128,0,0,0,0,0
1985,NYJ,11,5,0,393,264,129,1,0,0,0,0
1985,PHI,7,9,0,286,310,-24,0,0,0,0,0
1985,LAR,11,5,0,340,277,63,1,1,1,0,0
1985,GNB,8,8,0,337,355,-18,0,0,0,0,0
1985,DAL,10,6,0,357,333,24,1,1,0,0,0
1985,ARI,5,11,0,278,414,-136,0,0,0,0,0
1985,SEA,8,8,0,349,303,46,0,0,0,0,0
1985,CLE,8,8,0,287,294,-7,1,1,0,0,0
1985,NWE,11,5,0,362,290,72,1,1,1,1,0
1985,KAN,6,10,0,317,360,-43,0,0,0,0,0
1985,NYG,10,6,0,399,283,116,1,1,0,0,0
1985,DEN,11,5,0,380,329,51,0,0,0,0,0
1985,WAS,10,6,0,297,312,-15,0,0,0,0,0
1985,DET,7,9,0,307,366,-59,0,0,0,0,0
1985,SFO,10,6,0,411,263,148,1,0,0,0,0
1985,MIA,12,4,0,428,320,108,1,1,1,0,0
1985,CIN,7,9,0,441,437,4,0,0,0,0,0
1985,NOR,5,11,0,294,401,-107,0,0,0,0,0
1985,TAM,2,14,0,294,448,-154,0,0,0,0,0
1986,BUF,4,12,0,287,348,-61,0,0,0,0,0
1986,CHI,14,2,0,352,187,165,1,1,0,0,0
1986,MIN,9,7,0,398,273,125,0,0,0,0,0
1986,PIT,6,10,0,307,336,-29,0,0,0,0,0
1986,LAC,4,12,0,335,396,-61,0,0,0,0,0
1986,ATL,7,8,1,280,280,0,0,0,0,0,0
1986,IND,3,13,0,229,400,-171,0,0,0,0,0
1986,OAK,8,8,0,323,346,-23,0,0,0,0,0
1986,TEN,5,11,0,274,329,-55,0,0,0,0,0
1986,NYJ,10,6,0,364,386,-22,1,1,0,0,0
1986,PHI,5,10,1,256,312,-56,0,0,0,0,0
1986,LAR,10,6,0,309,267,42,1,0,0,0,0
1986,GNB,4,12,0,254,418,-164,0,0,0,0,0
1986,DAL,7,9,0,346,337,9,0,0,0,0,0
1986,ARI,4,11,1,218,351,-133,0,0,0,0,0
1986,SEA,10,6,0,366,293,73,0,0,0,0,0
1986,CLE,12,4,0,391,310,81,1,1,1,0,0
1986,NWE,11,5,0,412,307,105,1,1,0,0,0
1986,KAN,10,6,0,358,326,32,1,0,0,0,0
1986,NYG,14,2,0,371,236,135,1,1,1,1,1
1986,DEN,11,5,0,378,327,51,1,1,1,1,0
1986,WAS,12,4,0,368,296,72,1,1,1,0,0
1986,DET,5,11,0,277,326,-49,0,0,0,0,0
1986,SFO,10,5,1,374,247,127,1,1,0,0,0
1986,MIA,8,8,0,430,405,25,0,0,0,0,0
1986,CIN,10,6,0,409,394,15,0,0,0,0,0
1986,NOR,7,9,0,288,287,1,0,0,0,0,0
1986,TAM,2,14,0,239,473,-234,0,0,0,0,0
1987,BUF,7,8,0,270,305,-35,0,0,0,0,0
1987,CHI,11,4,0,356,282,74,1,1,0,0,0
1987,MIN,8,7,0,336,335,1,1,1,1,0,0
1987,PIT,8,7,0,285,299,-14,0,0,0,0,0
1987,LAC,8,7,0,253,317,-64,0,0,0,0,0
1987,ATL,3,12,0,205,436,-231,0,0,0,0,0
1987,IND,9,6,0,300,238,62,1,1,0,0,0
1987,OAK,5,10,0,301,289,12,0,0,0,0,0
