Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
ARI,7.0,15.0,14.0,9.0,8.0,12.0,13.0,9.0,15.0,21.0,26.0,3.0,3.0
HOU,5.0,10.0,7.0,4.0,10.0,8.0,3.0,1.0,31.0,39.0,38.0,2.0,4.0
DET,7.0,17.0,16.0,3.0,14.0,12.0,8.0,18.0,13.0,21.0,29.0,3.0,4.0
CIN,10.0,23.0,15.0,4.0,14.0,15.0,7.0,10.0,17.0,24.0,24.0,1.0,3.0
DAL,6.0,12.0,9.0,3.0,11.0,10.0,1.0,22.0,26.0,30.0,40.0,2.0,2.0
CHI,9.0,19.0,9.0,4.0,10.0,14.0,12.0,19.0,14.0,30.0,30.0,3.0,5.0
WAS,8.0,20.0,15.0,2.0,20.0,20.0,0,21.0,15.0,31.0,36.0,1.0,0.0
CAR,7.0,16.0,9.0,3.0,9.0,12.0,5.0,26.0,25.0,32.0,41.0,4.0,1.0
MIN,16.0,24.0,19.0,8.0,24.0,13.0,10.0,15.0,15.0,19.0,25.0,2.0,2.0
BAL,9.0,15.0,15.0,8.0,20.0,16.0,3.0,17.0,12.0,39.0,34.0,2.0,4.0
LAC,10.0,18.0,18.0,7.0,14.0,19.0,8.0,18.0,15.0,33.0,31.0,2.0,2.0
BUF,14.0,28.0,18.0,4.0,13.0,34.0,0,16.0,16.0,19.0,28.0,3.0,3.0
LAR,9.0,22.0,12.0,4.0,17.0,14.0,10.0,15.0,19.0,33.0,38.0,3.0,3.0
IND,14.0,29.0,12.0,5.0,21.0,15.0,8.0,24.0,11.0,27.0,33.0,2.0,3.0
CLE,10.0,27.0,13.0,3.0,8.0,20.0,15.0,17.0,21.0,30.0,36.0,3.0,3.0
SEA,15.0,26.0,16.0,6.0,23.0,18.0,9.0,19.0,14.0,25.0,30.0,2.0,3.0
NYJ,14.0,28.0,22.0,3.0,19.0,19.0,14.0,8.0,16.0,34.0,30.0,2.0,2.0
JAX,14.0,21.0,18.0,8.0,18.0,21.0,9.0,22.0,18.0,23.0,35.0,4.0,2.0
SFO,16.0,29.0,21.0,4.0,19.0,19.0,12.0,17.0,15.0,35.0,23.0,1.0,2.0
NWE,13.0,24.0,20.0,4.0,8.0,20.0,22.0,23.0,13.0,26.0,34.0,1.0,6.0
NYG,12.0,18.0,18.0,9.0,17.0,23.0,2.0,31.0,17.0,30.0,40.0,1.0,2.0
GNB,13.0,25.0,21.0,5.0,11.0,20.0,11.0,28.0,12.0,29.0,39.0,3.0,4.0
NOR,16.0,37.0,17.0,3.0,1.0,20.0,27.0,17.0,17.0,27.0,33.0,2.0,5.0
PIT,14.0,33.0,15.0,3.0,28.0,18.0,4.0,12.0,14.0,45.0,34.0,2.0,2.0
TEN,15.0,24.0,17.0,6.0,27.0,20.0,2.0,24.0,16.0,32.0,36.0,2.0,3.0
DEN,14.0,25.0,22.0,9.0,16.0,23.0,14.0,11.0,29.0,27.0,31.0,2.0,2.0
MIA,13.0,21.0,24.0,7.0,24.0,12.0,11.0,27.0,18.0,27.0,39.0,2.0,3.0
KAN,18.0,30.0,28.0,10.0,18.0,26.0,18.0,20.0,7.0,22.0,29.0,1.0,4.0
ATL,19.0,22.0,17.0,8.0,18.0,20.0,11.0,19.0,12.0,39.0,39.0,3.0,4.0
OAK,18.0,28.0,27.0,6.0,14.0,29.0,17.0,17.0,19.0,26.0,39.0,2.0,3.0
PHI,15.0,22.0,19.0,5.0,29.0,22.0,0,26.0,23.0,36.0,58.0,2.0,5.0
TAM,11.0,21.0,15.0,5.0,14.0,15.0,8.0,37.0,30.0,47.0,52.0,3.0,5.0
