Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
CLE,10.0,14.0,12.0,3.0,13.0,13.0,6.0,11.0,12.0,17.0,23.0,3.0,2.0
CIN,10.0,20.0,14.0,4.0,13.0,17.0,8.0,7.0,14.0,21.0,23.0,1.0,0.0
NOR,10.0,17.0,10.0,3.0,14.0,16.0,7.0,11.0,17.0,23.0,27.0,1.0,3.0
ARI,3.0,16.0,12.0,3.0,6.0,13.0,13.0,21.0,15.0,24.0,32.0,2.0,2.0
PHI,3.0,12.0,11.0,4.0,13.0,9.0,6.0,9.0,26.0,27.0,38.0,2.0,2.0
SFO,13.0,18.0,20.0,3.0,26.0,9.0,9.0,13.0,12.0,17.0,22.0,1.0,4.0
ATL,12.0,23.0,15.0,4.0,12.0,16.0,13.0,15.0,16.0,19.0,28.0,1.0,2.0
CHI,10.0,20.0,10.0,4.0,14.0,14.0,7.0,8.0,28.0,29.0,35.0,2.0,-1.0
LAC,10.0,11.0,13.0,9.0,14.0,12.0,9.0,18.0,20.0,30.0,35.0,3.0,4.0
NYG,11.0,20.0,14.0,4.0,12.0,21.0,6.0,20.0,18.0,28.0,32.0,2.0,4.0
GNB,13.0,24.0,17.0,3.0,24.0,11.0,11.0,18.0,14.0,28.0,34.0,1.0,4.0
NWE,11.0,22.0,12.0,4.0,13.0,17.0,7.0,12.0,30.0,29.0,43.0,2.0,2.0
NYJ,9.0,23.0,20.0,1.0,14.0,15.0,14.0,18.0,10.0,37.0,35.0,4.0,4.0
DEN,11.0,17.0,14.0,8.0,16.0,14.0,13.0,17.0,25.0,26.0,36.0,4.0,5.0
DET,14.0,26.0,14.0,5.0,17.0,16.0,9.0,22.0,20.0,27.0,34.0,2.0,5.0
SEA,12.0,23.0,15.0,3.0,22.0,19.0,3.0,19.0,23.0,31.0,37.0,2.0,5.0
MIA,12.0,23.0,16.0,3.0,19.0,16.0,9.0,20.0,17.0,37.0,40.0,2.0,6.0
KAN,10.0,21.0,16.0,9.0,24.0,8.0,11.0,17.0,24.0,34.0,43.0,2.0,3.0
PIT,12.0,23.0,18.0,3.0,18.0,17.0,11.0,8.0,20.0,44.0,40.0,4.0,4.0
OAK,16.0,23.0,22.0,8.0,27.0,11.0,11.0,18.0,23.0,24.0,38.0,1.0,2.0
BAL,9.0,20.0,13.0,1.0,14.0,17.0,9.0,25.0,18.0,48.0,45.0,2.0,4.0
MIN,17.0,35.0,18.0,3.0,21.0,18.0,12.0,25.0,13.0,24.0,38.0,3.0,1.0
DAL,11.0,23.0,17.0,4.0,22.0,19.0,8.0,32.0,11.0,35.0,44.0,3.0,0.0
WAS,16.0,31.0,28.0,4.0,25.0,22.0,11.0,19.0,16.0,21.0,32.0,2.0,2.0
CAR,19.0,33.0,21.0,10.0,28.0,22.0,6.0,15.0,15.0,24.0,30.0,1.0,5.0
TEN,15.0,22.0,17.0,11.0,24.0,21.0,7.0,24.0,20.0,27.0,35.0,3.0,4.0
TAM,10.0,15.0,19.0,3.0,12.0,13.0,12.0,18.0,31.0,48.0,47.0,3.0,5.0
IND,18.0,34.0,21.0,11.0,32.0,22.0,0.0,14.0,21.0,24.0,33.0,2.0,5.0
BUF,15.0,24.0,14.0,6.0,13.0,17.0,18.0,35.0,12.0,35.0,47.0,1.0,2.0
JAX,14.0,29.0,16.0,5.0,4.0,40.0,8.0,31.0,18.0,36.0,43.0,2.0,4.0
LAR,20.0,38.0,31.0,4.0,20.0,31.0,11.0,34.0,19.0,31.0,45.0,2.0,3.0
