Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
IND,5.0,11.0,10.0,1.0,10.0,12.0,1.0,13.0,7.0,23.0,25.0,3.0,2.0
CIN,10.0,17.0,15.0,5.0,10.0,19.0,2.0,13.0,10.0,20.0,26.0,3.0,4.0
TAM,7.0,15.0,10.0,3.0,8.0,15.0,5.0,23.0,16.0,17.0,33.0,2.0,3.0
LAR,9.0,15.0,12.0,6.0,15.0,14.0,8.0,12.0,11.0,24.0,25.0,1.0,6.0
ARI,3.0,16.0,9.0,1.0,5.0,14.0,9.0,10.0,21.0,27.0,35.0,8.0,4.0
NWE,9.0,14.0,10.0,6.0,2.0,12.0,13.0,14.0,14.0,39.0,33.0,1.0,2.0
PIT,11.0,16.0,17.0,8.0,16.0,9.0,9.0,21.0,2.0,36.0,32.0,2.0,3.0
LAC,9.0,15.0,21.0,6.0,17.0,13.0,9.0,19.0,9.0,29.0,33.0,2.0,2.0
GNB,9.0,21.0,14.0,3.0,15.0,15.0,8.0,18.0,17.0,29.0,36.0,2.0,3.0
NYJ,12.0,26.0,19.0,2.0,17.0,17.0,11.0,25.0,11.0,27.0,35.0,1.0,0.0
NYG,14.0,28.0,16.0,4.0,11.0,26.0,13.0,11.0,5.0,36.0,32.0,3.0,4.0
ATL,14.0,30.0,11.0,0.0,21.0,13.0,11.0,7.0,14.0,38.0,38.0,3.0,4.0
CLE,13.0,20.0,22.0,3.0,26.0,11.0,10.0,9.0,28.0,26.0,31.0,3.0,3.0
MIN,13.0,22.0,18.0,7.0,24.0,16.0,10.0,19.0,17.0,24.0,31.0,4.0,3.0
MIA,16.0,32.0,18.0,4.0,19.0,20.0,6.0,15.0,9.0,30.0,30.0,3.0,6.0
OAK,12.0,20.0,17.0,7.0,17.0,20.0,10.0,32.0,6.0,24.0,36.0,3.0,5.0
DET,12.0,30.0,17.0,0.0,18.0,17.0,9.0,2.0,28.0,38.0,33.0,2.0,3.0
SEA,9.0,21.0,14.0,3.0,15.0,11.0,10.0,30.0,14.0,34.0,43.0,2.0,4.0
DAL,14.0,28.0,22.0,11.0,16.0,11.0,15.0,20.0,13.0,23.0,32.0,3.0,3.0
CHI,14.0,20.0,17.0,4.0,12.0,19.0,14.0,16.0,22.0,34.0,37.0,2.0,1.0
PHI,10.0,14.0,13.0,7.0,13.0,16.0,7.0,43.0,20.0,34.0,42.0,2.0,5.0
DEN,13.0,20.0,19.0,5.0,22.0,10.0,10.0,37.0,14.0,28.0,46.0,2.0,2.0
KAN,13.0,26.0,28.0,3.0,22.0,20.0,12.0,11.0,19.0,41.0,35.0,2.0,4.0
TEN,15.0,39.0,13.0,0,31.0,18.0,5.0,23.0,21.0,31.0,42.0,2.0,1.0
BUF,18.0,36.0,28.0,6.0,25.0,17.0,17.0,15.0,7.0,43.0,33.0,1.0,1.0
SFO,21.0,27.0,23.0,8.0,24.0,22.0,11.0,27.0,17.0,32.0,41.0,2.0,0.0
NOR,12.0,24.0,17.0,4.0,12.0,18.0,9.0,13.0,22.0,72.0,51.0,3.0,5.0
WAS,18.0,40.0,27.0,4.0,26.0,30.0,10.0,27.0,21.0,40.0,46.0,1.0,4.0
