Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
SFO,4.0,14.0,9.0,7.0,9.0,13.0,5.0,14.0,13.0,22.0,29.0,2.0,4.0
CHI,4.0,9.0,8.0,2.0,7.0,12.0,5.0,23.0,22.0,29.0,40.0,3.0,1.0
CLE,10.0,17.0,13.0,2.0,9.0,18.0,8.0,15.0,18.0,27.0,34.0,1.0,3.0
OAK,12.0,24.0,14.0,5.0,11.0,20.0,12.0,15.0,15.0,14.0,25.0,4.0,4.0
DAL,10.0,20.0,14.0,8.0,24.0,10.0,7.0,16.0,15.0,23.0,27.0,2.0,3.0
LAR,12.0,27.0,14.0,1.0,14.0,16.0,9.0,5.0,20.0,27.0,30.0,3.0,3.0
DET,10.0,21.0,16.0,4.0,7.0,13.0,12.0,19.0,21.0,23.0,33.0,2.0,4.0
TEN,11.0,23.0,16.0,6.0,18.0,25.0,4.0,18.0,11.0,21.0,27.0,2.0,3.0
NYG,6.0,16.0,20.0,6.0,21.0,10.0,11.0,15.0,22.0,22.0,32.0,2.0,3.0
MIA,3.0,18.0,10.0,7.0,4.0,17.0,9.0,33.0,14.0,31.0,41.0,2.0,3.0
NOR,13.0,26.0,13.0,4.0,9.0,19.0,15.0,26.0,8.0,24.0,31.0,3.0,4.0
HOU,13.0,24.0,17.0,2.0,10.0,31.0,2.0,17.0,15.0,28.0,34.0,2.0,2.0
ARI,8.0,18.0,12.0,3.0,7.0,19.0,8.0,27.0,21.0,30.0,39.0,3.0,3.0
ATL,16.0,14.0,18.0,8.0,18.0,8.0,15.0,20.0,17.0,26.0,35.0,2.0,2.0
WAS,2.0,15.0,11.0,2.0,22.0,9.0,5.0,20.0,26.0,44.0,43.0,3.0,2.0
TAM,10.0,19.0,12.0,4.0,10.0,20.0,3.0,37.0,7.0,38.0,43.0,2.0,0.0
SEA,12.0,23.0,16.0,6.0,24.0,19.0,7.0,23.0,11.0,28.0,30.0,1.0,5.0
CIN,10.0,26.0,14.0,4.0,14.0,22.0,7.0,20.0,17.0,29.0,37.0,2.0,5.0
CAR,13.0,26.0,16.0,4.0,6.0,30.0,8.0,31.0,9.0,29.0,30.0,3.0,2.0
JAX,10.0,18.0,14.0,4.0,21.0,16.0,1.0,21.0,30.0,29.0,41.0,3.0,2.0
GNB,15.0,32.0,20.0,4.0,11.0,30.0,9.0,15.0,17.0,22.0,29.0,2.0,4.0
MIN,20.0,30.0,21.0,9.0,17.0,29.0,15.0,13.0,18.0,16.0,22.0,1.0,3.0
BAL,7.0,12.0,17.0,7.0,11.0,13.0,6.0,43.0,18.0,31.0,47.0,2.0,5.0
KAN,17.0,28.0,25.0,14.0,19.0,23.0,26.0,17.0,9.0,18.0,25.0,1.0,2.0
DEN,14.0,25.0,18.0,15.0,9.0,16.0,16.0,21.0,19.0,27.0,43.0,1.0,4.0
NYJ,12.0,24.0,22.0,3.0,15.0,18.0,12.0,15.0,20.0,47.0,42.0,1.0,3.0
BUF,10.0,26.0,16.0,4.0,8.0,36.0,1.0,19.0,24.0,38.0,47.0,3.0,3.0
LAC,19.0,28.0,25.0,14.0,23.0,20.0,11.0,4.0,26.0,39.0,31.0,3.0,3.0
PHI,17.0,25.0,21.0,7.0,14.0,30.0,2.0,19.0,23.0,35.0,47.0,2.0,5.0
PIT,12.0,26.0,20.0,2.0,35.0,17.0,2.0,16.0,17.0,53.0,42.0,3.0,4.0
NWE,15.0,29.0,24.0,7.0,24.0,22.0,12.0,11.0,30.0,40.0,36.0,2.0,5.0
IND,22.0,42.0,26.0,9.0,26.0,25.0,17.0,23.0,12.0,15.0,34.0,3.0,3.0
