Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
CAR,2.0,10.0,11.0,2.0,4.0,17.0,6.0,19.0,17.0,27.0,28.0,2.0,4.0
ARI,6.0,18.0,10.0,2.0,18.0,8.0,1.0,14.0,15.0,27.0,31.0,2.0,4.0
BUF,10.0,22.0,12.0,1.0,12.0,11.0,11.0,18.0,28.0,9.0,27.0,2.0,2.0
CLE,9.0,12.0,12.0,8.0,14.0,18.0,9.0,21.0,11.0,18.0,32.0,3.0,3.0
SEA,10.0,20.0,15.0,5.0,3.0,22.0,9.0,11.0,22.0,23.0,30.0,2.0,3.0
DEN,14.0,27.0,13.0,2.0,13.0,20.0,9.0,8.0,19.0,17.0,27.0,3.0,3.0
WAS,10.0,15.0,10.0,7.0,3.0,17.0,14.0,27.0,13.0,29.0,34.0,0.0,0.0
MIA,8.0,17.0,10.0,4.0,1.0,32.0,6.0,34.0,20.0,18.0,30.0,3.0,2.0
CIN,11.0,25.0,10.0,5.0,9.0,27.0,8.0,18.0,13.0,27.0,34.0,1.0,2.0
JAX,14.0,22.0,22.0,10.0,27.0,18.0,0,18.0,10.0,19.0,25.0,2.0,3.0
SFO,10.0,14.0,12.0,10.0,17.0,14.0,7.0,28.0,14.0,26.0,33.0,3.0,3.0
MIN,8.0,18.0,13.0,5.0,8.0,16.0,11.0,21.0,21.0,30.0,36.0,2.0,4.0
DAL,15.0,23.0,15.0,11.0,13.0,32.0,0,33.0,5.0,17.0,27.0,3.0,2.0
LAR,9.0,19.0,12.0,5.0,8.0,20.0,8.0,24.0,18.0,29.0,39.0,3.0,3.0
TAM,15.0,20.0,15.0,8.0,20.0,17.0,5.0,18.0,19.0,33.0,30.0,1.0,3.0
DET,13.0,18.0,18.0,9.0,9.0,25.0,8.0,17.0,25.0,23.0,31.0,3.0,5.0
TEN,13.0,24.0,16.0,9.0,0.0,24.0,20.0,33.0,2.0,23.0,34.0,2.0,5.0
OAK,11.0,23.0,19.0,7.0,8.0,29.0,7.0,22.0,25.0,13.0,37.0,4.0,3.0
HOU,17.0,27.0,25.0,12.0,16.0,31.0,5.0,14.0,13.0,16.0,25.0,2.0,5.0
KAN,12.0,17.0,27.0,7.0,17.0,7.0,18.0,13.0,25.0,29.0,36.0,2.0,2.0
IND,16.0,31.0,15.0,9.0,10.0,12.0,23.0,22.0,15.0,24.0,28.0,2.0,5.0
NYJ,9.0,20.0,14.0,5.0,10.0,9.0,14.0,46.0,19.0,24.0,42.0,2.0,1.0
BAL,12.0,21.0,18.0,7.0,18.0,11.0,9.0,24.0,27.0,29.0,39.0,2.0,4.0
PHI,18.0,27.0,17.0,6.0,6.0,34.0,14.0,12.0,16.0,31.0,37.0,2.0,3.0
CHI,12.0,16.0,16.0,4.0,5.0,20.0,14.0,22.0,26.0,36.0,48.0,1.0,3.0
NYG,12.0,24.0,15.0,6.0,23.0,24.0,4.0,47.0,3.0,25.0,36.0,2.0,3.0
LAC,17.0,27.0,22.0,12.0,27.0,7.0,13.0,21.0,19.0,26.0,36.0,2.0,3.0
ATL,16.0,30.0,20.0,10.0,11.0,25.0,8.0,6.0,18.0,47.0,37.0,1.0,4.0
NOR,14.0,27.0,16.0,9.0,23.0,31.0,1.0,19.0,15.0,33.0,42.0,3.0,2.0
GNB,16.0,28.0,13.0,7.0,9.0,31.0,9.0,6.0,23.0,53.0,47.0,2.0,3.0
PIT,14.0,25.0,13.0,6.0,8.0,25.0,17.0,30.0,16.0,45.0,46.0,2.0,2.0
NWE,18.0,33.0,26.0,16.0,26.0,32.0,14.0,14.0,23.0,29.0,34.0,2.0,3.0
