Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
LAR,2.0,18.0,13.0,3.0,9.0,13.0,10.0,18.0,9.0,25.0,31.0,4.0,2.0
MIA,10.0,16.0,15.0,4.0,1.0,22.0,14.0,19.0,10.0,19.0,23.0,2.0,4.0
ATL,10.0,18.0,9.0,3.0,11.0,17.0,8.0,8.0,13.0,33.0,32.0,2.0,2.0
SFO,-1.0,12.0,11.0,5.0,17.0,8.0,3.0,17.0,19.0,35.0,34.0,4.0,4.0
BAL,6.0,18.0,12.0,4.0,13.0,11.0,7.0,13.0,24.0,21.0,35.0,2.0,3.0
BUF,8.0,17.0,12.0,4.0,6.0,22.0,6.0,19.0,17.0,22.0,32.0,1.0,4.0
KAN,6.0,11.0,9.0,9.0,5.0,12.0,11.0,31.0,15.0,27.0,35.0,3.0,1.0
OAK,6.0,15.0,17.0,4.0,7.0,21.0,8.0,14.0,17.0,27.0,33.0,4.0,3.0
NYJ,8.0,20.0,14.0,3.0,13.0,15.0,8.0,24.0,11.0,23.0,33.0,2.0,2.0
DET,11.0,27.0,12.0,4.0,15.0,15.0,12.0,21.0,9.0,19.0,26.0,3.0,3.0
CAR,6.0,16.0,12.0,4.0,10.0,21.0,3.0,19.0,17.0,21.0,44.0,3.0,3.0
ARI,12.0,29.0,12.0,3.0,22.0,14.0,8.0,27.0,21.0,17.0,26.0,1.0,2.0
CHI,8.0,11.0,12.0,7.0,3.0,19.0,12.0,22.0,19.0,33.0,43.0,1.0,4.0
NOR,14.0,26.0,18.0,6.0,20.0,20.0,9.0,23.0,8.0,22.0,28.0,2.0,2.0
HOU,14.0,27.0,16.0,8.0,5.0,29.0,15.0,19.0,14.0,21.0,24.0,2.0,4.0
DEN,13.0,24.0,15.0,10.0,23.0,17.0,3.0,11.0,11.0,30.0,35.0,2.0,4.0
CIN,14.0,31.0,16.0,4.0,9.0,28.0,10.0,18.0,15.0,20.0,28.0,2.0,4.0
TEN,11.0,18.0,13.0,5.0,6.0,22.0,9.0,29.0,18.0,30.0,36.0,2.0,5.0
NYG,10.0,20.0,18.0,7.0,16.0,16.0,9.0,39.0,9.0,20.0,38.0,1.0,2.0
PHI,13.0,21.0,19.0,4.0,9.0,32.0,3.0,13.0,20.0,33.0,37.0,2.0,2.0
WAS,12.0,17.0,17.0,8.0,12.0,25.0,7.0,21.0,18.0,30.0,38.0,1.0,3.0
MIN,9.0,18.0,20.0,4.0,17.0,9.0,15.0,18.0,31.0,27.0,37.0,3.0,4.0
CLE,14.0,24.0,20.0,13.0,27.0,16.0,7.0,22.0,13.0,21.0,31.0,2.0,3.0
SEA,13.0,26.0,14.0,4.0,9.0,29.0,8.0,29.0,16.0,38.0,38.0,1.0,4.0
GNB,15.0,30.0,16.0,7.0,8.0,25.0,13.0,4.0,38.0,31.0,39.0,2.0,3.0
TAM,14.0,22.0,19.0,6.0,9.0,27.0,9.0,34.0,12.0,26.0,50.0,2.0,3.0
LAC,13.0,18.0,26.0,12.0,16.0,14.0,9.0,8.0,31.0,39.0,42.0,3.0,4.0
DAL,17.0,27.0,20.0,15.0,12.0,44.0,0,52.0,2.0,12.0,36.0,3.0,4.0
PIT,15.0,28.0,20.0,6.0,45.0,10.0,1.0,23.0,12.0,45.0,38.0,2.0,4.0
JAX,18.0,29.0,27.0,11.0,27.0,30.0,5.0,24.0,14.0,29.0,34.0,2.0,3.0
IND,18.0,32.0,21.0,14.0,25.0,19.0,19.0,31.0,9.0,31.0,46.0,2.0,1.0
NWE,24.0,51.0,25.0,6.0,41.0,21.0,17.0,14.0,26.0,35.0,41.0,2.0,3.0
