Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
TAM,11.0,10.0,14.0,9.0,15.0,15.0,7.0,8.0,8.0,22.0,20.0,2.0,4.0
IND,6.0,13.0,12.0,4.0,16.0,11.0,8.0,13.0,10.0,28.0,27.0,4.0,2.0
ARI,9.0,14.0,18.0,2.0,16.0,8.0,8.0,22.0,8.0,24.0,33.0,0.0,-1.0
GNB,9.0,17.0,18.0,3.0,7.0,25.0,4.0,18.0,4.0,25.0,28.0,1.0,3.0
BUF,12.0,17.0,19.0,5.0,9.0,21.0,10.0,17.0,8.0,29.0,30.0,2.0,2.0
TEN,10.0,19.0,15.0,2.0,14.0,14.0,9.0,10.0,18.0,37.0,36.0,3.0,5.0
PIT,9.0,17.0,23.0,3.0,13.0,10.0,10.0,21.0,8.0,39.0,37.0,1.0,3.0
LAC,12.0,15.0,22.0,9.0,9.0,24.0,9.0,22.0,7.0,29.0,34.0,2.0,1.0
OAK,11.0,16.0,15.0,9.0,15.0,15.0,9.0,18.0,16.0,32.0,34.0,2.0,4.0
PHI,12.0,17.0,14.0,4.0,12.0,17.0,4.0,37.0,8.0,32.0,37.0,3.0,2.0
ATL,9.0,16.0,14.0,4.0,13.0,13.0,14.0,15.0,19.0,38.0,40.0,3.0,3.0
DET,9.0,19.0,19.0,4.0,4.0,29.0,8.0,19.0,9.0,39.0,37.0,2.0,4.0
NYJ,14.0,24.0,23.0,8.0,17.0,9.0,20.0,4.0,20.0,29.0,31.0,2.0,5.0
KAN,10.0,22.0,17.0,4.0,15.0,16.0,8.0,10.0,23.0,35.0,42.0,2.0,4.0
DAL,15.0,18.0,23.0,3.0,20.0,19.0,9.0,19.0,17.0,27.0,36.0,2.0,4.0
NOR,10.0,19.0,18.0,6.0,20.0,17.0,2.0,8.0,22.0,43.0,39.0,3.0,6.0
LAR,7.0,14.0,20.0,4.0,18.0,15.0,8.0,17.0,14.0,46.0,47.0,1.0,3.0
DEN,15.0,21.0,21.0,5.0,19.0,20.0,8.0,24.0,8.0,34.0,35.0,2.0,4.0
CIN,16.0,25.0,28.0,7.0,21.0,28.0,7.0,15.0,6.0,32.0,30.0,1.0,1.0
MIA,19.0,37.0,26.0,7.0,22.0,24.0,19.0,11.0,5.0,25.0,22.0,3.0,2.0
CLE,13.0,23.0,24.0,8.0,16.0,21.0,11.0,18.0,12.0,35.0,39.0,3.0,3.0
SEA,14.0,28.0,23.0,3.0,18.0,19.0,10.0,22.0,10.0,39.0,35.0,2.0,3.0
WAS,15.0,27.0,18.0,9.0,23.0,20.0,8.0,27.0,15.0,26.0,36.0,4.0,-1.0
NWE,16.0,28.0,21.0,3.0,17.0,18.0,11.0,20.0,10.0,43.0,36.0,2.0,5.0
NYG,13.0,18.0,25.0,12.0,17.0,22.0,8.0,10.0,13.0,53.0,40.0,4.0,4.0
SFO,14.0,23.0,22.0,4.0,22.0,17.0,8.0,23.0,16.0,45.0,52.0,2.0,3.0
MIN,17.0,21.0,28.0,10.0,14.0,30.0,11.0,25.0,20.0,28.0,42.0,3.0,4.0
CHI,9.0,18.0,22.0,6.0,14.0,21.0,12.0,12.0,45.0,58.0,55.0,2.0,2.0
