Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
ARI,8.0,16.0,9.0,7.0,12.0,17.0,2.0,10.0,13.0,19.0,27.0,3.0,2.0
NYG,8.0,14.0,11.0,4.0,5.0,16.0,7.0,24.0,15.0,22.0,30.0,1.0,3.0
DET,5.0,13.0,12.0,5.0,9.0,12.0,11.0,19.0,15.0,27.0,34.0,1.0,6.0
OAK,7.0,17.0,13.0,4.0,12.0,17.0,5.0,16.0,19.0,19.0,33.0,5.0,5.0
ATL,10.0,15.0,17.0,7.0,15.0,11.0,11.0,13.0,11.0,31.0,28.0,2.0,2.0
CHI,5.0,18.0,11.0,5.0,13.0,14.0,9.0,27.0,9.0,24.0,38.0,2.0,2.0
LAC,11.0,19.0,21.0,6.0,15.0,19.0,10.0,14.0,13.0,18.0,25.0,3.0,3.0
WAS,8.0,19.0,17.0,4.0,22.0,17.0,0,20.0,8.0,28.0,30.0,2.0,3.0
HOU,10.0,18.0,13.0,4.0,14.0,22.0,3.0,1.0,24.0,34.0,32.0,3.0,4.0
JAX,10.0,19.0,19.0,3.0,25.0,16.0,0,25.0,20.0,15.0,31.0,2.0,-1.0
CLE,8.0,21.0,14.0,3.0,0,23.0,16.0,18.0,19.0,28.0,36.0,3.0,3.0
BUF,7.0,17.0,12.0,3.0,12.0,22.0,1.0,20.0,22.0,33.0,37.0,4.0,2.0
PIT,10.0,24.0,11.0,2.0,29.0,10.0,2.0,9.0,19.0,38.0,36.0,3.0,1.0
CIN,13.0,26.0,18.0,7.0,20.0,25.0,8.0,14.0,14.0,20.0,27.0,1.0,5.0
NYJ,12.0,23.0,17.0,4.0,11.0,24.0,11.0,15.0,19.0,28.0,31.0,1.0,5.0
NOR,13.0,21.0,17.0,8.0,5.0,21.0,25.0,20.0,16.0,28.0,33.0,3.0,2.0
DAL,10.0,18.0,13.0,5.0,25.0,11.0,0,21.0,26.0,39.0,41.0,1.0,3.0
MIA,10.0,16.0,14.0,7.0,14.0,17.0,10.0,26.0,18.0,35.0,42.0,1.0,3.0
SFO,16.0,25.0,23.0,6.0,12.0,26.0,10.0,23.0,9.0,31.0,34.0,1.0,0.0
CAR,10.0,23.0,19.0,3.0,7.0,22.0,8.0,30.0,23.0,27.0,38.0,3.0,4.0
TAM,10.0,19.0,17.0,3.0,16.0,15.0,8.0,29.0,24.0,35.0,42.0,3.0,0.0
MIN,18.0,30.0,23.0,4.0,22.0,20.0,17.0,13.0,18.0,23.0,32.0,1.0,2.0
SEA,15.0,29.0,21.0,6.0,26.0,19.0,8.0,26.0,10.0,27.0,33.0,2.0,3.0
PHI,15.0,20.0,26.0,7.0,27.0,21.0,2.0,18.0,22.0,28.0,38.0,2.0,4.0
BAL,8.0,15.0,21.0,9.0,18.0,19.0,3.0,31.0,13.0,43.0,45.0,2.0,4.0
DEN,14.0,20.0,22.0,10.0,10.0,19.0,26.0,14.0,24.0,30.0,38.0,3.0,5.0
NWE,11.0,20.0,15.0,6.0,10.0,16.0,17.0,26.0,25.0,40.0,49.0,0.0,1.0
KAN,18.0,33.0,26.0,11.0,17.0,22.0,16.0,24.0,8.0,30.0,34.0,1.0,3.0
TEN,17.0,34.0,13.0,8.0,32.0,23.0,1.0,28.0,10.0,34.0,35.0,4.0,4.0
IND,18.0,35.0,20.0,11.0,20.0,27.0,13.0,23.0,13.0,24.0,34.0,2.0,7.0
LAR,15.0,37.0,15.0,4.0,9.0,29.0,19.0,18.0,13.0,41.0,39.0,3.0,6.0
GNB,14.0,25.0,31.0,7.0,14.0,29.0,13.0,27.0,15.0,30.0,37.0,2.0,5.0
