Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
IND,6.0,14.0,10.0,3.0,11.0,12.0,8.0,16.0,8.0,20.0,25.0,3.0,3.0
CIN,7.0,12.0,9.0,5.0,8.0,12.0,0,12.0,20.0,23.0,31.0,3.0,3.0
TAM,8.0,17.0,11.0,3.0,7.0,15.0,6.0,18.0,10.0,20.0,29.0,1.0,3.0
WAS,4.0,14.0,16.0,2.0,14.0,12.0,7.0,15.0,14.0,25.0,29.0,3.0,0.0
LAR,9.0,15.0,19.0,5.0,17.0,10.0,7.0,13.0,15.0,20.0,24.0,1.0,2.0
PHI,11.0,15.0,19.0,5.0,13.0,18.0,7.0,13.0,19.0,31.0,36.0,1.0,0.0
NWE,9.0,14.0,16.0,6.0,1.0,22.0,15.0,20.0,10.0,37.0,39.0,1.0,-1.0
SEA,10.0,18.0,16.0,4.0,8.0,14.0,14.0,17.0,24.0,25.0,36.0,3.0,4.0
ATL,13.0,31.0,15.0,1.0,15.0,21.0,10.0,9.0,18.0,20.0,32.0,3.0,6.0
CHI,9.0,12.0,14.0,4.0,14.0,10.0,9.0,26.0,19.0,29.0,45.0,1.0,3.0
NOR,11.0,20.0,17.0,4.0,10.0,16.0,8.0,8.0,17.0,44.0,37.0,3.0,5.0
CLE,12.0,19.0,22.0,3.0,22.0,8.0,7.0,17.0,22.0,28.0,35.0,3.0,3.0
MIN,11.0,19.0,13.0,6.0,24.0,8.0,8.0,35.0,15.0,26.0,34.0,3.0,2.0
DET,9.0,23.0,18.0,2.0,16.0,17.0,9.0,5.0,23.0,40.0,37.0,3.0,4.0
NYJ,12.0,17.0,21.0,7.0,15.0,17.0,11.0,23.0,11.0,31.0,40.0,1.0,2.0
MIA,18.0,24.0,25.0,7.0,21.0,24.0,3.0,15.0,15.0,23.0,33.0,1.0,2.0
OAK,14.0,27.0,13.0,5.0,23.0,15.0,9.0,29.0,9.0,23.0,34.0,2.0,9.0
KAN,14.0,22.0,20.0,8.0,17.0,19.0,12.0,19.0,16.0,33.0,29.0,2.0,4.0
LAC,13.0,25.0,23.0,4.0,21.0,18.0,10.0,25.0,6.0,33.0,32.0,2.0,3.0
ARI,13.0,26.0,21.0,2.0,18.0,20.0,8.0,20.0,20.0,24.0,38.0,3.0,3.0
BUF,12.0,23.0,18.0,6.0,17.0,17.0,8.0,26.0,10.0,40.0,39.0,2.0,3.0
PIT,12.0,15.0,17.0,10.0,9.0,19.0,14.0,23.0,8.0,49.0,44.0,2.0,5.0
GNB,13.0,22.0,19.0,10.0,15.0,18.0,10.0,19.0,17.0,35.0,42.0,2.0,5.0
NYG,11.0,26.0,15.0,6.0,17.0,18.0,12.0,11.0,21.0,53.0,44.0,2.0,2.0
DEN,17.0,21.0,22.0,14.0,14.0,25.0,15.0,21.0,21.0,22.0,40.0,3.0,3.0
TEN,14.0,32.0,16.0,0,35.0,14.0,3.0,24.0,23.0,28.0,42.0,3.0,5.0
DAL,18.0,31.0,30.0,6.0,21.0,25.0,13.0,21.0,21.0,35.0,40.0,2.0,4.0
SFO,25.0,37.0,29.0,12.0,30.0,28.0,13.0,19.0,16.0,22.0,36.0,2.0,1.0
