Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
CLE,8.0,14.0,12.0,4.0,1.0,28.0,7.0,11.0,15.0,25.0,29.0,2.0,2.0
LAR,1.0,14.0,5.0,4.0,3.0,18.0,6.0,19.0,26.0,17.0,39.0,3.0,4.0
NYJ,7.0,18.0,11.0,1.0,11.0,20.0,3.0,14.0,22.0,23.0,28.0,0.0,3.0
SFO,9.0,13.0,12.0,7.0,20.0,14.0,1.0,19.0,9.0,22.0,31.0,2.0,4.0
CHI,7.0,21.0,12.0,3.0,12.0,21.0,2.0,16.0,13.0,26.0,29.0,2.0,2.0
JAX,10.0,21.0,10.0,4.0,26.0,2.0,0.0,23.0,22.0,27.0,34.0,3.0,4.0
CAR,12.0,18.0,10.0,9.0,16.0,16.0,5.0,15.0,21.0,21.0,45.0,3.0,3.0
HOU,6.0,17.0,12.0,8.0,12.0,17.0,6.0,36.0,15.0,25.0,34.0,3.0,3.0
MIA,12.0,29.0,17.0,3.0,12.0,23.0,2.0,26.0,20.0,22.0,26.0,2.0,2.0
DET,14.0,27.0,13.0,6.0,12.0,21.0,12.0,22.0,12.0,19.0,31.0,3.0,4.0
LAC,13.0,23.0,16.0,9.0,7.0,27.0,9.0,18.0,15.0,22.0,34.0,3.0,2.0
TAM,12.0,22.0,13.0,5.0,13.0,25.0,1.0,14.0,25.0,34.0,34.0,2.0,0.0
CIN,12.0,23.0,13.0,7.0,6.0,26.0,7.0,23.0,19.0,25.0,37.0,3.0,0.0
PHI,10.0,17.0,15.0,11.0,9.0,22.0,13.0,24.0,20.0,23.0,34.0,2.0,3.0
BUF,16.0,20.0,20.0,7.0,19.0,14.0,16.0,7.0,22.0,32.0,28.0,1.0,1.0
MIN,12.0,23.0,12.0,8.0,0.0,31.0,7.0,26.0,21.0,27.0,40.0,1.0,2.0
ARI,13.0,25.0,18.0,4.0,15.0,17.0,8.0,42.0,9.0,12.0,47.0,0.0,2.0
BAL,9.0,18.0,12.0,5.0,23.0,19.0,3.0,19.0,26.0,32.0,37.0,2.0,8.0
DEN,10.0,22.0,11.0,4.0,5.0,16.0,13.0,26.0,13.0,39.0,48.0,2.0,4.0
OAK,12.0,23.0,18.0,5.0,24.0,19.0,9.0,10.0,13.0,41.0,32.0,4.0,4.0
KAN,13.0,23.0,15.0,11.0,14.0,25.0,0,12.0,23.0,32.0,44.0,2.0,3.0
NOR,16.0,32.0,19.0,7.0,21.0,27.0,10.0,9.0,15.0,26.0,29.0,3.0,3.0
WAS,15.0,29.0,15.0,11.0,8.0,42.0,4.0,20.0,19.0,21.0,29.0,2.0,2.0
TEN,14.0,21.0,16.0,11.0,12.0,29.0,9.0,21.0,26.0,21.0,32.0,2.0,5.0
NYG,9.0,20.0,13.0,5.0,10.0,17.0,6.0,28.0,29.0,26.0,49.0,3.0,4.0
IND,17.0,25.0,15.0,18.0,6.0,28.0,13.0,18.0,17.0,23.0,31.0,3.0,6.0
SEA,14.0,24.0,12.0,15.0,8.0,27.0,1.0,27.0,17.0,34.0,38.0,2.0,2.0
GNB,18.0,39.0,8.0,7.0,11.0,44.0,5.0,9.0,17.0,27.0,32.0,2.0,3.0
PIT,14.0,25.0,19.0,8.0,15.0,13.0,12.0,20.0,21.0,36.0,35.0,2.0,3.0
DAL,16.0,26.0,20.0,8.0,7.0,37.0,13.0,20.0,19.0,31.0,33.0,2.0,4.0
ATL,21.0,38.0,26.0,8.0,10.0,26.0,16.0,24.0,14.0,22.0,26.0,2.0,6.0
NWE,17.0,24.0,18.0,12.0,31.0,14.0,8.0,28.0,21.0,31.0,49.0,2.0,3.0
