Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
BUF,11.0,18.0,13.0,4.0,13.0,20.0,5.0,14.0,10.0,18.0,25.0,2.0,1.0
DET,6.0,18.0,15.0,3.0,18.0,11.0,8.0,17.0,11.0,19.0,26.0,3.0,4.0
CIN,6.0,19.0,11.0,3.0,11.0,12.0,6.0,18.0,19.0,31.0,30.0,1.0,0.0
DAL,7.0,16.0,12.0,2.0,22.0,7.0,6.0,18.0,16.0,27.0,33.0,1.0,1.0
CAR,7.0,20.0,12.0,5.0,9.0,13.0,5.0,16.0,18.0,28.0,35.0,5.0,4.0
TEN,15.0,22.0,9.0,8.0,25.0,17.0,3.0,15.0,15.0,22.0,25.0,2.0,3.0
ATL,14.0,20.0,14.0,6.0,17.0,17.0,11.0,15.0,15.0,23.0,26.0,1.0,3.0
ARI,12.0,26.0,12.0,8.0,5.0,22.0,11.0,6.0,18.0,27.0,30.0,2.0,4.0
MIN,16.0,23.0,10.0,9.0,23.0,8.0,14.0,11.0,16.0,22.0,26.0,2.0,4.0
NOR,15.0,27.0,16.0,3.0,18.0,20.0,9.0,11.0,13.0,20.0,28.0,2.0,5.0
WAS,8.0,15.0,16.0,4.0,9.0,23.0,7.0,24.0,12.0,32.0,34.0,2.0,4.0
CLE,9.0,19.0,12.0,2.0,7.0,19.0,9.0,11.0,25.0,40.0,31.0,3.0,4.0
IND,15.0,27.0,19.0,11.0,23.0,19.0,10.0,12.0,11.0,16.0,22.0,3.0,5.0
SEA,11.0,19.0,17.0,3.0,15.0,22.0,7.0,25.0,12.0,28.0,32.0,3.0,2.0
NYG,10.0,20.0,16.0,1.0,19.0,15.0,7.0,27.0,17.0,29.0,33.0,3.0,3.0
KAN,13.0,16.0,21.0,12.0,13.0,18.0,11.0,21.0,13.0,25.0,33.0,2.0,3.0
JAX,13.0,32.0,13.0,4.0,7.0,18.0,7.0,21.0,22.0,30.0,32.0,3.0,1.0
LAC,12.0,24.0,15.0,3.0,16.0,19.0,9.0,23.0,16.0,27.0,36.0,2.0,1.0
NYJ,10.0,20.0,21.0,3.0,16.0,15.0,14.0,18.0,10.0,43.0,36.0,1.0,4.0
MIA,13.0,25.0,13.0,2.0,17.0,19.0,9.0,25.0,16.0,30.0,37.0,2.0,4.0
DEN,12.0,21.0,16.0,10.0,19.0,16.0,8.0,17.0,21.0,31.0,33.0,3.0,6.0
TAM,13.0,25.0,21.0,4.0,18.0,17.0,7.0,17.0,23.0,31.0,38.0,2.0,4.0
BAL,10.0,17.0,16.0,9.0,20.0,20.0,1.0,18.0,23.0,43.0,42.0,0.0,4.0
OAK,17.0,29.0,22.0,4.0,20.0,23.0,10.0,16.0,18.0,27.0,34.0,4.0,4.0
NWE,14.0,29.0,22.0,2.0,9.0,20.0,20.0,23.0,16.0,35.0,42.0,2.0,4.0
GNB,15.0,27.0,23.0,5.0,9.0,29.0,9.0,27.0,20.0,36.0,44.0,2.0,2.0
PHI,14.0,19.0,18.0,4.0,25.0,17.0,0,28.0,23.0,42.0,53.0,3.0,4.0
PIT,16.0,28.0,18.0,2.0,32.0,20.0,2.0,11.0,18.0,59.0,43.0,2.0,1.0
SFO,18.0,30.0,28.0,6.0,26.0,22.0,14.0,19.0,22.0,29.0,37.0,2.0,2.0
CHI,9.0,24.0,17.0,2.0,7.0,29.0,11.0,23.0,30.0,47.0,52.0,3.0,5.0
LAR,20.0,41.0,29.0,6.0,27.0,28.0,10.0,29.0,10.0,30.0,42.0,2.0,4.0
