Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
TEN,7.0,17.0,10.0,0.0,11.0,11.0,8.0,11.0,15.0,31.0,33.0,3.0,4.0
CIN,9.0,18.0,13.0,4.0,13.0,10.0,7.0,7.0,23.0,24.0,30.0,3.0,5.0
TAM,10.0,22.0,12.0,5.0,9.0,22.0,7.0,13.0,15.0,15.0,34.0,1.0,1.0
WAS,10.0,22.0,16.0,1.0,18.0,12.0,6.0,15.0,10.0,28.0,29.0,3.0,2.0
LAR,11.0,20.0,15.0,2.0,18.0,14.0,5.0,23.0,9.0,25.0,32.0,3.0,2.0
ATL,13.0,31.0,11.0,0.0,15.0,18.0,8.0,13.0,15.0,22.0,29.0,1.0,4.0
NYJ,10.0,15.0,15.0,7.0,7.0,15.0,14.0,25.0,8.0,26.0,34.0,2.0,4.0
NOR,13.0,23.0,14.0,7.0,10.0,24.0,7.0,10.0,15.0,27.0,28.0,3.0,3.0
IND,10.0,16.0,25.0,2.0,17.0,16.0,8.0,12.0,23.0,26.0,34.0,2.0,2.0
DEN,15.0,19.0,17.0,10.0,16.0,21.0,9.0,18.0,16.0,17.0,30.0,3.0,4.0
OAK,12.0,21.0,14.0,3.0,23.0,10.0,8.0,19.0,20.0,25.0,34.0,3.0,4.0
NYG,10.0,24.0,9.0,5.0,18.0,14.0,8.0,15.0,20.0,31.0,39.0,2.0,2.0
SEA,9.0,20.0,20.0,2.0,9.0,15.0,12.0,13.0,27.0,29.0,36.0,3.0,4.0
CHI,11.0,19.0,16.0,6.0,17.0,16.0,8.0,29.0,12.0,27.0,36.0,1.0,3.0
ARI,8.0,15.0,12.0,2.0,8.0,17.0,6.0,40.0,8.0,37.0,47.0,2.0,3.0
DET,12.0,33.0,22.0,3.0,17.0,21.0,9.0,17.0,14.0,25.0,28.0,3.0,2.0
BUF,14.0,28.0,19.0,4.0,23.0,12.0,13.0,23.0,8.0,28.0,29.0,2.0,4.0
KAN,11.0,19.0,19.0,6.0,22.0,11.0,11.0,21.0,16.0,32.0,36.0,2.0,2.0
PHI,12.0,19.0,18.0,4.0,11.0,24.0,8.0,23.0,20.0,28.0,40.0,1.0,3.0
MIN,11.0,23.0,13.0,6.0,20.0,13.0,7.0,34.0,10.0,30.0,37.0,3.0,5.0
MIA,15.0,25.0,24.0,7.0,24.0,24.0,1.0,14.0,22.0,26.0,31.0,2.0,3.0
NWE,13.0,19.0,17.0,11.0,16.0,19.0,9.0,17.0,19.0,35.0,40.0,2.0,2.0
LAC,13.0,25.0,23.0,5.0,18.0,20.0,11.0,21.0,19.0,31.0,34.0,2.0,5.0
GNB,16.0,26.0,22.0,7.0,17.0,21.0,14.0,25.0,18.0,32.0,37.0,2.0,2.0
PIT,10.0,16.0,18.0,6.0,14.0,17.0,14.0,18.0,15.0,60.0,49.0,1.0,4.0
DAL,15.0,29.0,25.0,6.0,29.0,12.0,12.0,29.0,20.0,28.0,39.0,2.0,3.0
CLE,10.0,19.0,27.0,3.0,18.0,17.0,7.0,26.0,29.0,37.0,49.0,2.0,5.0
SFO,25.0,34.0,32.0,11.0,11.0,32.0,26.0,13.0,20.0,33.0,44.0,2.0,3.0
