Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
JAX,7.0,15.0,7.0,4.0,17.0,12.0,2.0,17.0,13.0,25.0,27.0,3.0,4.0
WAS,8.0,17.0,11.0,5.0,1.0,17.0,14.0,28.0,9.0,16.0,26.0,1.0,2.0
HOU,7.0,16.0,9.0,5.0,11.0,20.0,1.0,38.0,7.0,18.0,28.0,3.0,1.0
OAK,5.0,27.0,11.0,4.0,12.0,17.0,6.0,7.0,18.0,23.0,34.0,3.0,1.0
CLE,8.0,18.0,8.0,7.0,2.0,26.0,9.0,11.0,16.0,25.0,37.0,1.0,2.0
TAM,9.0,24.0,12.0,0.0,16.0,21.0,1.0,15.0,20.0,27.0,28.0,2.0,2.0
NYJ,8.0,17.0,10.0,3.0,11.0,10.0,7.0,16.0,36.0,20.0,34.0,3.0,4.0
ATL,13.0,24.0,14.0,7.0,4.0,32.0,8.0,12.0,17.0,21.0,26.0,2.0,3.0
NYG,7.0,18.0,8.0,4.0,17.0,10.0,4.0,21.0,21.0,27.0,40.0,3.0,3.0
MIN,13.0,27.0,15.0,8.0,0.0,25.0,16.0,15.0,14.0,22.0,27.0,2.0,3.0
MIA,10.0,20.0,8.0,6.0,7.0,17.0,14.0,29.0,19.0,21.0,36.0,4.0,2.0
BUF,9.0,15.0,17.0,6.0,14.0,10.0,12.0,30.0,30.0,11.0,36.0,1.0,4.0
PIT,13.0,27.0,12.0,7.0,13.0,20.0,8.0,26.0,12.0,22.0,32.0,0.0,4.0
DAL,14.0,27.0,17.0,10.0,14.0,21.0,11.0,23.0,7.0,21.0,25.0,2.0,5.0
BAL,8.0,21.0,7.0,5.0,17.0,15.0,5.0,26.0,22.0,30.0,38.0,2.0,5.0
LAR,12.0,20.0,13.0,9.0,2.0,31.0,9.0,35.0,9.0,24.0,33.0,2.0,4.0
TEN,14.0,23.0,12.0,6.0,16.0,20.0,7.0,19.0,23.0,24.0,35.0,1.0,3.0
CHI,17.0,28.0,18.0,7.0,20.0,22.0,9.0,18.0,7.0,25.0,30.0,0.0,3.0
ARI,11.0,21.0,12.0,8.0,21.0,18.0,0,20.0,15.0,38.0,41.0,3.0,2.0
DET,13.0,26.0,18.0,6.0,9.0,26.0,8.0,16.0,27.0,24.0,32.0,3.0,2.0
GNB,15.0,29.0,16.0,7.0,9.0,35.0,9.0,4.0,23.0,28.0,29.0,2.0,4.0
LAC,16.0,23.0,22.0,12.0,15.0,19.0,11.0,11.0,25.0,18.0,33.0,2.0,4.0
IND,15.0,24.0,16.0,9.0,16.0,22.0,7.0,31.0,17.0,21.0,31.0,2.0,4.0
PHI,17.0,24.0,19.0,8.0,15.0,29.0,8.0,14.0,24.0,30.0,34.0,2.0,2.0
KAN,15.0,14.0,29.0,5.0,23.0,10.0,8.0,24.0,21.0,35.0,40.0,2.0,2.0
NWE,13.0,26.0,20.0,6.0,28.0,14.0,9.0,21.0,19.0,25.0,40.0,3.0,5.0
CIN,14.0,27.0,13.0,9.0,7.0,29.0,11.0,24.0,20.0,39.0,42.0,2.0,3.0
NOR,17.0,23.0,21.0,14.0,34.0,19.0,1.0,30.0,19.0,23.0,37.0,3.0,0.0
CAR,16.0,20.0,17.0,8.0,1.0,27.0,17.0,26.0,27.0,27.0,48.0,3.0,4.0
SFO,15.0,18.0,14.0,11.0,20.0,29.0,0,26.0,11.0,51.0,39.0,3.0,4.0
DEN,19.0,39.0,22.0,10.0,41.0,22.0,0,17.0,20.0,27.0,34.0,2.0,5.0
SEA,17.0,24.0,17.0,7.0,6.0,22.0,13.0,20.0,40.0,34.0,57.0,1.0,4.0
