Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
NWE,6.0,10.0,11.0,4.0,4.0,10.0,8.0,8.0,15.0,33.0,32.0,2.0,1.0
SEA,-3.0,7.0,11.0,0.0,3.0,9.0,9.0,18.0,29.0,28.0,41.0,3.0,2.0
TAM,11.0,18.0,16.0,4.0,5.0,25.0,7.0,20.0,14.0,17.0,28.0,2.0,1.0
ARI,10.0,20.0,17.0,1.0,10.0,15.0,14.0,11.0,15.0,23.0,32.0,2.0,0.0
CIN,7.0,18.0,19.0,6.0,13.0,17.0,6.0,15.0,11.0,26.0,27.0,2.0,3.0
IND,7.0,15.0,11.0,4.0,11.0,13.0,7.0,13.0,14.0,37.0,35.0,3.0,1.0
NYJ,7.0,18.0,10.0,3.0,11.0,12.0,10.0,19.0,16.0,29.0,35.0,2.0,2.0
NYG,13.0,26.0,18.0,4.0,13.0,23.0,10.0,9.0,8.0,25.0,28.0,1.0,4.0
LAR,12.0,24.0,18.0,6.0,17.0,17.0,9.0,8.0,17.0,23.0,26.0,2.0,3.0
DET,13.0,29.0,12.0,0.0,21.0,13.0,7.0,5.0,22.0,29.0,29.0,2.0,5.0
DEN,10.0,16.0,14.0,6.0,14.0,15.0,7.0,22.0,23.0,19.0,35.0,2.0,4.0
OAK,8.0,14.0,15.0,4.0,21.0,13.0,7.0,32.0,10.0,27.0,37.0,2.0,2.0
CHI,12.0,19.0,22.0,3.0,15.0,20.0,9.0,16.0,16.0,25.0,31.0,3.0,3.0
ATL,18.0,39.0,11.0,0.0,27.0,10.0,13.0,7.0,6.0,27.0,30.0,2.0,5.0
GNB,13.0,18.0,18.0,6.0,5.0,23.0,11.0,17.0,15.0,29.0,38.0,1.0,4.0
CLE,12.0,13.0,24.0,6.0,23.0,8.0,8.0,15.0,19.0,31.0,36.0,2.0,2.0
WAS,12.0,24.0,18.0,5.0,24.0,19.0,3.0,20.0,16.0,37.0,38.0,1.0,4.0
KAN,12.0,26.0,18.0,2.0,18.0,18.0,11.0,13.0,24.0,37.0,37.0,2.0,5.0
LAC,14.0,21.0,26.0,4.0,22.0,16.0,9.0,20.0,11.0,35.0,39.0,2.0,4.0
MIA,15.0,22.0,19.0,7.0,21.0,21.0,7.0,20.0,8.0,40.0,42.0,1.0,5.0
PIT,11.0,18.0,23.0,5.0,16.0,12.0,9.0,27.0,5.0,52.0,49.0,2.0,3.0
PHI,16.0,20.0,29.0,1.0,19.0,18.0,8.0,35.0,14.0,34.0,40.0,2.0,2.0
TEN,18.0,39.0,18.0,0,36.0,15.0,3.0,17.0,24.0,31.0,32.0,3.0,3.0
MIN,13.0,20.0,21.0,6.0,24.0,18.0,11.0,37.0,14.0,29.0,44.0,3.0,4.0
BUF,15.0,28.0,27.0,4.0,22.0,24.0,9.0,23.0,10.0,38.0,41.0,2.0,4.0
NOR,13.0,23.0,19.0,4.0,18.0,18.0,12.0,10.0,22.0,66.0,43.0,3.0,6.0
DAL,18.0,32.0,27.0,8.0,14.0,19.0,23.0,24.0,21.0,30.0,42.0,2.0,3.0
SFO,25.0,34.0,29.0,9.0,32.0,30.0,10.0,14.0,23.0,35.0,39.0,1.0,2.0
