Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
LAC,5.0,11.0,17.0,5.0,15.0,12.0,1.0,20.0,9.0,26.0,28.0,3.0,3.0
CHI,9.0,17.0,10.0,5.0,20.0,12.0,0.0,22.0,10.0,22.0,31.0,2.0,3.0
ARI,11.0,21.0,9.0,3.0,11.0,12.0,7.0,25.0,9.0,24.0,37.0,3.0,1.0
IND,12.0,20.0,17.0,4.0,24.0,18.0,1.0,15.0,13.0,17.0,26.0,3.0,4.0
NOR,4.0,15.0,10.0,4.0,7.0,14.0,10.0,19.0,19.0,33.0,37.0,4.0,5.0
OAK,12.0,21.0,18.0,7.0,18.0,16.0,11.0,9.0,21.0,19.0,28.0,3.0,1.0
BUF,8.0,15.0,13.0,5.0,13.0,10.0,11.0,29.0,12.0,30.0,32.0,2.0,4.0
LAR,11.0,13.0,16.0,3.0,7.0,22.0,7.0,21.0,19.0,25.0,37.0,2.0,1.0
PHI,11.0,19.0,19.0,3.0,18.0,11.0,10.0,12.0,23.0,26.0,35.0,2.0,2.0
CAR,7.0,17.0,15.0,7.0,23.0,12.0,1.0,20.0,10.0,38.0,38.0,2.0,4.0
BAL,12.0,24.0,11.0,6.0,19.0,22.0,3.0,18.0,15.0,29.0,32.0,2.0,3.0
MIN,13.0,24.0,20.0,6.0,21.0,22.0,7.0,24.0,9.0,21.0,26.0,2.0,1.0
CIN,17.0,23.0,23.0,6.0,11.0,21.0,22.0,3.0,19.0,23.0,25.0,2.0,3.0
ATL,13.0,23.0,20.0,4.0,9.0,17.0,16.0,23.0,17.0,23.0,30.0,1.0,4.0
TEN,15.0,17.0,17.0,10.0,20.0,16.0,9.0,18.0,16.0,25.0,35.0,2.0,3.0
MIA,14.0,25.0,19.0,6.0,11.0,29.0,12.0,18.0,15.0,22.0,32.0,2.0,2.0
DAL,10.0,17.0,15.0,5.0,20.0,15.0,10.0,19.0,21.0,27.0,43.0,2.0,5.0
SEA,13.0,28.0,17.0,4.0,18.0,20.0,9.0,20.0,16.0,26.0,35.0,1.0,3.0
NYJ,11.0,24.0,15.0,5.0,13.0,23.0,7.0,21.0,13.0,38.0,40.0,2.0,1.0
WAS,12.0,17.0,21.0,4.0,19.0,13.0,9.0,18.0,21.0,33.0,42.0,3.0,2.0
NYG,8.0,17.0,20.0,1.0,15.0,14.0,7.0,29.0,22.0,37.0,41.0,1.0,2.0
PIT,17.0,33.0,20.0,1.0,10.0,26.0,18.0,13.0,10.0,37.0,35.0,2.0,5.0
NWE,14.0,26.0,20.0,9.0,12.0,28.0,10.0,14.0,23.0,32.0,36.0,3.0,4.0
DET,12.0,25.0,25.0,4.0,10.0,16.0,20.0,24.0,19.0,30.0,39.0,2.0,5.0
JAX,18.0,32.0,17.0,6.0,10.0,38.0,11.0,24.0,12.0,24.0,34.0,3.0,4.0
TAM,12.0,20.0,24.0,5.0,15.0,16.0,9.0,22.0,25.0,43.0,42.0,2.0,3.0
GNB,17.0,28.0,23.0,6.0,25.0,13.0,7.0,27.0,19.0,27.0,44.0,3.0,2.0
SFO,16.0,22.0,25.0,6.0,29.0,17.0,2.0,22.0,23.0,36.0,39.0,1.0,4.0
KAN,13.0,21.0,21.0,8.0,34.0,9.0,7.0,21.0,17.0,41.0,47.0,2.0,6.0
DEN,18.0,25.0,24.0,15.0,21.0,22.0,13.0,28.0,16.0,35.0,41.0,2.0,2.0
