Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
LAR,1.0,12.0,9.0,5.0,5.0,10.0,6.0,11.0,15.0,25.0,28.0,3.0,4.0
DET,4.0,13.0,11.0,5.0,12.0,15.0,6.0,14.0,12.0,18.0,23.0,2.0,3.0
OAK,2.0,10.0,10.0,5.0,5.0,15.0,7.0,15.0,18.0,23.0,29.0,6.0,6.0
TAM,5.0,12.0,9.0,7.0,14.0,13.0,5.0,17.0,15.0,22.0,30.0,1.0,1.0
CLE,-2.0,20.0,12.0,3.0,10.0,13.0,8.0,31.0,12.0,16.0,30.0,1.0,3.0
KAN,8.0,16.0,15.0,3.0,17.0,5.0,12.0,9.0,22.0,29.0,31.0,3.0,4.0
SEA,9.0,16.0,13.0,4.0,1.0,22.0,14.0,20.0,15.0,23.0,30.0,3.0,4.0
JAX,13.0,23.0,15.0,7.0,22.0,19.0,0,13.0,14.0,24.0,28.0,1.0,1.0
CHI,10.0,15.0,11.0,7.0,7.0,20.0,16.0,16.0,15.0,27.0,34.0,1.0,4.0
BUF,6.0,14.0,14.0,3.0,7.0,13.0,12.0,20.0,20.0,21.0,48.0,3.0,4.0
WAS,11.0,17.0,14.0,7.0,17.0,13.0,10.0,26.0,16.0,22.0,32.0,1.0,3.0
TEN,10.0,18.0,22.0,7.0,0,25.0,19.0,30.0,3.0,22.0,27.0,1.0,5.0
MIA,10.0,23.0,18.0,4.0,12.0,30.0,5.0,27.0,14.0,11.0,30.0,3.0,4.0
NYG,14.0,26.0,13.0,5.0,24.0,17.0,11.0,24.0,5.0,20.0,30.0,1.0,3.0
CIN,9.0,19.0,15.0,4.0,9.0,22.0,7.0,24.0,12.0,31.0,45.0,2.0,3.0
ATL,13.0,23.0,19.0,10.0,9.0,28.0,10.0,10.0,16.0,35.0,35.0,1.0,1.0
DEN,11.0,24.0,13.0,5.0,11.0,22.0,12.0,14.0,15.0,41.0,39.0,2.0,4.0
ARI,12.0,28.0,17.0,3.0,25.0,16.0,0.0,25.0,16.0,24.0,40.0,4.0,4.0
HOU,15.0,28.0,17.0,9.0,25.0,20.0,2.0,21.0,17.0,29.0,29.0,2.0,0.0
CAR,6.0,17.0,21.0,7.0,11.0,21.0,10.0,28.0,18.0,30.0,42.0,2.0,3.0
SFO,10.0,14.0,15.0,12.0,21.0,9.0,7.0,35.0,18.0,33.0,41.0,4.0,3.0
PHI,16.0,29.0,16.0,9.0,11.0,27.0,11.0,12.0,16.0,33.0,38.0,2.0,4.0
BAL,13.0,21.0,26.0,6.0,15.0,15.0,9.0,15.0,36.0,31.0,42.0,2.0,0.0
IND,17.0,31.0,17.0,14.0,21.0,9.0,18.0,25.0,18.0,26.0,33.0,2.0,3.0
PIT,15.0,28.0,15.0,7.0,25.0,22.0,2.0,31.0,13.0,36.0,34.0,2.0,4.0
LAC,20.0,28.0,23.0,14.0,31.0,11.0,12.0,9.0,22.0,28.0,33.0,2.0,5.0
DAL,14.0,25.0,16.0,11.0,13.0,35.0,0,55.0,8.0,23.0,41.0,3.0,-1.0
GNB,19.0,29.0,17.0,10.0,11.0,33.0,10.0,1.0,29.0,40.0,42.0,2.0,2.0
NOR,16.0,30.0,22.0,10.0,31.0,32.0,1.0,17.0,17.0,30.0,38.0,2.0,2.0
NYJ,6.0,19.0,16.0,6.0,12.0,8.0,15.0,55.0,22.0,37.0,53.0,2.0,4.0
NWE,17.0,35.0,20.0,5.0,34.0,14.0,10.0,20.0,27.0,29.0,41.0,1.0,4.0
MIN,17.0,33.0,24.0,8.0,25.0,24.0,12.0,25.0,24.0,29.0,34.0,2.0,5.0
