Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
KAN,1.0,7.0,16.0,3.0,19.0,5.0,1.0,16.0,15.0,26.0,26.0,3.0,3.0
TEN,9.0,19.0,9.0,7.0,8.0,13.0,12.0,15.0,14.0,22.0,30.0,3.0,2.0
JAX,7.0,20.0,9.0,4.0,11.0,13.0,3.0,26.0,11.0,23.0,31.0,3.0,4.0
OAK,10.0,23.0,8.0,6.0,17.0,14.0,7.0,8.0,17.0,21.0,28.0,3.0,5.0
PHI,11.0,20.0,11.0,6.0,16.0,20.0,3.0,10.0,14.0,25.0,28.0,3.0,3.0
ARI,-3.0,14.0,6.0,6.0,14.0,11.0,0.0,30.0,20.0,30.0,44.0,3.0,4.0
BUF,11.0,19.0,18.0,6.0,21.0,10.0,8.0,17.0,15.0,17.0,33.0,1.0,3.0
NYJ,7.0,18.0,11.0,3.0,10.0,11.0,5.0,26.0,22.0,23.0,40.0,2.0,2.0
LAR,9.0,19.0,11.0,5.0,3.0,29.0,4.0,27.0,10.0,27.0,34.0,2.0,3.0
LAC,10.0,19.0,14.0,5.0,13.0,9.0,11.0,18.0,23.0,21.0,38.0,3.0,4.0
IND,13.0,26.0,11.0,10.0,7.0,21.0,8.0,25.0,17.0,18.0,29.0,3.0,2.0
CLE,9.0,19.0,10.0,6.0,0.0,33.0,7.0,17.0,20.0,30.0,36.0,1.0,5.0
DET,13.0,23.0,12.0,9.0,9.0,27.0,8.0,16.0,21.0,23.0,30.0,1.0,4.0
CAR,16.0,20.0,12.0,8.0,8.0,23.0,15.0,17.0,16.0,21.0,40.0,1.0,2.0
DAL,14.0,25.0,14.0,9.0,13.0,26.0,6.0,36.0,6.0,20.0,26.0,2.0,5.0
WAS,20.0,30.0,17.0,6.0,3.0,22.0,20.0,31.0,5.0,25.0,25.0,1.0,2.0
MIA,10.0,20.0,14.0,5.0,1.0,22.0,16.0,30.0,28.0,21.0,34.0,4.0,2.0
NOR,15.0,25.0,18.0,10.0,35.0,22.0,1.0,16.0,12.0,22.0,25.0,4.0,3.0
TAM,13.0,25.0,16.0,5.0,15.0,28.0,2.0,18.0,19.0,28.0,34.0,2.0,4.0
MIN,11.0,22.0,22.0,6.0,0,28.0,17.0,20.0,17.0,26.0,32.0,2.0,6.0
PIT,12.0,20.0,14.0,7.0,8.0,19.0,14.0,22.0,20.0,34.0,41.0,1.0,4.0
GNB,16.0,29.0,14.0,9.0,10.0,35.0,11.0,9.0,20.0,34.0,31.0,1.0,0.0
CIN,12.0,26.0,12.0,9.0,11.0,28.0,4.0,29.0,27.0,21.0,40.0,3.0,3.0
NYG,15.0,25.0,20.0,7.0,28.0,16.0,11.0,27.0,12.0,24.0,36.0,3.0,3.0
HOU,12.0,21.0,15.0,11.0,9.0,29.0,8.0,47.0,8.0,21.0,40.0,3.0,3.0
BAL,14.0,26.0,20.0,8.0,21.0,14.0,8.0,20.0,22.0,31.0,38.0,3.0,5.0
CHI,12.0,20.0,15.0,2.0,9.0,20.0,11.0,36.0,19.0,36.0,52.0,1.0,2.0
SFO,16.0,21.0,15.0,8.0,24.0,29.0,0,34.0,7.0,45.0,36.0,3.0,-1.0
ATL,18.0,31.0,16.0,10.0,13.0,24.0,17.0,6.0,24.0,37.0,39.0,0,6.0
DEN,15.0,31.0,18.0,9.0,18.0,28.0,9.0,13.0,16.0,53.0,38.0,2.0,2.0
NWE,18.0,32.0,24.0,15.0,30.0,21.0,11.0,23.0,21.0,26.0,30.0,1.0,3.0
SEA,16.0,23.0,24.0,8.0,7.0,28.0,18.0,13.0,31.0,36.0,50.0,2.0,3.0
