Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
OAK,5.0,16.0,8.0,3.0,4.0,19.0,5.0,22.0,8.0,26.0,30.0,3.0,4.0
TEN,10.0,14.0,9.0,7.0,12.0,13.0,7.0,20.0,18.0,15.0,30.0,3.0,3.0
JAX,6.0,18.0,5.0,3.0,7.0,19.0,5.0,13.0,23.0,25.0,32.0,3.0,3.0
TAM,8.0,18.0,10.0,3.0,15.0,12.0,6.0,17.0,20.0,24.0,25.0,0.0,4.0
CHI,12.0,19.0,13.0,8.0,17.0,14.0,5.0,15.0,12.0,20.0,25.0,2.0,1.0
WAS,12.0,20.0,12.0,4.0,1.0,24.0,7.0,27.0,14.0,17.0,30.0,3.0,3.0
NYJ,9.0,19.0,11.0,4.0,7.0,14.0,8.0,17.0,33.0,18.0,31.0,2.0,3.0
CLE,9.0,17.0,9.0,6.0,5.0,31.0,2.0,10.0,18.0,32.0,43.0,2.0,2.0
SFO,12.0,20.0,9.0,2.0,16.0,23.0,4.0,26.0,7.0,31.0,35.0,3.0,3.0
MIN,11.0,20.0,12.0,6.0,4.0,26.0,9.0,19.0,20.0,27.0,35.0,2.0,2.0
CAR,14.0,20.0,11.0,9.0,12.0,11.0,13.0,16.0,25.0,23.0,39.0,2.0,3.0
ARI,10.0,20.0,9.0,4.0,22.0,15.0,0,40.0,15.0,18.0,42.0,0.0,4.0
LAR,9.0,19.0,12.0,7.0,7.0,22.0,8.0,28.0,20.0,26.0,36.0,3.0,2.0
NYG,12.0,25.0,11.0,7.0,9.0,18.0,16.0,20.0,19.0,23.0,33.0,2.0,4.0
LAC,12.0,20.0,14.0,9.0,20.0,19.0,7.0,16.0,21.0,19.0,38.0,3.0,3.0
NOR,16.0,25.0,19.0,11.0,32.0,19.0,1.0,20.0,11.0,19.0,25.0,3.0,3.0
MIA,14.0,23.0,16.0,8.0,14.0,18.0,18.0,28.0,16.0,16.0,30.0,2.0,2.0
ATL,15.0,28.0,17.0,2.0,11.0,28.0,7.0,10.0,21.0,24.0,35.0,3.0,5.0
PHI,12.0,22.0,17.0,7.0,9.0,27.0,12.0,15.0,30.0,23.0,30.0,2.0,4.0
HOU,11.0,22.0,16.0,3.0,16.0,17.0,7.0,49.0,8.0,20.0,38.0,3.0,3.0
CIN,11.0,22.0,19.0,6.0,5.0,29.0,10.0,21.0,20.0,28.0,38.0,3.0,2.0
PIT,15.0,30.0,19.0,7.0,16.0,16.0,18.0,20.0,11.0,26.0,31.0,2.0,4.0
DET,12.0,25.0,15.0,4.0,6.0,22.0,10.0,23.0,28.0,31.0,38.0,3.0,0.0
BUF,10.0,18.0,18.0,4.0,13.0,16.0,7.0,33.0,34.0,25.0,36.0,1.0,4.0
KAN,14.0,17.0,22.0,11.0,16.0,20.0,8.0,19.0,21.0,36.0,34.0,2.0,3.0
DAL,16.0,26.0,25.0,10.0,9.0,33.0,12.0,30.0,8.0,25.0,31.0,3.0,4.0
IND,17.0,27.0,15.0,14.0,17.0,19.0,11.0,24.0,18.0,25.0,39.0,3.0,5.0
BAL,14.0,25.0,20.0,7.0,37.0,18.0,0.0,19.0,21.0,38.0,32.0,3.0,4.0
DEN,16.0,35.0,19.0,7.0,27.0,19.0,5.0,20.0,17.0,33.0,40.0,2.0,3.0
NWE,17.0,30.0,20.0,12.0,15.0,24.0,15.0,19.0,21.0,28.0,39.0,2.0,5.0
SEA,19.0,24.0,18.0,8.0,10.0,23.0,10.0,19.0,28.0,37.0,48.0,2.0,3.0
GNB,21.0,39.0,23.0,7.0,2.0,47.0,10.0,15.0,18.0,30.0,33.0,1.0,3.0
