Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
NWE,4.0,11.0,7.0,2.0,1.0,18.0,8.0,11.0,8.0,24.0,24.0,2.0,4.0
CLE,7.0,15.0,14.0,2.0,6.0,13.0,6.0,14.0,16.0,20.0,22.0,1.0,2.0
ARI,12.0,23.0,14.0,1.0,14.0,18.0,9.0,9.0,12.0,25.0,25.0,3.0,2.0
TAM,11.0,13.0,15.0,5.0,10.0,17.0,7.0,20.0,14.0,23.0,34.0,2.0,5.0
IND,11.0,22.0,17.0,1.0,14.0,11.0,7.0,15.0,9.0,33.0,33.0,3.0,3.0
GNB,11.0,21.0,14.0,4.0,13.0,14.0,7.0,10.0,15.0,35.0,35.0,1.0,3.0
LAR,13.0,24.0,18.0,6.0,17.0,19.0,10.0,6.0,12.0,33.0,27.0,1.0,1.0
DAL,8.0,14.0,14.0,7.0,15.0,5.0,13.0,23.0,14.0,29.0,39.0,3.0,4.0
ATL,12.0,25.0,13.0,1.0,17.0,9.0,11.0,12.0,11.0,37.0,34.0,3.0,3.0
CIN,13.0,18.0,23.0,10.0,9.0,26.0,0,14.0,10.0,30.0,35.0,3.0,3.0
DEN,14.0,23.0,19.0,4.0,9.0,23.0,12.0,20.0,8.0,23.0,34.0,3.0,2.0
NYJ,12.0,23.0,22.0,6.0,14.0,18.0,15.0,21.0,8.0,23.0,29.0,2.0,4.0
DET,18.0,32.0,17.0,0,19.0,20.0,8.0,10.0,16.0,33.0,27.0,2.0,2.0
LAC,10.0,18.0,24.0,8.0,17.0,8.0,15.0,38.0,1.0,28.0,35.0,2.0,2.0
MIN,12.0,20.0,14.0,6.0,21.0,14.0,9.0,23.0,15.0,25.0,41.0,3.0,5.0
NOR,8.0,18.0,17.0,4.0,16.0,16.0,8.0,12.0,12.0,53.0,38.0,3.0,5.0
SEA,11.0,21.0,20.0,3.0,13.0,17.0,12.0,29.0,13.0,34.0,41.0,2.0,2.0
CHI,12.0,16.0,24.0,4.0,18.0,15.0,12.0,26.0,17.0,34.0,41.0,2.0,3.0
OAK,14.0,26.0,19.0,6.0,23.0,18.0,12.0,31.0,12.0,26.0,35.0,1.0,3.0
MIA,12.0,24.0,15.0,4.0,19.0,18.0,8.0,28.0,6.0,47.0,39.0,3.0,4.0
PIT,11.0,15.0,20.0,8.0,20.0,9.0,8.0,34.0,3.0,47.0,47.0,1.0,5.0
PHI,19.0,14.0,25.0,9.0,26.0,13.0,9.0,27.0,23.0,25.0,37.0,2.0,2.0
KAN,12.0,24.0,19.0,2.0,15.0,22.0,13.0,10.0,21.0,45.0,46.0,1.0,6.0
WAS,11.0,29.0,21.0,3.0,18.0,26.0,8.0,20.0,21.0,32.0,42.0,1.0,4.0
SFO,16.0,23.0,17.0,7.0,10.0,26.0,9.0,32.0,22.0,28.0,46.0,1.0,2.0
NYG,14.0,23.0,17.0,5.0,17.0,21.0,13.0,15.0,13.0,60.0,43.0,4.0,3.0
BUF,16.0,26.0,31.0,7.0,21.0,19.0,17.0,25.0,8.0,45.0,32.0,2.0,1.0
TEN,21.0,47.0,14.0,0,33.0,20.0,9.0,18.0,22.0,27.0,36.0,3.0,2.0
