Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
ATL,6.0,14.0,11.0,3.0,11.0,5.0,10.0,18.0,9.0,21.0,22.0,3.0,4.0
KAN,10.0,17.0,16.0,3.0,8.0,20.0,8.0,12.0,12.0,19.0,30.0,3.0,6.0
DET,9.0,17.0,17.0,2.0,9.0,19.0,11.0,10.0,10.0,29.0,27.0,3.0,2.0
LAC,9.0,9.0,17.0,5.0,7.0,17.0,6.0,15.0,14.0,39.0,36.0,3.0,0.0
TAM,12.0,16.0,16.0,6.0,12.0,17.0,8.0,11.0,8.0,33.0,32.0,2.0,6.0
CIN,12.0,16.0,16.0,6.0,8.0,28.0,5.0,15.0,12.0,29.0,27.0,3.0,4.0
BUF,10.0,16.0,16.0,3.0,9.0,12.0,13.0,26.0,8.0,37.0,29.0,2.0,1.0
LAR,10.0,21.0,21.0,3.0,16.0,16.0,8.0,11.0,11.0,34.0,30.0,3.0,4.0
NYJ,12.0,19.0,20.0,5.0,15.0,9.0,19.0,5.0,21.0,30.0,29.0,2.0,3.0
PHI,13.0,17.0,17.0,5.0,10.0,17.0,15.0,27.0,10.0,24.0,32.0,1.0,2.0
PIT,5.0,17.0,17.0,1.0,14.0,11.0,8.0,19.0,12.0,43.0,38.0,3.0,4.0
NYG,9.0,12.0,15.0,8.0,14.0,13.0,6.0,11.0,9.0,56.0,35.0,3.0,2.0
GNB,8.0,19.0,12.0,3.0,8.0,20.0,7.0,22.0,8.0,43.0,39.0,2.0,4.0
ARI,15.0,23.0,22.0,8.0,25.0,17.0,6.0,15.0,12.0,23.0,29.0,2.0,-1.0
MIN,14.0,21.0,18.0,5.0,10.0,26.0,6.0,22.0,17.0,24.0,33.0,2.0,-2.0
DAL,12.0,18.0,22.0,4.0,18.0,13.0,10.0,22.0,14.0,26.0,34.0,2.0,6.0
NWE,12.0,23.0,15.0,2.0,16.0,11.0,12.0,20.0,8.0,47.0,39.0,2.0,1.0
TEN,13.0,28.0,15.0,2.0,24.0,17.0,8.0,10.0,16.0,32.0,35.0,2.0,6.0
OAK,13.0,16.0,20.0,8.0,11.0,17.0,13.0,26.0,8.0,36.0,38.0,2.0,2.0
SEA,15.0,30.0,27.0,2.0,22.0,19.0,10.0,19.0,5.0,34.0,29.0,2.0,3.0
MIA,15.0,23.0,26.0,5.0,23.0,21.0,13.0,17.0,7.0,34.0,29.0,2.0,4.0
CHI,11.0,23.0,21.0,5.0,17.0,21.0,12.0,12.0,26.0,38.0,37.0,2.0,2.0
WAS,15.0,27.0,20.0,4.0,19.0,19.0,9.0,27.0,17.0,28.0,44.0,2.0,0.0
IND,11.0,19.0,22.0,4.0,16.0,18.0,9.0,20.0,11.0,54.0,44.0,2.0,6.0
DEN,16.0,22.0,19.0,10.0,26.0,19.0,7.0,30.0,5.0,42.0,39.0,2.0,4.0
NOR,16.0,27.0,24.0,8.0,31.0,14.0,10.0,8.0,21.0,46.0,41.0,3.0,6.0
CLE,17.0,28.0,25.0,9.0,17.0,25.0,11.0,24.0,15.0,44.0,48.0,1.0,2.0
SFO,21.0,28.0,33.0,9.0,17.0,26.0,11.0,16.0,31.0,39.0,45.0,2.0,2.0
