Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
DAL,4.0,13.0,11.0,2.0,15.0,5.0,7.0,13.0,13.0,26.0,27.0,2.0,1.0
NYJ,8.0,14.0,13.0,6.0,13.0,12.0,7.0,15.0,9.0,21.0,29.0,2.0,2.0
ATL,11.0,17.0,17.0,5.0,16.0,14.0,10.0,14.0,11.0,20.0,25.0,2.0,3.0
ARI,6.0,19.0,9.0,5.0,16.0,17.0,2.0,13.0,20.0,26.0,35.0,6.0,3.0
TAM,11.0,21.0,17.0,4.0,8.0,22.0,7.0,8.0,17.0,27.0,30.0,1.0,4.0
SEA,11.0,19.0,13.0,2.0,12.0,14.0,7.0,23.0,9.0,30.0,33.0,2.0,2.0
NWE,10.0,21.0,13.0,6.0,14.0,10.0,19.0,15.0,6.0,32.0,30.0,1.0,3.0
PIT,9.0,17.0,17.0,3.0,18.0,5.0,8.0,18.0,8.0,40.0,42.0,2.0,3.0
MIA,13.0,33.0,14.0,3.0,28.0,11.0,8.0,15.0,6.0,27.0,26.0,3.0,3.0
TEN,15.0,31.0,17.0,0.0,30.0,19.0,6.0,9.0,14.0,24.0,24.0,3.0,2.0
LAC,8.0,19.0,15.0,4.0,7.0,22.0,7.0,39.0,8.0,28.0,37.0,2.0,3.0
CHI,12.0,19.0,23.0,6.0,16.0,17.0,16.0,13.0,18.0,27.0,28.0,2.0,3.0
DET,12.0,27.0,15.0,0,15.0,15.0,8.0,9.0,19.0,38.0,33.0,3.0,6.0
OAK,11.0,19.0,21.0,5.0,7.0,18.0,17.0,30.0,12.0,26.0,33.0,2.0,2.0
GNB,18.0,27.0,21.0,4.0,10.0,24.0,10.0,7.0,8.0,41.0,29.0,2.0,4.0
IND,10.0,23.0,17.0,2.0,18.0,14.0,10.0,23.0,9.0,39.0,40.0,3.0,4.0
KAN,11.0,21.0,20.0,4.0,12.0,17.0,9.0,13.0,21.0,41.0,46.0,2.0,3.0
CLE,11.0,20.0,16.0,5.0,13.0,15.0,1.0,32.0,20.0,38.0,44.0,2.0,3.0
MIN,11.0,17.0,20.0,4.0,17.0,16.0,9.0,27.0,28.0,26.0,42.0,2.0,3.0
NYG,14.0,23.0,15.0,7.0,10.0,24.0,13.0,11.0,9.0,51.0,41.0,3.0,3.0
NOR,15.0,26.0,21.0,6.0,25.0,15.0,8.0,7.0,18.0,46.0,33.0,2.0,3.0
PHI,15.0,14.0,20.0,8.0,15.0,15.0,8.0,37.0,11.0,35.0,46.0,1.0,2.0
LAR,14.0,28.0,19.0,6.0,18.0,22.0,19.0,5.0,15.0,40.0,35.0,1.0,5.0
WAS,14.0,31.0,16.0,3.0,14.0,29.0,9.0,26.0,16.0,30.0,40.0,3.0,2.0
CIN,17.0,26.0,22.0,9.0,22.0,27.0,0,20.0,9.0,38.0,41.0,1.0,2.0
BUF,15.0,22.0,27.0,6.0,10.0,27.0,16.0,25.0,10.0,40.0,37.0,1.0,4.0
DEN,13.0,21.0,20.0,4.0,11.0,24.0,8.0,34.0,13.0,45.0,48.0,2.0,3.0
SFO,22.0,32.0,30.0,6.0,13.0,33.0,12.0,23.0,18.0,34.0,46.0,2.0,5.0
