Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
LAR,5.0,11.0,8.0,2.0,6.0,12.0,5.0,19.0,15.0,26.0,32.0,2.0,2.0
TAM,9.0,16.0,11.0,7.0,17.0,15.0,6.0,13.0,11.0,17.0,20.0,2.0,5.0
IND,5.0,18.0,9.0,6.0,4.0,15.0,10.0,20.0,13.0,21.0,27.0,3.0,4.0
WAS,8.0,17.0,12.0,7.0,4.0,17.0,10.0,35.0,1.0,22.0,29.0,2.0,1.0
KAN,7.0,16.0,10.0,2.0,15.0,6.0,6.0,15.0,22.0,33.0,29.0,3.0,3.0
CLE,7.0,13.0,9.0,6.0,1.0,28.0,6.0,19.0,19.0,22.0,35.0,0.0,4.0
JAX,5.0,10.0,15.0,4.0,14.0,7.0,0.0,30.0,21.0,27.0,39.0,1.0,5.0
MIN,11.0,22.0,14.0,6.0,13.0,23.0,8.0,21.0,13.0,19.0,25.0,2.0,2.0
BUF,11.0,22.0,16.0,3.0,21.0,17.0,5.0,11.0,23.0,18.0,29.0,3.0,2.0
OAK,13.0,25.0,14.0,4.0,10.0,17.0,16.0,12.0,25.0,12.0,27.0,5.0,5.0
DEN,8.0,16.0,13.0,3.0,13.0,16.0,7.0,11.0,16.0,43.0,35.0,3.0,2.0
CAR,19.0,26.0,16.0,9.0,2.0,28.0,24.0,10.0,11.0,19.0,25.0,1.0,2.0
ARI,9.0,19.0,12.0,6.0,15.0,11.0,6.0,20.0,20.0,31.0,47.0,2.0,2.0
CHI,11.0,16.0,16.0,2.0,5.0,13.0,14.0,22.0,20.0,31.0,44.0,2.0,4.0
TEN,11.0,19.0,11.0,7.0,0,25.0,18.0,21.0,18.0,28.0,40.0,2.0,5.0
CIN,11.0,23.0,12.0,7.0,5.0,24.0,6.0,31.0,22.0,20.0,40.0,2.0,3.0
SEA,10.0,20.0,14.0,4.0,8.0,18.0,10.0,11.0,29.0,31.0,45.0,3.0,3.0
NYG,15.0,28.0,15.0,7.0,24.0,15.0,7.0,36.0,8.0,17.0,30.0,2.0,2.0
NYJ,9.0,15.0,15.0,6.0,15.0,14.0,9.0,31.0,25.0,24.0,41.0,1.0,3.0
LAC,17.0,28.0,23.0,11.0,22.0,9.0,14.0,15.0,15.0,19.0,32.0,3.0,3.0
DAL,14.0,22.0,16.0,10.0,19.0,27.0,1.0,47.0,2.0,20.0,30.0,1.0,4.0
MIA,11.0,21.0,15.0,6.0,0,27.0,15.0,29.0,26.0,26.0,31.0,4.0,3.0
PHI,16.0,25.0,13.0,8.0,14.0,24.0,9.0,17.0,19.0,35.0,32.0,1.0,4.0
DET,16.0,28.0,15.0,10.0,11.0,29.0,9.0,20.0,17.0,28.0,34.0,2.0,3.0
ATL,16.0,29.0,17.0,10.0,18.0,26.0,8.0,10.0,19.0,38.0,35.0,0,5.0
HOU,13.0,15.0,21.0,11.0,18.0,30.0,2.0,42.0,11.0,26.0,39.0,2.0,3.0
PIT,13.0,27.0,12.0,6.0,4.0,24.0,18.0,25.0,18.0,37.0,47.0,2.0,1.0
BAL,12.0,17.0,21.0,9.0,21.0,16.0,9.0,39.0,27.0,24.0,40.0,3.0,1.0
SFO,13.0,21.0,16.0,10.0,27.0,22.0,0,36.0,12.0,48.0,45.0,4.0,4.0
NWE,21.0,33.0,17.0,24.0,18.0,22.0,24.0,28.0,19.0,19.0,29.0,3.0,3.0
NOR,20.0,28.0,28.0,14.0,27.0,44.0,5.0,17.0,14.0,26.0,32.0,3.0,3.0
GNB,25.0,46.0,19.0,9.0,4.0,48.0,16.0,12.0,16.0,32.0,34.0,2.0,3.0
