Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
DAL,12.0,19.0,16.0,3.0,19.0,5.0,11.0,19.0,10.0,21.0,28.0,3.0,1.0
DET,5.0,14.0,14.0,1.0,7.0,11.0,10.0,9.0,15.0,41.0,33.0,3.0,5.0
LAC,7.0,15.0,16.0,1.0,15.0,15.0,3.0,21.0,12.0,28.0,31.0,4.0,4.0
GNB,7.0,16.0,11.0,2.0,6.0,19.0,7.0,14.0,5.0,45.0,39.0,1.0,0.0
PIT,12.0,22.0,21.0,1.0,21.0,1.0,12.0,16.0,5.0,27.0,29.0,2.0,4.0
ATL,7.0,9.0,19.0,2.0,13.0,8.0,9.0,20.0,18.0,27.0,38.0,2.0,2.0
TAM,7.0,18.0,13.0,5.0,9.0,15.0,11.0,9.0,17.0,35.0,34.0,1.0,3.0
MIA,14.0,27.0,16.0,5.0,28.0,19.0,0,13.0,8.0,27.0,23.0,3.0,1.0
NWE,7.0,14.0,18.0,3.0,12.0,10.0,11.0,20.0,8.0,47.0,37.0,1.0,-1.0
KAN,10.0,17.0,19.0,3.0,9.0,22.0,8.0,11.0,11.0,33.0,36.0,2.0,6.0
ARI,13.0,21.0,16.0,9.0,26.0,20.0,0,15.0,13.0,23.0,29.0,2.0,2.0
OAK,12.0,23.0,19.0,2.0,6.0,17.0,16.0,21.0,8.0,33.0,33.0,3.0,2.0
WAS,14.0,26.0,14.0,6.0,15.0,27.0,7.0,18.0,15.0,24.0,30.0,2.0,3.0
CLE,11.0,21.0,18.0,7.0,15.0,16.0,1.0,18.0,10.0,38.0,42.0,1.0,4.0
NYJ,13.0,19.0,23.0,11.0,19.0,15.0,10.0,6.0,17.0,30.0,32.0,2.0,5.0
DEN,14.0,22.0,19.0,5.0,7.0,24.0,17.0,26.0,7.0,26.0,34.0,3.0,1.0
NOR,11.0,22.0,18.0,4.0,26.0,8.0,5.0,8.0,20.0,42.0,38.0,2.0,3.0
SEA,13.0,21.0,24.0,3.0,20.0,18.0,11.0,26.0,9.0,31.0,33.0,2.0,5.0
PHI,17.0,18.0,19.0,9.0,11.0,16.0,13.0,35.0,8.0,22.0,47.0,2.0,3.0
NYG,14.0,21.0,17.0,8.0,16.0,23.0,10.0,12.0,10.0,45.0,38.0,2.0,5.0
TEN,14.0,35.0,22.0,1.0,29.0,18.0,8.0,11.0,18.0,32.0,31.0,2.0,3.0
IND,14.0,23.0,24.0,6.0,22.0,19.0,12.0,18.0,9.0,34.0,35.0,3.0,6.0
CIN,19.0,30.0,32.0,8.0,20.0,29.0,0,14.0,16.0,26.0,31.0,2.0,2.0
SFO,16.0,24.0,27.0,4.0,15.0,20.0,9.0,27.0,17.0,27.0,40.0,2.0,3.0
BUF,13.0,21.0,25.0,4.0,9.0,15.0,20.0,25.0,12.0,47.0,34.0,2.0,6.0
LAR,14.0,23.0,20.0,9.0,25.0,20.0,13.0,12.0,18.0,46.0,44.0,2.0,3.0
CHI,12.0,20.0,21.0,2.0,18.0,15.0,15.0,16.0,30.0,51.0,46.0,3.0,4.0
MIN,15.0,22.0,20.0,7.0,9.0,30.0,9.0,24.0,31.0,39.0,53.0,2.0,3.0
