Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
JAX,12.0,16.0,10.0,6.0,14.0,15.0,8.0,12.0,17.0,17.0,25.0,3.0,2.0
ARI,9.0,16.0,14.0,2.0,12.0,13.0,6.0,24.0,5.0,29.0,26.0,3.0,3.0
NYJ,-1.0,8.0,10.0,6.0,6.0,10.0,11.0,16.0,23.0,30.0,38.0,2.0,4.0
TAM,7.0,17.0,9.0,6.0,12.0,15.0,6.0,14.0,19.0,23.0,35.0,2.0,3.0
LAR,9.0,21.0,10.0,4.0,19.0,9.0,7.0,20.0,16.0,26.0,36.0,3.0,0.0
NWE,8.0,18.0,12.0,8.0,14.0,15.0,5.0,16.0,21.0,27.0,35.0,1.0,2.0
CLE,7.0,22.0,14.0,4.0,16.0,18.0,7.0,22.0,9.0,24.0,31.0,3.0,5.0
NYG,10.0,17.0,16.0,5.0,15.0,15.0,8.0,16.0,24.0,20.0,35.0,2.0,2.0
NOR,12.0,19.0,12.0,10.0,11.0,22.0,12.0,7.0,18.0,34.0,34.0,2.0,0.0
CAR,6.0,18.0,11.0,1.0,16.0,9.0,7.0,23.0,10.0,44.0,45.0,2.0,3.0
WAS,10.0,21.0,19.0,3.0,18.0,10.0,13.0,19.0,15.0,29.0,33.0,2.0,3.0
CIN,15.0,22.0,16.0,7.0,16.0,18.0,9.0,3.0,29.0,24.0,33.0,2.0,4.0
LAC,11.0,23.0,17.0,4.0,16.0,16.0,9.0,18.0,18.0,32.0,32.0,3.0,3.0
PHI,8.0,19.0,17.0,3.0,21.0,12.0,0.0,24.0,25.0,32.0,36.0,3.0,3.0
OAK,11.0,21.0,17.0,4.0,24.0,10.0,8.0,11.0,24.0,33.0,39.0,2.0,2.0
BUF,10.0,22.0,16.0,6.0,15.0,9.0,15.0,28.0,7.0,42.0,35.0,2.0,2.0
SEA,11.0,25.0,18.0,4.0,10.0,18.0,16.0,19.0,19.0,27.0,35.0,4.0,4.0
MIN,14.0,28.0,18.0,4.0,25.0,14.0,8.0,37.0,7.0,20.0,31.0,2.0,3.0
TEN,11.0,18.0,16.0,5.0,17.0,15.0,11.0,10.0,27.0,31.0,43.0,2.0,6.0
IND,15.0,20.0,21.0,7.0,17.0,21.0,8.0,10.0,24.0,31.0,36.0,2.0,2.0
ATL,14.0,25.0,26.0,1.0,11.0,20.0,17.0,21.0,14.0,26.0,32.0,2.0,5.0
CHI,15.0,29.0,21.0,5.0,22.0,21.0,10.0,20.0,14.0,24.0,33.0,1.0,2.0
MIA,15.0,25.0,24.0,5.0,19.0,27.0,9.0,16.0,16.0,26.0,30.0,2.0,4.0
DEN,16.0,23.0,23.0,8.0,20.0,25.0,8.0,13.0,19.0,26.0,34.0,2.0,5.0
PIT,16.0,28.0,16.0,4.0,13.0,22.0,15.0,11.0,15.0,46.0,37.0,2.0,4.0
GNB,18.0,28.0,21.0,8.0,21.0,22.0,11.0,28.0,13.0,24.0,32.0,2.0,3.0
DET,18.0,40.0,17.0,3.0,17.0,22.0,19.0,17.0,19.0,29.0,37.0,2.0,4.0
SFO,20.0,30.0,19.0,7.0,9.0,23.0,20.0,14.0,18.0,43.0,42.0,2.0,1.0
DAL,17.0,28.0,26.0,10.0,35.0,19.0,8.0,19.0,19.0,24.0,37.0,2.0,5.0
KAN,11.0,21.0,20.0,6.0,16.0,16.0,9.0,33.0,27.0,39.0,49.0,3.0,3.0
