Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
SFO,1.0,13.0,12.0,1.0,13.0,8.0,5.0,12.0,14.0,22.0,25.0,1.0,5.0
HOU,11.0,20.0,17.0,2.0,12.0,20.0,4.0,8.0,12.0,21.0,23.0,1.0,2.0
NYJ,9.0,16.0,7.0,5.0,16.0,13.0,2.0,8.0,16.0,31.0,31.0,3.0,3.0
NOR,10.0,15.0,11.0,4.0,9.0,11.0,14.0,27.0,8.0,25.0,30.0,2.0,2.0
BUF,9.0,23.0,14.0,1.0,23.0,17.0,2.0,15.0,12.0,21.0,31.0,3.0,4.0
DET,5.0,16.0,14.0,4.0,3.0,18.0,13.0,20.0,19.0,25.0,33.0,3.0,3.0
TEN,12.0,14.0,13.0,11.0,18.0,13.0,1.0,19.0,14.0,21.0,34.0,3.0,3.0
CLE,8.0,17.0,12.0,3.0,14.0,14.0,7.0,3.0,26.0,35.0,33.0,2.0,4.0
OAK,11.0,24.0,13.0,3.0,13.0,20.0,9.0,22.0,19.0,15.0,28.0,4.0,1.0
LAR,14.0,33.0,15.0,1.0,18.0,20.0,8.0,10.0,13.0,24.0,21.0,2.0,5.0
MIN,11.0,19.0,13.0,6.0,13.0,15.0,9.0,14.0,17.0,27.0,35.0,3.0,2.0
ARI,12.0,25.0,9.0,7.0,6.0,18.0,10.0,17.0,16.0,25.0,32.0,2.0,7.0
PHI,9.0,16.0,14.0,5.0,9.0,26.0,0,15.0,20.0,31.0,37.0,2.0,3.0
BAL,6.0,12.0,10.0,7.0,15.0,18.0,2.0,34.0,20.0,19.0,39.0,2.0,4.0
GNB,9.0,20.0,15.0,6.0,6.0,20.0,13.0,11.0,28.0,26.0,34.0,1.0,2.0
MIA,10.0,22.0,15.0,5.0,0,24.0,16.0,33.0,9.0,30.0,34.0,3.0,3.0
ATL,15.0,18.0,20.0,10.0,23.0,9.0,10.0,16.0,21.0,28.0,32.0,2.0,4.0
DAL,11.0,21.0,15.0,7.0,25.0,10.0,7.0,29.0,14.0,31.0,39.0,2.0,1.0
TAM,9.0,18.0,17.0,4.0,15.0,15.0,7.0,21.0,20.0,35.0,43.0,4.0,4.0
NWE,16.0,28.0,16.0,7.0,31.0,14.0,6.0,12.0,26.0,23.0,29.0,3.0,3.0
CHI,3.0,16.0,14.0,2.0,4.0,16.0,12.0,21.0,31.0,48.0,49.0,1.0,0.0
WAS,12.0,20.0,19.0,8.0,16.0,24.0,8.0,24.0,19.0,31.0,39.0,1.0,4.0
KAN,15.0,24.0,23.0,10.0,17.0,16.0,23.0,25.0,12.0,26.0,34.0,1.0,3.0
CIN,18.0,39.0,21.0,4.0,18.0,32.0,10.0,21.0,9.0,20.0,31.0,2.0,4.0
LAC,15.0,25.0,25.0,13.0,29.0,14.0,10.0,3.0,29.0,35.0,33.0,3.0,4.0
JAX,15.0,28.0,18.0,5.0,27.0,20.0,3.0,32.0,21.0,29.0,39.0,2.0,2.0
NYG,14.0,24.0,25.0,11.0,19.0,19.0,9.0,40.0,20.0,22.0,36.0,2.0,4.0
DEN,15.0,28.0,23.0,9.0,11.0,21.0,20.0,16.0,23.0,39.0,39.0,2.0,2.0
CAR,14.0,28.0,21.0,4.0,1.0,39.0,10.0,31.0,17.0,34.0,44.0,3.0,3.0
PIT,14.0,27.0,21.0,6.0,38.0,19.0,2.0,14.0,19.0,45.0,42.0,2.0,3.0
SEA,16.0,32.0,24.0,7.0,25.0,24.0,12.0,17.0,24.0,43.0,30.0,1.0,3.0
IND,20.0,39.0,22.0,10.0,20.0,21.0,18.0,27.0,24.0,19.0,50.0,3.0,4.0
