Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
DET,5.0,14.0,12.0,4.0,10.0,10.0,9.0,24.0,9.0,31.0,34.0,2.0,3.0
ATL,9.0,17.0,20.0,1.0,13.0,15.0,13.0,12.0,13.0,25.0,32.0,2.0,0.0
NYG,9.0,10.0,14.0,5.0,11.0,14.0,7.0,14.0,10.0,40.0,33.0,4.0,2.0
SFO,12.0,14.0,29.0,5.0,20.0,20.0,8.0,7.0,13.0,19.0,25.0,1.0,5.0
IND,10.0,11.0,19.0,5.0,15.0,10.0,8.0,23.0,11.0,31.0,39.0,0.0,0.0
CIN,14.0,8.0,22.0,14.0,24.0,14.0,8.0,17.0,7.0,23.0,26.0,3.0,3.0
GNB,9.0,16.0,17.0,6.0,15.0,15.0,10.0,15.0,12.0,30.0,33.0,3.0,2.0
ARI,7.0,18.0,23.0,2.0,27.0,4.0,9.0,9.0,19.0,35.0,35.0,2.0,-1.0
MIN,10.0,17.0,19.0,3.0,16.0,15.0,6.0,17.0,17.0,32.0,32.0,2.0,3.0
NYJ,11.0,15.0,23.0,6.0,17.0,24.0,10.0,6.0,20.0,28.0,28.0,3.0,1.0
KAN,6.0,11.0,21.0,1.0,11.0,14.0,8.0,22.0,11.0,43.0,42.0,4.0,2.0
BUF,9.0,17.0,13.0,2.0,17.0,10.0,9.0,20.0,10.0,46.0,42.0,2.0,3.0
LAR,8.0,13.0,20.0,3.0,13.0,16.0,11.0,23.0,20.0,37.0,33.0,2.0,2.0
CLE,14.0,18.0,27.0,8.0,17.0,16.0,13.0,14.0,14.0,31.0,35.0,2.0,2.0
NOR,15.0,20.0,28.0,11.0,18.0,23.0,10.0,12.0,13.0,26.0,29.0,3.0,4.0
TAM,8.0,12.0,19.0,6.0,21.0,10.0,5.0,28.0,15.0,46.0,39.0,2.0,2.0
DEN,10.0,18.0,17.0,6.0,10.0,13.0,11.0,22.0,14.0,44.0,44.0,3.0,2.0
SEA,17.0,25.0,27.0,3.0,21.0,21.0,12.0,13.0,13.0,26.0,29.0,2.0,6.0
OAK,14.0,13.0,24.0,18.0,12.0,21.0,15.0,18.0,8.0,33.0,34.0,3.0,3.0
CHI,9.0,17.0,25.0,2.0,15.0,15.0,9.0,14.0,25.0,41.0,43.0,1.0,2.0
TEN,11.0,14.0,27.0,8.0,20.0,21.0,9.0,20.0,13.0,34.0,31.0,3.0,7.0
DAL,18.0,21.0,25.0,5.0,14.0,22.0,17.0,25.0,15.0,26.0,32.0,0,4.0
WAS,13.0,16.0,31.0,6.0,22.0,16.0,12.0,18.0,15.0,26.0,40.0,2.0,7.0
PHI,13.0,16.0,28.0,9.0,19.0,22.0,10.0,16.0,15.0,36.0,34.0,2.0,7.0
NWE,15.0,21.0,20.0,7.0,30.0,6.0,17.0,8.0,25.0,36.0,41.0,1.0,5.0
MIA,12.0,22.0,27.0,4.0,23.0,20.0,8.0,23.0,14.0,42.0,41.0,2.0,4.0
LAC,16.0,26.0,24.0,8.0,18.0,23.0,12.0,28.0,16.0,37.0,41.0,1.0,3.0
PIT,15.0,24.0,26.0,7.0,17.0,17.0,16.0,16.0,24.0,47.0,43.0,3.0,4.0
