Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
CLE,2.0,11.0,10.0,1.0,8.0,10.0,4.0,13.0,16.0,18.0,27.0,4.0,3.0
ARI,8.0,19.0,12.0,9.0,8.0,13.0,6.0,9.0,13.0,18.0,22.0,3.0,2.0
CIN,0.0,11.0,12.0,3.0,9.0,10.0,4.0,14.0,19.0,26.0,32.0,2.0,0.0
CHI,5.0,15.0,8.0,2.0,10.0,12.0,5.0,19.0,17.0,28.0,32.0,0.0,3.0
ATL,8.0,15.0,11.0,4.0,12.0,12.0,9.0,13.0,15.0,21.0,34.0,2.0,4.0
LAC,6.0,14.0,11.0,10.0,11.0,12.0,9.0,13.0,14.0,26.0,28.0,4.0,3.0
SEA,13.0,18.0,20.0,5.0,25.0,17.0,0.0,13.0,10.0,22.0,22.0,1.0,4.0
DAL,7.0,22.0,16.0,4.0,21.0,16.0,6.0,17.0,14.0,23.0,30.0,2.0,2.0
NWE,10.0,20.0,14.0,4.0,12.0,19.0,8.0,19.0,18.0,26.0,35.0,2.0,3.0
DET,10.0,18.0,13.0,4.0,12.0,14.0,11.0,20.0,22.0,34.0,37.0,3.0,3.0
SFO,20.0,34.0,23.0,4.0,19.0,24.0,10.0,12.0,12.0,17.0,24.0,1.0,1.0
CAR,13.0,23.0,14.0,6.0,23.0,18.0,1.0,21.0,16.0,26.0,36.0,1.0,4.0
BUF,13.0,21.0,12.0,4.0,20.0,15.0,7.0,17.0,15.0,40.0,36.0,1.0,2.0
KAN,15.0,23.0,14.0,12.0,19.0,17.0,7.0,21.0,14.0,27.0,34.0,3.0,1.0
WAS,11.0,19.0,19.0,4.0,13.0,18.0,7.0,27.0,16.0,33.0,45.0,2.0,-1.0
GNB,12.0,21.0,19.0,5.0,16.0,20.0,9.0,23.0,14.0,28.0,39.0,1.0,6.0
NYJ,10.0,17.0,19.0,1.0,14.0,17.0,10.0,22.0,12.0,46.0,42.0,4.0,1.0
MIN,21.0,36.0,19.0,7.0,20.0,25.0,13.0,16.0,9.0,20.0,26.0,3.0,5.0
NOR,15.0,24.0,17.0,3.0,15.0,30.0,7.0,21.0,24.0,30.0,32.0,2.0,4.0
JAX,15.0,33.0,17.0,7.0,13.0,17.0,8.0,21.0,26.0,25.0,36.0,2.0,5.0
PIT,13.0,22.0,15.0,3.0,16.0,17.0,10.0,23.0,10.0,50.0,41.0,3.0,4.0
NYG,12.0,23.0,21.0,2.0,21.0,21.0,9.0,18.0,26.0,35.0,39.0,2.0,2.0
PHI,16.0,16.0,21.0,8.0,18.0,18.0,7.0,30.0,21.0,37.0,40.0,2.0,4.0
MIA,11.0,20.0,16.0,2.0,15.0,17.0,11.0,40.0,17.0,32.0,51.0,2.0,5.0
TAM,13.0,23.0,20.0,3.0,20.0,17.0,11.0,21.0,26.0,36.0,44.0,2.0,4.0
IND,18.0,31.0,21.0,11.0,22.0,24.0,10.0,19.0,18.0,26.0,34.0,3.0,5.0
DEN,18.0,32.0,18.0,11.0,22.0,20.0,20.0,17.0,20.0,27.0,36.0,1.0,2.0
LAR,25.0,52.0,27.0,3.0,24.0,34.0,13.0,13.0,11.0,18.0,25.0,2.0,5.0
OAK,20.0,27.0,28.0,5.0,26.0,26.0,11.0,20.0,19.0,28.0,40.0,3.0,1.0
TEN,15.0,21.0,16.0,8.0,19.0,16.0,6.0,29.0,29.0,49.0,60.0,2.0,3.0
BAL,9.0,18.0,20.0,8.0,16.0,24.0,6.0,35.0,29.0,51.0,58.0,2.0,5.0
