Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
NOR,12.0,13.0,18.0,9.0,13.0,18.0,8.0,9.0,9.0,16.0,20.0,1.0,2.0
NYG,8.0,17.0,14.0,2.0,13.0,14.0,6.0,17.0,6.0,28.0,24.0,4.0,4.0
GNB,8.0,14.0,16.0,3.0,13.0,13.0,6.0,16.0,10.0,30.0,33.0,1.0,2.0
NYJ,11.0,13.0,21.0,4.0,15.0,20.0,8.0,7.0,19.0,22.0,27.0,3.0,4.0
SEA,12.0,19.0,16.0,4.0,13.0,20.0,9.0,14.0,13.0,22.0,29.0,2.0,4.0
CIN,7.0,7.0,14.0,9.0,14.0,12.0,7.0,17.0,11.0,41.0,37.0,4.0,0.0
SFO,11.0,17.0,26.0,5.0,17.0,18.0,8.0,8.0,14.0,23.0,27.0,2.0,4.0
TAM,11.0,13.0,17.0,6.0,18.0,8.0,8.0,15.0,15.0,38.0,33.0,3.0,3.0
KAN,12.0,19.0,21.0,2.0,16.0,14.0,7.0,18.0,9.0,32.0,32.0,2.0,6.0
MIA,8.0,13.0,20.0,2.0,15.0,14.0,8.0,25.0,11.0,31.0,37.0,3.0,3.0
ARI,9.0,20.0,20.0,2.0,16.0,12.0,9.0,10.0,19.0,36.0,33.0,3.0,3.0
IND,13.0,19.0,25.0,3.0,19.0,18.0,11.0,21.0,8.0,26.0,32.0,1.0,1.0
WAS,10.0,9.0,22.0,4.0,18.0,10.0,8.0,21.0,19.0,31.0,43.0,2.0,4.0
DEN,7.0,14.0,22.0,7.0,14.0,16.0,11.0,19.0,11.0,34.0,34.0,4.0,8.0
MIN,13.0,20.0,21.0,6.0,18.0,16.0,9.0,15.0,16.0,32.0,32.0,2.0,2.0
CHI,13.0,17.0,26.0,2.0,15.0,15.0,8.0,8.0,32.0,34.0,42.0,2.0,3.0
OAK,12.0,16.0,22.0,7.0,14.0,18.0,7.0,21.0,9.0,46.0,42.0,4.0,2.0
PIT,14.0,26.0,18.0,5.0,10.0,25.0,15.0,19.0,14.0,36.0,36.0,2.0,2.0
CLE,16.0,23.0,28.0,6.0,23.0,21.0,12.0,20.0,8.0,33.0,29.0,2.0,2.0
BUF,10.0,18.0,24.0,5.0,18.0,16.0,9.0,23.0,12.0,43.0,43.0,1.0,2.0
TEN,9.0,8.0,24.0,15.0,12.0,18.0,9.0,20.0,12.0,49.0,43.0,2.0,4.0
NWE,15.0,21.0,25.0,10.0,29.0,9.0,19.0,11.0,17.0,36.0,37.0,2.0,5.0
LAR,12.0,22.0,25.0,4.0,20.0,18.0,17.0,26.0,13.0,32.0,45.0,0,3.0
LAC,16.0,24.0,21.0,14.0,18.0,17.0,10.0,22.0,28.0,28.0,34.0,2.0,5.0
ATL,14.0,24.0,26.0,6.0,16.0,24.0,11.0,18.0,11.0,45.0,42.0,2.0,4.0
DET,13.0,14.0,28.0,4.0,19.0,17.0,7.0,30.0,18.0,41.0,48.0,3.0,4.0
DAL,16.0,22.0,29.0,8.0,20.0,23.0,19.0,24.0,14.0,34.0,35.0,0,4.0
PHI,15.0,21.0,26.0,7.0,21.0,18.0,11.0,23.0,19.0,51.0,46.0,2.0,1.0
