Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
BUF,4.0,12.0,10.0,2.0,7.0,10.0,9.0,15.0,9.0,33.0,33.0,2.0,3.0
ATL,9.0,15.0,19.0,4.0,11.0,14.0,11.0,11.0,11.0,19.0,25.0,3.0,4.0
ARI,10.0,15.0,18.0,4.0,17.0,13.0,8.0,20.0,12.0,17.0,27.0,2.0,-1.0
TAM,12.0,14.0,12.0,13.0,22.0,8.0,8.0,14.0,8.0,27.0,27.0,2.0,3.0
TEN,11.0,15.0,17.0,4.0,25.0,8.0,8.0,7.0,15.0,27.0,29.0,2.0,4.0
NOR,9.0,11.0,15.0,9.0,11.0,23.0,3.0,6.0,15.0,37.0,31.0,3.0,7.0
IND,10.0,16.0,21.0,8.0,19.0,18.0,9.0,11.0,10.0,29.0,29.0,3.0,1.0
KAN,9.0,21.0,12.0,7.0,10.0,21.0,8.0,17.0,8.0,31.0,35.0,2.0,7.0
DET,12.0,24.0,15.0,3.0,6.0,24.0,14.0,16.0,11.0,29.0,32.0,2.0,5.0
MIN,12.0,20.0,17.0,9.0,21.0,16.0,9.0,23.0,11.0,23.0,33.0,3.0,0.0
GNB,10.0,19.0,18.0,7.0,5.0,27.0,9.0,22.0,5.0,37.0,36.0,2.0,3.0
PIT,11.0,25.0,21.0,2.0,18.0,9.0,15.0,18.0,4.0,38.0,35.0,1.0,5.0
DAL,12.0,19.0,18.0,7.0,14.0,19.0,7.0,18.0,24.0,24.0,36.0,2.0,3.0
PHI,11.0,16.0,14.0,6.0,12.0,9.0,7.0,28.0,10.0,38.0,44.0,2.0,6.0
WAS,8.0,19.0,16.0,5.0,20.0,15.0,8.0,21.0,18.0,31.0,39.0,2.0,1.0
SEA,12.0,21.0,14.0,4.0,23.0,5.0,8.0,22.0,9.0,42.0,44.0,1.0,1.0
LAC,17.0,21.0,27.0,11.0,20.0,19.0,14.0,16.0,5.0,28.0,28.0,3.0,1.0
CLE,12.0,14.0,23.0,13.0,8.0,11.0,14.0,18.0,15.0,42.0,35.0,2.0,4.0
CIN,17.0,27.0,26.0,7.0,11.0,40.0,10.0,13.0,7.0,26.0,24.0,2.0,3.0
OAK,11.0,16.0,21.0,9.0,12.0,16.0,8.0,31.0,10.0,39.0,43.0,2.0,1.0
DEN,13.0,21.0,18.0,5.0,19.0,18.0,9.0,25.0,9.0,41.0,39.0,1.0,1.0
LAR,10.0,18.0,16.0,8.0,19.0,13.0,10.0,21.0,11.0,46.0,46.0,3.0,4.0
NWE,11.0,18.0,20.0,3.0,17.0,17.0,7.0,19.0,10.0,53.0,44.0,3.0,4.0
NYG,14.0,20.0,27.0,6.0,19.0,22.0,8.0,13.0,10.0,50.0,41.0,3.0,2.0
MIA,15.0,27.0,24.0,9.0,17.0,21.0,17.0,19.0,12.0,37.0,35.0,3.0,5.0
SFO,14.0,20.0,28.0,4.0,18.0,17.0,11.0,19.0,23.0,41.0,51.0,1.0,2.0
NYJ,14.0,20.0,24.0,11.0,12.0,15.0,25.0,13.0,35.0,40.0,40.0,2.0,4.0
CHI,16.0,20.0,27.0,10.0,18.0,26.0,11.0,26.0,37.0,46.0,45.0,2.0,5.0
